x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
60,0,0,8.143975,0,0.36241257,3.0208352,0,0,0,3.5608187,0,0,0,0,0,0,9.739784,0,4.380116,1.3593546,1.6160976,6.372948,3.2035336,0,0,19.039543,0,8.247602,23.789255,10.247942,8.436264
61,0,0.62508875,0,7.140692,0,0,0,1.2548609,0,2.2619405,0,0,0,0,7.1751895,3.3177998,4.347919,0,0.5481575,0,4.8363404,4.8774614,0.68763304,0,6.3092813,10.670446,5.8711395,3.647668,13.193423,2.720719,0
62,1.0926425,0,0.7005949,0,3.7982266,0,0,0,0,2.433647,0,3.9131415,0,0,0,0,1.3719592,1.0759898,4.9389057,0,1.2141157,0,0,0,3.9250126,17.535679,0,2.4507697,6.673952,5.2069635,4.1196914
63,0,0.183041,0,0,0,0,1.9510659,0,0,1.984262,1.9035212,0,0,1.2586644,0,1.7419084,4.744562,1.8127108,0,3.893967,6.748579,0,0,0,2.1265118,20.323742,3.295572,2.9358094,12.601025,8.572992,0
64,4.7370253,1.7151278,0,3.4882758,0,1.5236405,0.93501747,6.6255693,2.078631,0,0,3.3222802,0,0,3.38888,3.3693912,0.21786429,0,0,1.278968,0,1.2849885,0,3.1960075,1.0662082,23.74006,0,4.9931874,4.3301253,0,2.8131917
65,0,0.15038969,0.7582152,0.39811748,0,4.48149,3.4265127,0,0,0,0,0,0,0,0.2648491,3.3478808,0,0,0,1.01305,0.32558653,0,0,0,0,1.3063823,0,6.3804774,0,0,0
66,3.1207795,3.2683477,4.0452614,2.7044532,0,0,0.1475982,0,0,5.355383,0,0,3.692396,0,2.4200609,0.7254017,0,0.27498204,2.5449407,1.3875335,7.414932,0,0,0,0,4.2341805,0,1.9393476,17.812521,0,0
67,0,0,0,2.7933545,0,0,0.7843426,0,0.5181557,1.8694503,0,4.674712,0,0,0,0,7.392984,1.3811163,5.6667523,0,0,0,2.8452902,2.4349098,1.452237,2.4723291,0,0,3.1668973,0,2.6301315
68,0,0,1.6859056,0,0,0,1.7499883,0,0,3.337767,0.85048294,0,0,0,0,0,0,1.9018297,0,0.931151,3.676942,4.2266498,0,0,0,1.6420323,1.2584827,0,2.0520427,0,0
69,0,0,0,0,0,0,0,0,0.7522042,0,0,0,2.7502866,0,0.5084939,0,2.501642,0,1.0052215,0,0,2.1395772,0,0,0,0,1.832102,1.5727131,0,0,1.4061539
