x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
953,0,0,0,0,0,2.8399086,0,1.2288412,4.7865033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5104406,11.870615,0,0,0,0,1.369089,1.3883281,10.298714,0,5.376115,0,0,0,0,0,0,0,1.8816477
954,0,0,0,0,0.9217784,0,7.7509184,2.6340678,0,0,8.79712,0,0,4.2921815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39060688,0,0,0,0,0,0,0,0,2.8137677,0.99106854,0.03555706,2.5123022,3.8698664,5.2126145,0.60035443,4.1111674,2.0384953,1.4708738,1.7072654,0,0,0.38227162
955,0,0,0,0,0.19539419,0,0,0,0,1.2105808,0,0,0.060412828,5.2219377,12.284322,16.46104,0,5.491359,1.5441943,0,7.061283,3.9956734,0,3.66445,2.4944046,14.176442,2.288332,7.720577,0.64339495,13.492273,1.9109702,2.3874164,0.1827853,0,3.8360302,1.6623276,3.1531715,5.0686545,2.4659767,0,0,1.9209677,0,0.18179807,0,0,0,0,0.4291365,2.8165329,5.668507
956,0.27384317,0,0,0,0,0,20.852423,0.0671355,0,0.8815554,2.6935456,0.667185,3.0671463,20.10248,3.9430394,0,0.6751709,16.337671,1.3711579,1.5012238,6.9718547,4.6285324,1.5754988,3.6802332,0.028787008,6.912498,1.1217834,0,0,11.583763,0,4.3639827,0,3.030871,0,1.928973,0.29440448,3.051161,1.6439694,2.0451136,0,0,0,4.993016,0,0.64159286,0,0,0,1.9402514,3.8756633
957,2.6085668,1.924313,1.9463457,0,1.7587491,4.296882,0,0.84977615,1.8060431,0,8.427336,0,3.584427,11.3328085,4.1465034,17.891827,11.654901,9.184471,2.3123863,0,5.4199886,4.830867,0.21677732,2.479262,2.6867073,0.41831952,0,0,0,12.901592,0,1.6630484,0,0.003282046,0,0,1.989502,0.864001,0,0,0,0,3.5097017,0.9200116,0.3396573,0.9561305,0,2.1595795,0,0,0.24833699
958,0,0.8115502,0,0,0,0,0,2.2490437,2.0689495,0,0,0,7.1014667,0.7555647,0,11.709971,9.895626,7.233671,0.3509798,1.0225207,3.6020708,3.6643903,0,0,0.07854353,0,1.8846521,1.6681858,0,3.6279762,2.0160034,0,0,0,2.7370858,1.402474,1.2285177,0.49609557,0,0,5.0509043,0,0,0,0,0.27054173,0,0,1.3405716,5.290859,1.6943065
959,1.0790825,0,3.8947616,4.3503633,0,0.72200364,0,0,0,0.15008317,0,0,0,2.8534205,0,2.5062807,0,3.844744,0,1.1405214,6.729689,4.4530616,1.7705486,0.95042837,0.12815984,1.7242433,2.6501036,1.8988028,0,2.4030974,1.213971,0.6829295,4.230848,0,0,0.85596126,0.9513321,0,0.21007054,0,4.016614,0,0.15103923,0.7888162,0,0,1.4169301,0,1.3394107,1.7377763,0.000178732
960,0,0.29993087,0.48543814,0,0,0,20.194487,2.643437,0,0,3.0767953,0,0.0701315,0,0,0.14658232,0,0.21618871,1.8471295,1.8938024,0,0,0,3.5221853,0,0,0.6997505,0,0,2.771791,0,0.35624975,0,0,5.479424,1.863157,0.8106305,0.41317213,0,0,5.588421,0,1.5515296,1.4042753,1.3360589,1.783126,2.5167713,0,1.5103337,1.2848343,0.7657192
961,3.7176137,1.2195278,2.422115,0,0,0,3.916511,0,0,0,0,3.8683476,0,4.5602245,2.325497,4.4353023,0,0,0.33244947,1.849165,0,0.63517296,0.17251217,4.275312,0,0.62223953,0,0,0,0,0,2.8407679,4.4264417,0,0.8094643,0.1545599,0,0.2774112,0,0,0.16381331,0,0,0,0,0,0.6280961,0,0,0.69630796,0.9278244
962,0,2.1171348,0.039839752,5.860323,0,0.8480382,0,0.09129502,0,1.3566327,0.13443054,0,0,0,0,0,1.3292215,0.90968615,0,0.31031215,3.3469403,0,0,0,1.5530274,1.0987028,1.2790253,2.6258788,0,0,0,0,7.7426605,0,5.6709037,0,0,1.115176,0,0,0,0,0,0,0,1.7332337,0.60329825,0,0,0,0
963,0,0,0,0,0.3328001,1.6907603,0,0,0,0,4.091231,1.2696478,0,0,2.731516,0,0,0.7223948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0848708,0,0,0,1.4621471,0,0.5018227,2.0007598,1.9318225,0,0,0.44234496,0,0,0,3.8159125,0,0,0.9395822
964,0,0.8068177,2.518481,0,0,0.18751489,21.465416,0,0,0,1.8282238,0,4.396906,0,1.8928002,0,3.3031178,0,3.8940609,2.2858722,1.3082179,0,0.022752574,0,0.2468688,0,0.67797893,0,0.012032934,0.50819945,0,0,0,0,0,1.2267076,0.16284856,0,0,0,0,0,0,0,0.5361864,0.9302177,0.380447,0,0.20394734,0.9464842,0.6422716
965,0,0,2.036569,0,0,0,1.0180308,0.1534591,0,0.900321,2.6899896,1.3774887,1.5024605,0,1.7134812,0,0.04426198,0,0,0,0,0,0,0,0,2.9855483,2.389708,0,0,0,0,3.3551626,0,0,0,0,0,0,0,0,1.4428823,0,3.4371772,2.368622,0.8590116,0,0,4.3351283,0,1.9748952,0.7483222
966,6.564017,1.5262563,0,0,0,0,0,0,0,1.1771789,2.9710243,0,0,0,0,0,0,0,0,1.5871962,0,0,3.8905096,5.5673137,0,0,0,0,0,0,0,0,0,0,3.2756307,1.2859515,1.4745352,0,0,0,0,0,0,0,2.3377664,1.9757353,2.062293,0,1.4591014,1.3957142,0
967,1.4464408,3.8374753,0,0.84159166,0.060195357,0,0,0.14652303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5221543,0,0,0,0,0,2.8288136,0,0,0,0,2.1162276,2.7469761,0,0.85169,0,0,0,0.35176966,3.335545,0,0,0
968,0,0,0,0,0.8341061,4.970608,12.764261,1.5912987,0,0,0,0.2959193,0,7.74949,4.4559097,0,0,0,0.7051381,0,0,5.0446835,4.0218077,2.615831,1.8237764,0,0,10.573426,0,0.6738184,6.3008213,5.075839,5.619951,9.00849,0,0,1.2216178,0,0,0.6701781,8.877494,0.19118387,0,0,0.7512681,3.5254474,0,0,3.250198,0,0
969,0,0,0,3.3531828,0,2.8705566,0,3.6306152,2.565884,0,0,0,0.92052954,3.4648306,0,0,0,0,0,0,0,0,0,0,0,0,0.06573383,0,2.1241126,6.361615,1.3877743,0,1.1530039,0.3440319,0,0,0,0,2.6775382,3.9855173,0,1.1950474,0.9367055,2.6950529,0,0,0,0,0,0,0
970,0,0,0,2.4000738,0.46847054,0,0,0,2.7497764,0,0,0,1.2320653,3.6193585,2.867897,0,0,2.3352778,1.9550685,0.61160505,16.250006,0.077415675,2.3554702,1.201297,1.0749167,1.7575873,0,8.745571,0,1.4249672,0,0,3.8646863,0,0,0,0,0,0,0,0,0,0,0.67037344,0,0.8730367,0,0,0,0,0.08364752
971,2.5307546,1.3271906,0,0,0.7055602,0,0,0,0,0.3793628,0.8175148,0,0,2.3511631,4.4579535,1.5463362,0,0,0,0,0,0,0,0,0,3.0545843,0,0,0,4.1932926,0.17018321,0,0,0,6.859807,2.272465,0,0.29188606,0,2.859918,0,0,3.9445555,0,0,0,0,3.372991,1.2244884,0,2.2241979
972,0,1.1072994,0,0,0.3531146,0.605353,0,3.9027507,0,0,3.3009737,0,0,0,0,0.74209183,0,0,0,0.9801664,0,0.036843292,3.6511855,0.43308872,0.46409124,0,0,0,0.097062275,0.06372921,0,0,0,0,2.4821532,0,0.9057312,0,0,3.986799,10.670658,0.29208806,0.48035035,0,1.0920435,2.194531,1.4718571,0,0,0.25909945,0.13794042
973,0.21594927,0,1.2434245,0,0,2.4122849,0,0,0,1.2637565,0,0,1.9035314,0,2.0789795,0,0,0,1.1403415,0.52214175,4.4949117,1.6044159,0,0,2.4160054,1.3295242,3.0546794,0,0.7459146,0,0,0,0,0,0.5360936,0,1.5321574,2.3481143,0.5830581,0,0,0.30274862,0,1.5221012,0.08031226,0,0,5.3765955,0,0.49083605,0
974,0.96782875,0,0,0,0,2.2481415,0,0,0,0,0.05167151,0,1.0969702,3.7027462,0,4.477516,0.33783975,2.1200092,1.0948002,0,4.762675,0,0,0,0.8389807,0,0,5.466902,0,1.5396938,0,0.3378114,0,0,3.907637,0,0.8831394,0,0.52630794,0,3.6004028,0,0.65632004,0.33078033,0,0.714399,0,2.2410688,0,0,0
