x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038
232,0,3.662269,6.5617185,0,1.7626078,1.4241204,2.4556642,1.1097625,0,1.9953731,0,0,0,1.2476965,0,0,0,0,1.5567895,2.4922597,0,0,2.746099,11.790351,1.356164,0,0.44965467,2.4974594,1.5156509,0,4.47191,5.1616454,1.9969883,3.7300138,0.65627146,9.560325,0,0.4260182,0
233,3.0793958,0,0,0,1.0708561,4.2655864,0,0,0,0,1.6057254,2.543034,0,0,0,0.33554375,2.498679,1.5985136,2.1829119,0,0,0,0,4.471918,0,0,2.0338697,0,1.201099,0.4481918,3.1800745,3.2213395,0.1719964,7.8630843,0,5.144203,0,0,0
234,0,0,10.120557,0.7296653,0,6.8138742,2.2629502,0,0,0,0,0,0,0,0,0,0,0.75095546,0,0,0.5809045,0,0.5738539,3.1766014,0.6501679,0,0,0,6.1660194,0.56875,0.67386407,1.3710632,0,8.23288,0,2.8987288,0,0,0
235,0,5.3726287,0,0,0.70739186,0.07684156,0,0,0,0,0.001215442,0,0,0,0,1.7050428,0,0.6635354,1.1475333,0,0,0,0,4.378533,0.4358251,0,0,0,14.944423,0.33749545,3.3422368,0,0,3.0805566,0,4.838349,0,0,0
236,0,0,0,0,0.3005119,0.42250627,0,0,0,0,0.05473681,1.4407269,0.8939128,0,0,0.62258506,0.3847165,0,2.2258878,0,3.762143,0,0,2.0398679,0,0.9535104,1.8530542,0,4.7530627,0,0,1.699308,0.7062824,4.0573463,0.12716961,1.1585515,1.0344421,0,0.6265374
237,0,1.6151211,0.25041723,1.1884457,0,0,0.55474865,0,0,0.11937365,3.326246,0,0.45106828,0,0,0,0.44524977,0,1.640572,1.8662856,0.21607727,1.0165073,1.0234891,6.822669,0.86646384,4.56002,0,2.944093,11.3661995,0,1.116478,4.3826666,0,0.27623156,2.5795047,0,0,0,1.3012527
238,0,11.872863,0,0,0,0.65636957,1.0972528,0,0,0.60674405,0,0,0,6.1705503,0.1013559,1.0880802,0.061260354,2.4023857,2.1177318,0,2.143804,2.2050905,0,0.61278963,1.4232874,0.3409841,0.24526326,0,2.2418127,0.30136314,0,1.6256012,0,0,0,0.82414085,0,0.1848755,0
239,0,4.517193,0,0,0,0,0.21019228,1.6598082,0,0,1.1442091,0,0,0,0.1706947,0,2.218782,0,1.8591843,0,0,0.009681069,0,0.66539645,3.121228,1.4092504,0.26388568,0,6.176909,0,0,0,0,1.266087,1.308167,0.092377506,1.1020312,1.0038737,0.36991704
240,2.1188927,0.84413105,4.099682,0,0,0.5181397,1.3640697,0,0,0,0,0,0,6.7576847,0,0,0,0,0.41700527,1.7353411,0,0.6341657,0,0.8930991,1.5595974,0,0,1.6996678,4.0303254,1.3055042,0,1.5555103,1.6098199,0,0,1.108193,0,0.32560825,1.269718
241,2.7628372,3.4616055,0,0.6042421,0.65485746,1.5343755,0,0,1.1413985,0,1.4512961,0,0,0,1.449039,1.7338252,0.4177112,0.35255197,0,0.06530758,0,0,0,0,1.032327,1.6006833,0,0,0,0.71365714,0.14037888,0,0,1.3461549,0,0.009926268,0,0,0
242,0,4.7227516,0,0,0.6160047,2.841323,0,0,0.8169018,0,0,0.71248066,0,0,0,0,0.65890205,0.6626926,0,0,0,0,0,0,0,0,5.4073167,0,0,0,0,0,0,0,0,0.6133617,0,0,0
243,0,0,2.7872267,0,0,1.0869241,0,0,0,1.2863646,0,2.6401842,0,0,0,0.3027698,1.817553,0,0,0,0,0,0,0,0.5232325,0,0.99735224,0,0,0.1385891,0,1.3937016,0,0,0,0,0,0,0
244,1.904489,3.0235121,4.91995,0,0.3809247,0,0,0,0,0,0,0,3.0404623,3.1431491,0,0,0.9212169,0.2017967,0,0,0.8391001,0,0,0,0.7315586,0,0.22536287,0,1.8633579,0,0,0,0.11948044,0,0,0,0,0,0
245,0,16.766438,0,0,0,0,2.4319384,1.2444521,0,0,0,0,4.349767,0,0.60451657,1.5158477,0,1.0483627,0.806612,0,3.3019128,0,0,0,1.1252865,0,0,0,0.728669,0,0.8835672,0.32961202,0.12046454,0.1470404,1.5394642,0,2.0740294,0,0
246,0,1.3609526,5.120369,0.7931107,0,1.4517006,0,0,0.4845299,0.7177972,0,0,0,0,0.26613387,0.48914254,2.6343694,2.0556014,0.1550938,0,1.2141864,3.3026116,0,0.19476293,0,0.9660812,0.40558872,0.973176,0,0,0.67524725,0,0,0.032224014,0,0.73114413,0,0,0
247,0,0,0,0,0,0,0,1.8059996,0,0,0,0,0,4.3604064,0.35978964,0,0,3.0080178,0,0.8247823,0,0,1.8561263,1.4665954,0,3.363987,0,4.64429,0.28649634,0,1.2050167,0,3.4271412,0,1.0812548,0,0.996231,0,1.3816477
248,0,5.049862,0,0.022075351,1.252732,1.532208,0,0.13852571,0,0,0.51436526,0,2.730009,1.8419592,0,0,0,1.1697738,0,0,0.12657999,0,0.33143672,0,0,0.7190437,1.2308968,0,0,0,0.45737165,0,0,0,0,0.8056413,0,0,1.9002765
249,1.3694018,5.4700637,0,0,1.2822962,5.1700006,0,0,1.388386,0,0,0,5.0362,6.4501996,0,0.69119436,1.2654991,0.25261214,0,1.9932535,0.06272005,0,0,0,0,1.3734374,0,0,0,0.6464023,0.81227094,0,0.669255,0,0,0.29335678,0,0.5715768,0
250,0,6.008307,0,2.1812296,0.49549714,0,0,0,2.1562893,0.19528936,0.18226841,0.9558005,0.5269495,0.30223396,2.4758315,0.5947982,0,0,0.14575669,0,1.3324904,0.94602644,0,0,0,0,2.995679,0.1471694,0,1.2246482,0.115945674,0,0,0,0,0,0,0,0
251,1.6364187,0,0,0,1.6008704,0,0.5566588,0,0,1.8059466,0,0.45486793,0,0,0,0.037631094,2.1529236,0,0,0,0.97182256,0,0.18197802,0,0,0,0,0.163188,0,0,0,0.02550035,0,0,0,0,0,0.21871853,0
252,2.4343119,0,0,0,0,0,0.5693062,0,0,2.5830317,3.4193296,0,0,0,0,0.36309892,1.4994841,0,0,0,0,0,0,0,0.020237952,0.64019716,0.81691474,0,0,0,0,0.8743868,0,0.4321887,0,0,1.4501882,0,0
253,0.76687694,0,7.401443,0,0,0,0.13863899,0,1.9038986,0,0,0,0,0.09035635,0,0.22565962,0.027319403,0,0,0,3.976846,0,0,0,0,0.3213996,0,0,0,1.8911532,0,0,1.284775,0.51235986,0,0.46180293,0.38365042,0,0
254,0,9.020502,0,1.0211362,0.5585059,1.8426422,0.8179901,0,0.16908352,0,0,0.99056274,0,0,0,1.8410424,0.44790852,0.15608807,0.91488785,0,0.20756495,0,0,0,0,0,0.98293626,0,0,0.72469443,0,0.20660104,0,0.87105715,0,0,0,1.5037013,0
255,1.0034239,2.4554865,0.79625785,2.2321293,0,0,0,0,0,0,0.73182297,0,0.86097145,0,0.344925,0,0,0,1.6759475,0.44224447,0,0.085821055,1.7094159,0,1.7146945,0.49524668,0,0.41388792,0,0,0,0,2.9854398,0,0.81958216,0,0,0,0.48798576
256,0.25646004,0,0,0,0,0,0,0,0,0,0,0,6.741448,0,1.5508033,0.96775043,0,0.8539127,0,0,0,0.21752964,0,0,0,1.8604892,2.7572503,0.14846316,0,0,1.2745442,0,0,0,1.304689,0.93589777,0.32527494,1.1538664,0
257,0,2.9164886,1.2692201,0.24640529,0,0,0,2.3246765,3.8893104,0.48333955,0.84018594,1.9690837,0,3.1189072,0,0,0.5847422,0,0,2.212102,0,1.2026818,0,1.7152419,0,0,0,0.8010833,0,0.332221,0,1.6669023,0,0,0.90548074,0.14346005,0,0,1.8734721
258,0,0,0,0,1.9319086,2.4323127,1.4257311,0.36906397,0,0,1.5782292,0,2.996176,4.097817,0,1.7257811,0.46408314,0,0,0.979696,1.4131927,2.0120494,3.2156584,0,0,0,0,2.5916483,2.061646,0,0,0,0,0.8259565,0,0.674826,0.35107538,0.93270206,0
259,0,5.247047,0,0.83212364,0,0,0.26145974,0,0.035783067,0,0,0,9.744308,0,0,0.08829932,0,0.24037002,0,0.23016259,0,0,1.715786,0,1.5225483,0,2.2643774,0,0.20246051,0,0,0,0,0,0,0.053549547,0.39055243,0,0.021271812
260,0,0,0.8260527,2.4924052,0,2.9139912,1.7313004,0,0,0,0,0,0,1.4739667,0,0,0,0,0.26084048,0,0,0,0.83912325,0.20756698,0,0,0,1.2513912,0,0.4069006,0,0,0,0,0.76860946,0,0,0,0
261,0,0,0,0,0,0,0,0,0.11066128,0,0,3.4368644,0,0,0,0,0,0,0,0,0,0,0,1.674609,0,0,2.493094,0,0,1.0843494,0,0,0,0,0,0,0,0,0
262,0,0,6.1550817,0,0.7808679,0,0,0.85807496,0.07050265,0.8957964,0,2.7179122,0,0,0,0,0,0,0,0.23567718,0.51460207,0,0,0,0,0,0,0,0,0,0,0,0.004811707,0,0,0,0,0,0
263,0.73565,0,5.5196023,0,0,0,0.6108107,1.6732478,0,0,0,0,2.2223237,0,3.278374,0,0,0,0,0.30097872,0.546404,1.5387882,0.7660848,0.21955572,0,0,0,0.117684506,0.76292264,0.8489938,0,2.7685785,0.04687987,0.4203427,1.2662443,0,0,0.36179322,0
264,0.28534982,0,0,0,2.5464005,0,0.46236512,0.15827744,0.62168807,1.771952,1.687984,0,0,3.4994018,0,0,0,0,0,0,0,0.7310887,0.32479322,1.4681541,0,0,0.10579264,0.8638699,0,1.9063995,0,0,0,0,0.58273786,0,0,0.36085346,0.9339294
265,0,0,0,1.515676,0,0,1.858956,0.29442853,0,0,0,1.3085772,0,0,0.015228995,0,0.3455209,0,0.39362168,1.8470838,0.34390953,1.4964023,0,0.45967892,0,0,3.4993215,2.163177,0.22227633,0,0.847432,0,0,0,0,1.7750845,0,0.96896994,0
266,0,8.229067,2.821013,0,0.33782777,0,0.0646989,0,0,0,0,0.59924114,1.5222523,0,0.27144712,0.36900264,0.772965,2.1472993,1.9587909,0,1.3124255,0.9611345,0,0,0,0,0,0,0.99426883,0,0.4210212,0,2.831952,1.9174942,1.3627951,0.3649595,2.2338974,0.29812124,1.3427274
267,0,2.0626047,0,0,0,0.20937316,4.310758,0,0,0,0,0,0,4.202184,0,0,1.5639949,0.5937656,0,0,0,0,1.2228022,0,0.7265832,0,0,0,2.4560091,0,0.4597129,0,0,0,0.94006854,0,0,0,0
268,0,0,0.46862188,0,0.29162833,0,0.6346896,0,1.236686,0.36194894,1.0097882,0,0,3.5708616,0.037282154,1.4653523,0,0.3944345,0.40260163,0,1.6110967,0.91467416,0,0.43908793,0,0,1.7032639,0.06695487,0,0,0.8833668,0,0,0,0,1.0502741,2.911185,3.0596173,0.21836291
269,0,3.1306903,0,0.28340876,0.49721712,0,0.6922247,0.42927143,0,0,0,0,4.743941,4.263917,0,0,0,0,0,0,0,0,1.3396266,0,0,1.4159148,0,2.7358203,0,0,0.3371587,0.57611614,0,0,0,0,0,0,0
270,1.3242667,7.2614765,0,0,0,0,0,0,0,1.0587121,0,0.5999311,0,0,0.6028755,0.6138345,0,0,0,0,0,0,0,0,0,0,0.528493,0,0,0,0,0.11153278,0,0,0,0,0,0,0
271,0.6751746,0,0,0,0,1.7366079,0,0,0,1.0186872,1.5857786,0.41121456,6.715554,1.2073469,0,0,2.3996975,0,0,0,0,0,0,0,0.23477337,0.21655281,1.004607,0,0,3.6128736,0,0.2115584,0,0,0,0.44010532,0,0.7929359,0.23478556
272,1.3734877,0,0,1.2925657,1.2135324,0,0,0,0,0,0.021288065,0,0,0,1.1999397,0.21940576,0,0,0.03902106,0,0,0,0,0,1.5999504,0,0,1.118786,2.6250143,0.65316343,1.0446855,0.8655262,1.6805857,0,0,0,0,0,0
273,1.8554212,0,0,0,1.6444896,0.635093,0,0.5277963,0,0,0,0,4.9392104,0,0,0.38072515,0,2.9357307,1.2577639,0,2.9174163,0,0.77818614,0,0,1.2430452,0,2.7066252,0.86864877,0.20893091,0,0.77874136,0.001666629,0.6570928,3.6012511,0,1.6804187,0,0
274,1.2589697,4.9115787,4.83159,0,0,0,0,3.3529673,0,0,0,0,4.6434298,0,0,0,0,0,0,0,0.80702704,0.36267552,0,1.4920058,0,2.0418913,0,0.9839693,0,0.08898073,0,0,1.9599519,0.20336258,0,0,0,0,0
275,0,0,0.70369136,0,0,0,0,0,0,0,0,0,1.250131,0,0,0,4.244846,0.05245946,0,0.33910462,2.1720605,1.2024202,0.70366514,0,0.24411027,0.99511904,0,0.944558,0,0,1.3222017,2.0227957,0,0,0,0.39126262,2.2701752,0,2.598477
276,0,2.4658232,3.2069292,0.9932513,0,0.71938074,0,0,2.4254327,0.49135083,0,0,4.016421,0,0.016643718,0,0,0,2.523744,0.3976133,0.37814686,0.2809737,1.6022354,0,0,0,0,1.6490384,0,0,0,0,0,1.6790286,1.3073872,2.4480853,0,0,0
