x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
103,0,0,0,0,1.9120044,0,0,0.6743181,0,0,0.7803787,0.39041623,0,0,0,0,0,4.022007,3.8663626,0,0,0,10.064183,1.0197388,7.4087973
104,0,0,0.18987232,0,0,1.9632258,1.3663656,1.7333142,0,0,0.65554696,0,0,0,0,0,0.64855033,0,0,0,0.81835216,1.5298905,1.858979,0,0
105,0.45710787,0,1.6225631,0,1.9737629,0,0,0,0.9760397,0.41521642,2.1340618,0.6215838,0,0.18124714,0,0,0,0,0,0,0,0.6839022,0,0,0.50798076
106,0.70542055,0.81622326,0,0,0.18881291,0,1.4222972,0.62571365,0,0.18468347,0.5831263,0,0.3433967,1.0245011,0,0.75900066,1.0165448,0,1.3776165,0.7299778,0,0,0,0.2487318,0
107,0,0,1.0442102,0,2.608395,1.8697575,0,0,0,0.566383,0.32268062,0,0.1154724,0.31208828,0,0.45279813,0.66763186,1.7509899,1.8440855,0,3.7589717,0,0,0,4.3956666
108,0,0,0,0.692829,0,4.0341144,1.3393083,3.0610764,0,0,0,0,0,0.8919361,2.4415312,2.3173194,0.14232841,3.6727762,0,1.0053557,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0.047374878,0.6551319,2.7252796,0,0,0.30906066,2.3418944,1.0821675,5.6129413,0.7986712,0,5.0349064,0.08969574,0.6728528,0,2.4834552
110,0,0,0.7612134,0,2.3625453,0,0,0.7432666,0.685372,0,0,0,0,0.029532313,0,2.4262269,0,0,0,0.5322351,0,0,6.727265,0,2.5331757
111,1.3987433,0.8732388,0.59705156,0,0,0,1.033844,2.569479,0,0.45182958,0,0,0,0,3.685866,0.8231636,0,0,3.5283823,0,0,0,1.2949035,1.8660405,0.62394077
112,0,0,0.827668,0,0,0,0,0,0,0,0,0,0.16637263,0,0,0,0,2.9322665,0,0,0,0,1.3452808,0,0
113,0.09179279,0,0,1.4135146,0,0,0,0.3912624,0,0,0.058167607,0,0.76951003,1.6439363,0.108830966,0,0.02978292,0,0,0,0,0,0,0,4.994904
