x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
105,0,0,0,0,0,0,0.7765402,0.9630909,0,0,0,1.3551816,1.1552683,0.74798775,2.752455,0,0.6900674,5.3864517,0,0,0,0
106,0.60395885,1.6084678,0,0,0,0,0,6.1275787,0,0.17934167,0,1.7551287,3.8511615,0,0.74066085,1.2657164,0.92997366,0,10.064126,4.741398,0,2.6896648
107,0.9398149,0,1.9601393,1.7765125,0,0,1.7923003,0,0,0,0,0.007562286,0,0,4.6461816,1.4800174,1.8420014,2.8128119,0,0,5.2661133,0
108,0,2.0503795,1.8561561,0.07205961,1.5989467,1.0471193,0,0,0,0,0,0,2.913172,1.2393923,0,1.2057605,1.3904963,0,5.8539968,0,0,0
109,0,0,0,0,4.1935887,1.0879229,1.6854763,0,2.9814374,2.2481468,0,0,0,0.1350407,1.9649318,0.21575041,0,2.2479951,5.5255065,6.6550174,0,0
110,0,1.7964475,0,0,0,2.5964494,0,0.5187196,2.891976,0,1.2908415,2.6536233,0,0,0,0,0,2.0647569,0,7.327957,0,1.2133648
111,0,1.2766532,0,0.03327326,0,1.4167516,0,1.5687888,0,0,0,0,0,1.2893729,0,0.3288148,0,3.395196,1.0041142,2.8969285,0,0
112,0.17839044,0,1.6125643,0,0,0,0.11955419,0,1.0724537,0,0.21306303,0,0,0,0,0,0,0,0.42537472,0,2.4929397,0
113,1.3155977,0.016281297,0,0,0,2.90075,0,0,0.9813384,0,0.5654476,0,1.4333233,0,0,0.22539258,0,0,0,0,0,0.26355344
114,0.93863046,0,1.4399986,0,0,0,0,0.21658805,0.18117952,0.041682016,1.8274865,0,1.3527108,0,0,0,0,0,0,0,0,0
115,0,0,0,1.6307937,1.3064501,0,0,0,0,0,0.80044365,0,0,0,0,0,0,0,0,0,0,0.06676254
116,0,0,2.0406985,0,0,0,0.24068153,0,0,0.5878505,0,0,0,0,0.041078024,0,0,2.126368,0,0,0,0
117,0,0,0.99550545,0,0,5.399499,0,0,0,1.3968405,0,0,0,0,0,0.19864964,6.7400455,0,0,5.128982,0,0
118,0,0.58371216,0,0,0.823131,0,0,3.8766444,0,3.8699226,4.1227736,4.221357,0,0,2.238179,0.5558336,1.8303963,0,1.7012647,0,0.52116954,0.03780233
119,0,2.869799,0,0.20325477,1.9060183,1.0604299,0.6286672,0,2.084857,0,0,4.243299,0,0,0,0,1.6806408,0.65687025,2.527538,0,0,0
120,0.38831535,0,0.37233213,0,3.1965044,4.4973783,0,0,1.2929869,0,0,2.0345325,2.170885,0.8250971,0.71810925,0,0,0,5.5479484,0,1.870817,0.8373967
121,0.33285597,0.072712906,0,3.7011745,0.15199362,1.3747395,0.8979653,0.14747761,0,0,2.1096942,1.286875,1.980776,0.7454046,0.82387525,0,0,0.29233086,0,3.05335,2.6831887,0
122,0,3.9375024,1.2658978,2.5421708,0,0,0,0,2.155967,0,0,0,0,0,3.206857,0,2.5065796,1.7760134,0,0,0.10047837,0
123,0,0,1.0720205,0,2.672174,7.700914,0,1.0571868,0,0.75483066,0,0,0,0,5.4534483,0.94476515,0,1.4151778,1.9593575,0,0.55284023,0
124,0,2.4517665,0,0,0.48058537,0,1.0741676,1.0439466,0,0,0,0,0,0.043821566,0,0,6.330365,3.6846592,2.9496748,0,0,0
125,0,0,0,0,0,0,0,0,1.6720122,0,0,0,0.9686633,0.47756237,0,0,0,0,0,2.9095843,2.7338054,0.113426715
126,0,0,0,1.7491391,0,6.3385134,0.092070825,0.12984589,0,0.24461085,0,2.0991652,0,0,0,2.3832834,0.29868174,1.250671,6.21821,1.0852941,1.5406585,0.33927613
127,0.14724082,0,0,6.5144353,0,1.0313687,0,0,0,1.5262147,0,0,0,0,0,1.0229398,0,2.0235841,1.6097257,0,0,0.2507906
128,0,0,1.7383848,0,0,1.3347445,5.451061,0,0,1.1389824,2.5108051,0,4.7452855,0,2.3752759,0,0,0,0,0,0,0
129,0.5140865,0,0,0,0,2.9457731,2.5984716,0,0,0,0,1.3491379,4.8960614,1.4757494,0,2.1168003,0,0,0,0,0,1.269377
130,0.5989911,4.8832088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8889472,0,0,0,0
131,0,0,0,2.2378283,0.5227723,0.6509676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2088321
132,0.25154725,0,0.9375417,0,1.836185,0.0863595,0,0,1.4568089,0,0,0.052734405,0,0,3.1996663,0,0,0,0.4213935,0,0,0
133,1.2720709,1.0827234,0,0,0,0,0.19744663,0,1.0498961,1.9401922,1.6730211,0,0.5474101,0.09418951,0,0,0,0,1.8083739,3.3396177,0,0
134,0,0,0,0,0,0,0.37641808,0,0,0,0,0,0,0,0.29412088,0.93632287,0,0,0,1.1998904,0,0
135,0,0,0.48049185,0,1.4771849,0,0,0,0,0,0.048027404,0,0,0,4.0085206,1.9462472,0.35457304,0,0.6960606,6.032529,0.6203892,1.4108566
136,0.58329326,3.0551538,0,0,0,0,0,4.0623174,3.484499,0.001913152,0,0.61036205,0.62895775,0,1.5817577,1.278646,0,1.2700078,0,6.2715507,0,0
137,0.3011462,1.2537148,0,0,0,2.187373,0,1.2869494,1.5571887,1.2465495,1.7772985,1.666063,0,2.7299595,0,0,0,1.8195264,0,0,0,0
138,0,4.2752256,0,0.9034405,0,0.684855,0,0.1836882,0.28955492,0,0,5.3029814,0,0,0,1.4109187,2.6712334,5.728913,0,0,6.2734404,0
139,0,0,4.318969,0,0,0,0,1.657076,0,0,0,0.49305624,2.197564,0,1.1362362,0.17155826,0.19532835,0,0,0.891508,0,0.001126505
140,0.17978358,0,0,2.6443377,0,7.3944664,0,0,3.570659,0.5118181,1.4234132,0,0,0,0,0,0.38248128,1.2459449,0,7.714785,0,0.68894786
141,0,0,0,0.50232404,0,0,3.193955,0,0,0,0,0.38414356,2.5512767,2.4529953,1.4480021,2.2728682,0.19551197,3.0027108,6.8167577,0,0,0.07505871
142,0,4.8697023,4.54099,0,2.6193051,0,3.8009884,0,0.90285337,0,1.1616209,0,0,0,0.8983207,0,0,0,0,0,0,0
143,0,0.8232673,0,1.9137737,0,0,0,0,0,0,1.7433864,0,0,0.49761742,0,0,0.24266002,0,2.9730327,0,0,0.55902654
