x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
83,0,1.5892477,2.4175785,0,1.0844398,0,1.300852,0,0.67621124,2.4151855,2.107873,9.775408,0,0.7562066,3.9865668,0,0,0,0,0.6557447,0,0,0,3.633835
84,0,0,0,3.7949388,0,0,0,0.7109264,1.0053629,0,2.945373,0,1.4001455,0.8981058,0,3.0063734,0.6290542,0,1.2085938,0.896086,1.007898,0,5.457448,8.4153
85,0.036863584,0,0,0.30858395,0.92061955,0.028075458,0,0,0,0.63684326,0,0,0,0.51724714,0,2.648151,0,0,2.4803023,0.700005,0.83626825,1.589394,0,0
86,0,3.217526,0,0,0,0.38038233,1.0356294,0,0,0.97249365,1.174296,6.078214,0,0,0,0,0,1.5947906,2.7642515,0,0,2.5867186,0,0
87,0,0,0.82211,4.8012004,0.027820032,0,0,1.0492641,0,0,3.5247283,0.63327473,2.6170266,0,2.7092428,0,0,0,1.2345148,2.183374,1.670486,0,4.626209,1.2538224
88,0,0,0,0.41641998,0,0.33952725,0.6911311,3.1520982,0,0,0,0.8137476,0,0.16276793,1.4822384,1.9931829,2.8760338,0,1.957392,0,0,0,2.4665709,9.252061
89,0,7.5406914,2.7369456,2.0603945,0,2.6225452,2.6315482,0,5.095113,1.272844,2.115817,1.5492631,0.83915985,0.5021326,0.13428022,2.742071,0,0,2.4668157,1.3923367,0,0,1.8685865,0
90,4.6947856,3.53263,0,0.73957974,0,0,0,0,0,0,0,0,0,1.3349434,0,0.8460978,2.9932568,9.891271,5.7186494,0,2.5001333,0,0,0
91,3.5645509,0,0,0,5.505444,0,0,0,0,0.4904889,3.2821043,0,0.5014081,0,3.1768525,1.4202178,0,1.6152747,0,2.8937252,0,0,0,0
92,2.0916271,0,0,0,0.9020389,2.639233,0,0,0,0.39398465,0,0,0,0,0,0.3138169,1.7379144,0,0,0,0,0,0,0
93,1.0160757,0,0.744583,0,0,1.3933169,0,2.41816,0,0,0.8389719,0.0792352,0,2.6964285,1.6842862,0,3.807507,0.22665443,0,1.1679534,1.0861702,0,0,0
94,0,0,0,0,1.207925,0,0.41734803,0.7608336,0.2553602,0,0,0,4.006632,0.045616124,0,0.5422074,1.5729598,0,0,1.9587946,0,1.766931,0,2.14694
95,0,0,0,0,0,1.0594827,0,1.8904117,0,2.1318533,0,0,0,0.38648722,0,0,2.3072107,2.850511,0,0,0.9718739,0,0,0
96,0,0.4116831,5.789473,0,0,0,2.440968,0,1.491252,2.7974706,0,0,0,0,0,0.48655373,0.09986865,2.0018528,0.8827059,0,0,2.088156,0,0
97,1.5285535,0,0,0,2.9050071,0,0,0,0,0,0,0,0,0,2.6278484,0,0,4.9338136,0,4.3076186,0,3.3350837,2.6815395,0
98,0,0,0,9.8114605,0,0.036794495,3.2403975,2.4741826,0,0,0.46582413,1.1369712,0,0.32254568,0,0,2.400685,3.2278557,0,0,0,0,0,11.986708
99,3.4634109,0,0,0,0,1.9074006,2.5268366,0,0,0,0,0,0,0.43117002,1.7384702,1.3902049,3.6836681,0.23443034,0,1.0970109,0.8376173,1.7356774,7.938644,0
100,3.354695,0,0,0,1.6605119,0,0,0,0,0,0.8460545,0,0,0,1.4109192,2.9181778,0,8.69717,1.75805,0,5.968978,0,0,5.8944225
101,6.016321,0,0,0.97199875,1.4462476,0,3.5438495,1.3040754,5.556966,0.82116467,1.1258751,0,1.7257284,0.57903045,0,0,0,0,3.2786195,0,1.687691,5.2354403,0.53037953,0
102,0,0,4.832967,0,0,0,0.1023327,0,0,0,0.013479889,0,1.0747932,0,2.0148966,0.8668868,0,3.2830973,0,1.0646292,0,0,12.5543785,6.201576
103,0,0,5.5213,0,0,0,4.3989844,0,3.6017168,3.134181,0,0,0,0,0,0,2.491287,1.523642,0,0,0,0,0,0
104,1.9620202,3.1115623,0,0,0,0,0.037095953,1.4846561,0,0.27903813,0,0,1.0571835,0,0,0,0,0,1.129631,0,0,0.8472978,3.0299861,0
105,0,0,0,0,0.85219014,1.476348,0,0,0,2.3112056,3.3260243,0,0,0,0.20042142,0,0,0,0,3.0620055,2.2730534,0.16811638,1.4379368,0
106,0,0,0.87157214,2.064641,0,0.71815336,0,0.41918918,0.5925143,4.312158,0,0,0.24211356,0,3.2814417,0,0,0,0,2.2637734,0,0,10.219154,0
107,5.370895,0,0,1.1662192,0,0.835005,0,0.6260021,1.3001418,0,0,0,0,3.783772,0,0.6636455,0,0,0.31696337,0,1.1881559,0,0,6.841681
108,0,2.4714582,11.905139,1.4948746,0.44237015,0,0,0,0,1.5040092,2.9442337,2.2200363,0.9872847,1.0013638,0,0.08291687,0.050901894,0,0,0,0,2.8774261,4.65208,0.4963986
109,0,0,0,0,0.611835,8.50242,0,0,1.9612861,0,0,4.668995,2.525805,0,0.047559105,0,0.7382609,2.9209387,5.6799555,0.6355828,3.9338627,1.0310271,0,5.6836944
110,0,1.0630878,0.6016487,0,2.8991907,0,0,0,0,0,0,0,2.105226,0.71975565,1.017069,0,1.1512618,0.5023978,0,1.5817032,0,0,1.9753191,0
111,0,0,0.7083952,1.7592261,0,0,0,0,0,0,0,0,2.318371,2.094118,2.117961,1.2890474,0,0,0,0,0,0,0,0
112,0.14466402,0,0,0,0,0,0,0.781482,0,0.91681916,0,0,1.2983031,2.317415,3.6997743,0,2.1857612,0,0.81985027,0,0,0,0,0
113,0,0.24917564,0,0.40538833,0,0,1.3264835,0.30581787,0,0.49368218,0,3.5798512,2.7669969,0,0,0,0,0.9972456,6.0841694,1.748211,1.561818,2.9687698,0,0
114,1.3914285,0,0,0,0,0,5.1579356,0,0,4.740509,0,0,3.0382476,0,4.136824,0,2.238764,1.0320483,0,0,0,0,0,0.5310064
115,3.4532773,0.054924034,0.6302644,2.623273,0,5.2128005,0,2.6102495,2.8258202,0,0,5.2215075,0.32645443,0,0,1.9344716,2.21078,0,0,0,1.8125335,0,3.6638138,0
116,0,2.572921,0,0,0,1.2835469,0,0,0,0,1.3951972,0,0,0.49729848,0,4.0278187,0.10720641,0,0,2.6236398,0.38075465,0,0,0
117,2.086752,2.2317486,0.9504441,2.2670767,0,0.39189544,0,0,0,1.4370717,0,0,0.7805834,0,5.580955,1.0660744,0,0,0,0,0.34901014,0,0,0.8116372
118,0,0,1.1564099,0,0,0,0,0,2.5419643,0.97978765,0,0,0,0,0,0,0,4.786364,0,3.8991442,0,0,0,0
119,0,0,3.5877066,3.1909418,0,1.2718385,1.0495839,0,0,0,0,0.22214548,0,2.753991,2.8344746,0,0,0,0,0,0,3.8549767,6.4337273,0
120,0,0,0,0,0,2.4769607,3.2586915,0,0,0,5.079052,8.462786,0,1.8879317,0,6.107943,0.9505419,0,3.657923,1.0942823,0.3894557,1.0823768,0.75164044,4.155037
121,2.683336,0.23316427,0,0,0,0,0,0.4045321,0,1.0294675,0,0,0,0,0,0,1.391757,0,0,1.512809,0,0,8.886466,0
122,4.4883857,0,2.747112,0.8379533,0,3.978945,0,0,2.5937755,2.5289547,0,2.1780868,0,2.1976478,0,3.5856206,0,2.4658422,0,0,2.337185,0,0,0
123,0,0,0,0,0,0,3.0597343,0,0,0,0,0.2548877,0,0,0,0,0.02318727,0,0,0,0,0,0,0
124,0,3.056627,0,0,0,0,0.5912983,0,0,4.0493703,4.841731,0,0,0,0,0,0.4239778,0,0,0,0,0,0,0
125,0,0.9777582,0,0,0,0,0,0,0,1.7307211,0,0,0,0,0,0,2.3792686,0,0,0,0,1.615716,0,0
126,0,3.0310879,0,0,0,0,0.1320812,0.43420386,0,0,6.7629867,6.398438,0,0,0,0,0,0,3.3969736,0,3.5329623,0,0,0
127,0,0,0,1.9315826,0,0,0,1.1721117,7.6853476,0,0.438646,0,0,0,0,0,0,0,0,0,0,1.2681298,0,0
128,0,4.840652,0,0,1.2198354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7634897,0,11.9661045
129,0,3.1437898,0.8183627,3.411835,0,0,0,0,0,0,0,0.29032147,0,0.30250162,0,1.3348999,1.7810937,3.4218366,0,0,0,0,0,33.60102
130,0,5.1863704,0.54198265,1.8307819,0,0,3.469238,0,0,3.305982,2.1838038,0,3.3808553,2.283957,2.4585595,1.2362397,0,0,2.835038,1.553353,0,2.1812172,0,0
131,0.69732964,0,0,0.35186145,7.45337,0.5398552,1.2659699,0.7523694,1.6153643,0,0,0.40684044,0,5.18169,0,4.6524124,0,3.632207,0,0.1747844,0.12087041,0,6.806587,5.559389
132,2.9088821,0,2.8973465,4.2613735,12.169088,0,0,0,4.299075,1.8090518,0,0,0.81272256,0,5.2896905,2.1921597,1.0381529,4.454124,1.3513255,0,5.1376925,1.7258177,10.469955,13.47031
133,0,0,0.62163305,0,0.098025896,1.8942721,0,0,1.5388645,2.1750453,0,0.5745508,0,0,0,0,0,3.0587673,0,4.6147833,0,0,5.9078045,0
134,0,11.052464,0,0,4.563279,0,1.5416917,2.395435,0,3.0414717,0,2.119243,0,0,0,0,0.69783396,0,0.22584184,0.47470564,0,0,1.799612,0
