x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
424,0,0,0,0,0,7.0574656,0,0,0,0,0,0,0,0.69066304,1.5537823,4.120435,0.05693331,0,0,0,0,20.118887,0,0,11.233922,0,0,2.4312518,0,0,2.0246935,15.392423,17.125555,0,0,0,0.61215734,0,0,0,0,2.573662,0,5.060935,0,2.5408225,5.2495823,5.987916,0,0
425,0,0,1.3200493,0,0,0,1.7155578,0.2829723,0,3.4421103,0,0,3.6469634,3.8329053,0,1.6093067,0,4.0032425,3.37963,1.6577448,12.707907,4.9843974,0,0,0,0,1.2991743,0,0,1.3754699,0.6424334,0,0,1.1253873,0,0,0,1.7629949,0,0.90433115,0,0.7713875,0.6161791,0,2.3408859,0,0.9209538,7.636588,1.4457839,0
426,2.45695,0,0,0,0,0,0.40055728,0.10201441,2.0842767,0,1.1518701,8.374103,0.62553215,0,0,0,1.2551291,5.7824917,2.1061094,0,0,0,6.4791064,14.818217,0,0,4.7016673,0,0,2.0390527,0,0,4.9789476,0,0,0.04903994,0,0.99858,0,0,0.8812574,0,0,0,0,1.4692137,3.73692,0.5082689,0,2.9718685
427,5.234207,0.9071185,7.074979,0,1.5240656,0.8726652,3.8853483,1.2721626,4.022692,0,4.476231,0,0,6.905032,0,5.224953,0,0,0,0,0,0,0,0,1.7695353,4.386144,0.43555298,0,0,5.5785522,2.9853299,0,0,5.525524,0,0,0,0,0,0,0,2.0956557,0,0,0,2.4355643,2.9846716,1.7473427,0.94671357,0
428,0,0,0,0,3.689428,0,0.04974381,0.31536248,0,0,0,14.253962,1.4091352,0.32585075,0,6.7358675,0,1.3872184,0,0,10.066425,3.1167498,0,9.114299,0,0,1.0247681,0,0,0,0,0,0,8.61571,0,0,0,0.13604788,0,1.5870748,0.35862285,1.6742806,0,1.5153687,0,0,0,7.808525,0,0
429,0,4.181969,2.420921,0,0.047648992,0,0,0,4.389453,0,6.3968406,0.36590618,3.6089442,1.640997,5.7095747,0,0,0,0,0,0,0,3.6288772,0.5545663,5.4564886,0,3.2993412,0,2.2413168,3.968922,0,2.599163,0,5.9448256,0,0,0,0,0.6612152,0,0,1.7453063,0,0,0,2.0141294,0,0,1.0272284,3.1244009
430,7.440764,0,0,0,0,5.8800936,0,1.1370171,0,0,4.9656253,12.531897,3.073685,4.42032,0,0,0,7.356515,0,0,0,0,0,2.7427351,0,17.043592,3.636554,0,0,0,0.53232443,0,0,5.0085015,0,0,0,0,0,0,0,2.7609704,0,2.6364164,0,6.272327,2.755207,8.685655,0,3.494825
431,0,0,0,0.042041343,3.5140512,3.6599422,0,0.40603542,0,0,4.9931717,15.5766945,4.786672,0.516627,0,6.6577315,0,4.913573,0,0,0,0,0,7.817027,10.294646,0,0,0,0,0,2.445462,0,0,13.109914,0,0,0,0,0,0,0,0,0,1.2353103,0,6.8856387,4.8457484,0,0,0
432,0,0,2.031357,0,4.070864,0,0,0,1.7074988,0.33082715,3.581294,0,2.5928838,0.044319633,0,2.2299178,0,7.506266,0,0,10.01692,0.25919458,0,0,3.2713208,4.074171,0,2.372831,0,4.502558,4.342927,6.0673237,0.8885586,11.022399,0,0,1.052396,0,0,0,0,1.4888262,2.2020693,2.8541467,0,4.4554434,0,11.31061,1.8478664,0
433,2.248905,0.752693,0,0,0,0,2.4779673,0,0,1.3098134,0,6.4573474,0,3.1005578,0,0,3.140824,1.2063372,0.99724174,0,0,0,0,22.680374,0,0,3.1037412,0,0,0,0,1.0425891,0,0,0.5728622,0.7326318,0,2.8833787,6.470068,0,0,0,0,3.3177838,0,0,3.4968455,0,0,0.95065755
