x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
883,0.27132326,2.2326293,2.4173625,0,0,0,0,0,0,0,19.694344,0,2.2375374,0,1.9987012,0,1.8739681,0,0,0,0,3.769277,2.7135386,0.23169771,5.2224903,2.8784056,3.1181972,0,1.5649285,2.9000142,0,1.1179502,3.4078429,0,0,11.816882,0,0,2.6258736,0,0,8.441634,0,0,2.2099257,1.645982,2.5080936,0,7.979139,0
884,1.2827134,0,0,0,0,5.326182,5.2788806,0.41409278,0.58650815,0,0,1.7835822,0.5895981,4.3700643,3.6169121,7.4210033,0,0,0,0,0,4.8704047,0,0,0,1.9940249,0,0,0.019471047,0,0,0,0,1.4230847,4.427091,0,8.41173,0,0,0,0,0,1.7795831,0,0,2.093455,0,1.565619,2.0665433,0
885,0,0,0,3.7565649,7.196807,0,0.36180106,0,2.6883156,0,0,0,1.6619952,5.3009405,4.513637,0,0,0.65974444,6.0921736,0,0,1.247622,0,0,2.876841,0.011694526,0.5949944,0,0,0,0,0,3.34131,7.214827,0,0,0,0,2.8742979,1.3157476,0,0,0,2.3949301,0,2.7838345,0,0.06336593,0,0
886,0.01742679,0,0,0,0,0,0,0,0,0.7194608,6.0892515,1.9743129,1.6674073,0,0,0,3.9079292,0,0,0,0.00332041,0,1.1358657,2.8192542,0.32165626,0,5.247365,1.103518,0,1.2658776,0.16472334,0,2.946187,0,0,11.847509,0,1.5998572,0,0,0,0,0.35818586,0,1.8685724,0.88559824,1.5109875,1.669809,0,0
887,0,0,0,0,0,0.08694248,0,0,0,0,5.3234696,0,1.5129048,0,0,4.5255346,0,0,0,0,2.5200348,0,1.7673851,0,9.798737,0,11.764481,0,0,1.4259275,0.24295056,0.37071607,0,0,0.5502465,0,1.5830731,0,0,0,0,0,0,3.2220626,0,0,0,2.2365985,0,1.9142704
888,0,0,1.8328695,0,4.7955832,0.81895894,0,0,0.68254906,0.973053,0,0,0.81816626,5.048184,6.2276335,0,0,0.26331696,2.9313753,0,0,5.2374063,0,0,0,2.8617146,6.2744946,0,0,0,0,0,0.76084214,0,0,0,0,0.6045944,1.1212916,0,0,0,0,0,0,2.4003098,0,1.0952902,1.8543274,0
889,2.9684513,0,0,0,9.264451,0,1.4719046,3.7688482,0,0,0.16610251,0,0,12.657359,0,2.6608856,0,0.9014034,0.026397465,9.309793,0,0,0,0,2.418092,1.2608879,0,0,0,0,0,1.148052,2.780538,0.4503933,0,0,0,0,1.9952949,0.40880418,1.814143,0.45993975,0,0,0,0,0,2.723697,2.1527379,0.6083888
890,0,0,5.0082207,0,0,0,0,0,0,0.20255525,5.9964104,1.3168018,0.3944129,5.854108,5.310524,1.7401129,0,0,0,0,0,0,0,1.9433486,1.7412431,2.2428894,0,0,1.134847,2.1872869,0,0,0,14.551397,0,0,0.87325597,0,3.2776277,2.063706,0,0.7944617,0,0.44889638,0,0,0,0,4.090206,0
891,0,0,1.4511863,0,0,3.0913744,0,0,2.797812,0,0.18723367,0,1.451591,7.998384,4.38235,4.264785,11.724057,6.316669,0,0,0,0,0,0,3.9168477,0,0,0,0,0,0,5.405386,0,2.2518895,0,0,0,0,0,0,5.797977,0,0,0,0,0,0,0.33573008,1.6786089,0
892,0.606991,0,0,0,13.694984,2.1660624,0,0,0,0.9586947,0.58055955,0,1.6389982,0.30987898,3.4912622,5.8116865,6.721407,0.84865594,1.9831456,6.7052407,3.151528,3.0882647,0,0,0.43993476,2.662294,0,2.3809488,3.3147674,1.7582011,0,1.7077345,0,1.296128,0,0,1.8344606,0,4.2419033,0,0,0.007328189,0,4.4673986,0,2.9583423,9.233021,6.410487,5.8434806,2.4925075
