x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035
56,1.0151273,0.18199846,0,4.4205313,0.2018527,0.48848376,0,0.44081655,0,0.84593976,2.9237194,0,0,0.056291204,3.423874,2.7622476,1.089185,0.73657924,0,0.6480651,0.003315016,0.13704364,0,1.8779244,0,0,0,2.3924575,0.1854768,5.090933,0.91428155,5.2777243,0,0,0,0
57,0.15042135,0.53559554,0,0,0,0,0,6.195646,2.2655203,1.0404576,0,0,1.7518728,6.4854326,0.39553872,0,0,0,0.5519213,0,1.8553355,0,4.150386,0,0,0,0.6467071,0,0.15788184,0.13442083,2.0294783,0,0,1.5968839,0.3547439,0.9800145
58,0,0,0,0,0,0,0,0,0,0,1.6217523,2.4457328,0,0,0,0,2.8093662,0,0.69040567,0,1.4224602,2.4060457,0,0.4443522,0,0,3.0296447,1.6834029,0,0,1.3089633,0,1.120529,0,0,2.4202912
59,0,0,0,0,0,0,0,0,0,2.2116098,0,0,0,5.3712196,0,1.0280063,0,0.92641217,0.7000884,0,0,0,0,0.18202756,0.66525364,0,0,0,0.556934,0,0,0,0.029367726,2.5578594,3.2412102,0
60,0,1.6424356,0,0,0,0.40942475,1.4517949,1.7256066,0.6208172,0.11375557,0,2.6288161,0,0,7.7747726,0,0,0,0,1.6753423,0,0,0,0,0,1.4196162,0,0.21852659,0,0,0.22423737,0,0.7447975,0,2.8691747,0
61,1.3735965,0,0.30448028,0,0,0.15855798,0,0,0,0,2.22478,4.9237385,1.0923504,0,0,13.768307,0,1.2928778,0.90870595,0,0.04598235,6.9145527,1.3777186,2.6924863,1.4356115,1.742993,0,1.4278312,1.1885365,3.7913778,0,3.0886014,0.47149667,0.9929873,0.2895966,2.156025
62,0,0,0.6501204,4.3418226,0,0,0,0,0.25102097,0.80047107,2.8051884,0.9649257,1.6880808,5.382055,1.498424,0,0,0,0,0,0.26538447,0,0.11570906,0,0,0,0,0.6618659,0,0,2.018792,0,0,0,0.004409406,0
63,3.6251106,2.898222,0.08845512,0.016952956,0,0.9485124,3.1682615,0,0,2.5413897,0,1.1906226,0,0,0,0,11.38895,0,0,1.123968,0.73736787,5.186985,0,2.480231,0.26884168,0.94509387,0,0,1.1862028,0.11565623,0,0,0,1.1473505,0.49900493,0
64,0,0,0,0,0,0,1.9109821,0,0,0.8331286,1.247976,0.1817942,0,1.8029208,0.68556124,0,0,1.6109731,0,0,2.1965044,0,0,0.4736178,2.2464368,0,0,1.749536,0.75091034,0.46936107,0.3035382,6.220166,1.9166125,0.09494313,2.1104586,0
65,0,2.7440367,0,2.1863792,0,0,0,0,0,0,0,0,0,0,0,2.5954635,0,0,0,0,0,0.7556394,0,2.7582376,0.65926415,1.4215655,0,0.77066445,0,0,0.75845474,0,0,1.4693391,0,1.1728994
66,0,0.49301866,0,0,0,0.17029086,0,0,0,0,4.6690035,0,0,0,0,17.753803,0,2.0887926,0.69582695,0,0,0,0,0.7587538,0,0,2.102851,0,4.184256,0,0,4.739365,0.44898504,0,0,0
67,4.74974,0,0,0,0,0,0,4.529385,2.6219282,0,0,0.7002276,0.076977625,2.0003989,6.300061,0,12.375848,0.4648717,0.76026064,0,0.44345757,0,0,1.2686309,1.1267418,0,0.28729,0.8854956,0,0,0,0,1.2174866,1.9387897,0.1411139,0
68,0.14291957,0,0,0,5.8969502,0.07855445,2.7548115,0,0,0,0,2.0119538,0.15950823,2.9578826,0,6.9736633,0,0,0,0,1.6405807,4.621958,7.229622,0,4.051864,0,0,2.483313,5.269258,0,1.3272568,1.0380098,1.6584982,0,1.4699155,0
69,0,0,1.4398124,2.8840723,1.2448279,0.760788,0,0.37088466,0,0,0,0.8534167,0.7481442,0,7.7969174,0,0.56334764,0,0.65146905,0,0,0,1.2108133,2.9641354,0,0,0.9175874,0,0,0,2.2923443,0.4343236,0,1.5999029,0.3888992,0
70,0,0,0,0.36178192,9.010562,0.17951284,0,0,0,1.5705676,1.304213,1.8909221,0.4261113,0,3.7409532,0.83508974,4.2012305,0,0,0,0,0,0,0,0,0,0,0,0.94481367,0,0,1.5308516,0,2.2195363,0,0
71,0,0.6990974,0,0,0,0,0,0,3.305059,0,0.8352448,0,0,0,0,16.530046,0,0.88172925,0.624835,0,0,0,0,0,2.5850143,0,0.3513583,3.5737865,1.9680154,0,0.567162,0,0,0,0,1.3215637
72,0,0.8226771,1.3999333,2.0096009,8.599771,0,0,1.6616051,0,0,1.6997031,1.4153037,0.5715945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78930575,0.74832654,0,0,4.149705,0.88507855,0,2.0593462,0
73,0,0,0,0,0.1518074,0.5637381,0,0,0,0,0,0,0.44539052,0,0,8.183544,0,0,0,0,0,0,0,0,0,3.0613701,0,0,0,0,0,0,0,0.4757953,0,0.72843784
74,1.4535768,0.7106012,2.7992995,0,0,1.055829,5.9065924,0,0,0,0,0,0,3.8307583,0,0,0,0,0,3.5067718,0.8446448,12.616906,0.4783086,0,0,2.3909695,0,0,0,0,1.4297085,0,0,0,0,0
75,0,0,0.56812537,0,0,0,0,3.8762386,0,0,0,0.20185979,0,0,6.9050884,0,2.6751497,1.0289273,0,2.87777,0.029474238,0,3.6169987,0,0.95827436,0,0,0.47888356,1.989353,0.13530701,0,0,6.5427823,0,0,2.7704258
76,0,1.0923052,0,0,0,0.59786284,4.461329,0,0.18560334,0.8417296,0,0,0,10.543028,6.259508,2.0648484,0,0,2.976357,0,4.064423,0,5.2681737,5.6660976,0.6490499,0,0,2.4954836,0.45883095,0.96032035,0,0,0,0,1.8362094,0
77,0,0,0,0,1.5589322,0.3215747,2.1750877,0,0,0,1.0545628,0,0,2.1480594,3.2949631,0,6.3091,0.18307988,0.25683963,0.60099,0.9834207,6.1865764,0,0,3.1392179,0,0,0.3081014,0.9583975,1.2265271,0,0,1.5781407,0.59908813,0,0.07373815
78,0.5084649,0,3.4264107,1.6667943,0,0.15045656,0,2.2628562,0,0,0.14456491,1.6279331,0,1.614386,0,2.3895998,0,0.70476264,2.3906896,1.8744516,1.4268664,0,0,0,0.27910107,1.1307194,0.81739396,1.4901211,0.99363035,1.4710511,0.85390997,0.20610559,0,0,0.26305878,1.165498
79,0,0.53241503,0,1.6454042,0,0.14683133,0,0.6491503,0,0,0,0,1.9257122,3.291032,0,0,0.33828095,0.7726077,1.2295911,0,0.64668554,0,0,6.082626,0.37939882,0,0.5119996,0.17591906,0.8073746,0.24319224,0.8808553,1.5361458,0,0,0,0
80,0,0.20535333,0.54630846,0,7.407837,0,0,0,0,0,0,0,0.5924452,0,2.0915406,0,2.0063894,0.6755633,0,0,0.14648668,0,0.8783066,0,0,0,0.17582299,2.7170582,3.110707,0,0,0,0.39503166,0,0,0
81,0,0,0.32191405,0,0,0,0,0,1.513298,0,2.2073681,0,1.6586543,0,2.3506482,0,2.4190464,0,1.2583369,0,0,0.4911674,1.582902,0,0.75314075,1.6044102,0,1.7172439,1.2423549,0,0,0,0,1.0737339,0,0
82,0,0.7575394,0,0,0,0,0,0,2.1742895,1.9396095,0,1.766321,0,2.454709,0,0,2.2405612,0.24251333,0,3.4252007,0,1.4101707,7.9151897,7.7530475,0,0,1.1929759,1.0091858,0.022447458,0,0.4624399,0,0,0,0,3.165478
