x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032
53,1.806637,0,0,0.95429265,0,0,1.0439476,0,0,0,0,0,0,0,0,1.1933901,0,2.9736555,0,3.039524,0.053996947,0,0.3675633,0,0,0.58672196,1.2083156,1.0699488,2.0409718,0,0.5487241,3.4973133,0
54,0,0,0.064659536,0,0.8803003,0.30955154,0,0.89366835,0,2.013473,1.4592111,0.057066105,0,0,0,0,0,0,0,0,0.50651217,0.08994449,0,0,1.9512635,0,0,0.25532654,0,0,0,0.97842026,0
55,1.0185115,0.3141686,0,0,0,0.70999956,0,0.3921551,0,0,0,0,0,0,0,0,0.35672888,1.4889115,0,0,1.319588,0.34285483,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1.3119199,0.4760122,1.7721604,0,0,0.7570088,0,0,0,0,0,0,1.2926347,0,0,0.041593537,0,0.41275784,0,0.3612639,0,0,0,0,0,0,0,0,4.689476,0.13369904
57,1.1507558,0,0.95581394,1.1442825,0,0.881439,0.8737001,0,0,0.5198649,0,0.23981056,0.901187,0,0,0,1.8525054,1.7772524,0,0,0,1.1059752,0,0,2.805613,1.6199864,0,0,0,0,0,0,0
58,0.38735244,0,0,1.099493,0,0,0,0,0,0,0,0,1.5421283,0,0,0.20467924,0,0,0,0,1.6887075,1.8182888,0,0.24574707,0,0,0,0.2840589,1.3401276,0,1.7142642,0,0
59,0.29023728,0.13016413,0.9980748,0,0.008926639,0,0,0.23241931,0,0,0,0,0.5900188,0.57556725,1.3077327,0,0,0,0,0,0.3343802,1.7073679,0,0.4506181,0,0,0,0,0.000783058,2.429242,0,0,0
60,1.314774,1.0478165,0,0,0,0.44790998,0,0,0,0,0,0,0,0.758569,0,0,4.539757,0,0,0.9699052,0.6017225,0,0,2.3603623,0,0,0.53064615,0.07226617,0,0.016371017,0,0,0.3093351
61,0,1.8844548,0,0,0,0,1.6366771,0,0.41179192,0,0,0,1.4700483,0,0,0,0,0,0,0.1906918,0,1.6662496,0.15085566,0,0.19999711,0,0,0.5224467,0,0,0.42026827,1.6567572,0
62,1.0816729,0,0.50559366,1.8518536,1.6791077,0,1.6175374,0,1.7506407,0.540633,0,1.4001501,1.2126001,0.9925155,1.1664544,0,0,0,0.52242446,0.0991474,0,0.45711523,0,1.2054095,0,0,0,0,0.38727584,1.1238604,0,1.8548886,0
63,1.3203835,0,0,0,0,0,0,0.7520935,0,0.6760534,0,0,0,0.03188545,1.3507357,0,1.4075669,1.1297599,0,0,0,0,0.41016993,0,0,0,0.30246216,1.8064263,0.11267983,2.1300576,0,0.3792157,0
64,0.4370838,0,0,0,0.5394217,0,0.8628615,0,0,0.2445207,0.27217615,0.7738883,0,0,0.70425445,0,0,0,0,0,0,0,0.23213568,0,1.325032,0.5472116,0.046795715,0,0.39805433,0,2.2046943,0,0.4749182
65,0.12407885,0,0,1.1384071,0,0,0,0,0,0,0.040882997,0,0,0,0.22759116,0,0,1.5114205,0,0,0,0,0,0.08438612,0,0,0.22575349,0,0,0,0.32579866,0.80715513,1.781656
66,0,1.7247801,0,1.8663852,0.64006585,0,0.37026492,0,0.5072112,0.971708,1.2489606,0,0.7823642,1.8223197,0,0,0.85870975,0,0,0.27274975,1.6156052,0,0,0,0,0,0,0,0,1.1359305,0.2695672,4.7454615,0
67,0,0.69407415,0,0,0,0,0,0,0,0,0,0.714985,0,0,0,0,0,2.347121,0,0,0,0.047395647,1.4615054,0,0,1.0150192,0,0,0,0,0.71624815,0,0
68,0,0,0,3.027401,0.79826117,0,0,0.6912689,1.6960604,0,1.2348329,0.20309217,1.3417649,1.0794222,0.7526911,2.4477892,1.608273,0,0.8642179,1.1273011,0,0,0.2678242,1.9536432,0.473447,0,0.6206042,0,0.49643275,0,0.41091773,0,0.6089614
69,0,0,0,0,0,0,1.7888225,0,0,0,0.58951443,0,0.70837355,0,0,0,0,0,0.6134352,0,0,1.0698766,0.035220157,0,0,0,1.3680791,0.9444576,0.20163324,0,0,0,0.7948782
70,0,3.6595554,0.032796282,0,0,0,0.43125063,0,0.514586,0.18729426,0.42362103,0.038357794,0,0,0,0,0,0.65990597,0.29474688,0.04855045,0,0.50161606,3.2902272,0,2.7546315,0,0,0,0,0.3052247,0,0,0
71,0,0,0.12220231,0,0.6220352,0,3.2759402,0,0,1.722444,0.3082162,0,0,0,0,0,0,1.2205917,0.57097906,1.089285,0,0,0,0,0,0,0,0,0,0,1.033821,0,0
72,0.658379,3.5981295,0.024013685,1.5216556,0,0,0.55434287,1.7614805,0.013724799,0.3429222,0.78313273,0,0,0.034329962,0,0,0.2596651,0,0,0,0,0.83464074,0,1.9383934,0.09392972,0,0.24499269,2.1663682,0,0,0,0,0
73,0,0,0.70004606,0.40926176,0.2582903,0,0,0,0,0.42881596,0,2.3182046,0,0,0,2.4874742,0,0,0,0,2.8351061,0.6276681,0,0.67386925,0,0,0,0,0,0.49166316,0,0,0.31447837
74,1.783667,0,0,0,0,3.8500886,2.299261,1.8386543,0.17387001,0.07619087,1.2020577,0,0.25352186,0,0,1.796727,0.2823585,2.6033857,0,0,0,0,0,0,0,0.722329,0,0,1.20892,0.08187489,0,0,0.70117515
75,0,0.25530243,0,0,0,1.4670829,0,0,0,0,0.39087868,0,0,0,1.4213264,0,0,0,0.9284144,0.5901762,0.9525167,1.9183444,0,0,0,0,0.54603773,1.3105209,0.30617997,0.64413947,0,0,0
76,0,0.14416395,0,0,0.13465928,0,0.26618937,0,0,0,1.490406,0,0,0,0,0,1.4517936,0,0,0,0,0,0,0,2.4081626,1.5488088,0.1237547,0,0,0,0,0,0
77,0,0,0.64132065,0,0,0,1.5925709,0,0.09017692,0.45607427,0,1.1187702,0,0.88966846,0,2.275371,0,0.7382977,0.57948405,0.72008014,0,0.27242413,0,0.94080675,0,0,0,0.74925697,0,1.4339203,0,0,0.20271443
78,0.51353294,0,0.75991833,0,0,0,0.448712,0,0,0,0,0,1.3761547,0,0,0.45238125,0.9491402,2.7781968,0,0,0.6675846,1.0342264,0,0,0.749008,0,0.3597544,0,0,0,0,0.44154444,0
79,1.1930681,0,0.19187245,0,0,0.58475,0.91300595,0,0,1.3872678,0.7535937,0.34377348,0,2.0604537,0,0,0.05320175,0,0,0,0.10843029,0.41903302,0,0,0,0,0.52959925,0,0.17983507,0.29044253,1.135339,2.6040642,0
80,0,0.4508192,0,1.0424031,0,2.9044256,1.5173008,0,0,0,0,0,0,0,0.6161484,1.3770154,0.001427208,0,0,0,1.4299636,0,0,0,0.7293647,0,0,0.59468585,0,0.7890976,0,1.9063525,0
81,0,0,0.86646885,0.16430567,1.0772697,0,0,0,0,0,1.2212613,0,0.44418976,0.15293485,0,1.1235837,0,0.5852735,1.0148349,0,0,0,0,0,0,0,0,1.1142737,0,0.49054033,0,0,0
82,0.45047894,0,0.6857688,0,0,0,0,0.58964103,2.9078236,0,0.6567145,0,0,0,0,0,0,0,0,0,0,0.509108,0.015196301,3.2303057,0,0,0,0,0.43065804,0.86332065,0,0,0.4438292
83,1.8374771,3.269113,0.5535947,0.37261447,0,0,0,0,0,0.7412369,0.46084484,0.86834836,0,0.44065952,1.9816693,0,0.8252868,0,0.09235074,0,0,0,0,0,0.556506,0.91723555,1.8870711,0,1.1893377,0.99869484,0,0.35664183,0
84,0,4.2169414,0.90651995,1.5929332,0.08053527,0.5320482,0.94573116,0,1.0166371,0,0,0,0,0.45029783,0.096145935,0.074488856,0,0,0.5677942,0,0,0,1.6037638,1.3015862,0,0,0,0,0,0,0,0,0
85,0,0,2.2300808,0,0.101239495,0.2897012,0,0,0,0,0.8067158,0,0.79889506,0,0,0,0,0,0.05414603,0,0.5750496,0,0,0,0,0,0.9336688,0.43144488,1.0043622,0,0,3.2869523,0.6349083
86,0,0,0.5141499,0,0.94068944,0,0,0.5291874,1.0104612,0,0,0,0,0,0.2794676,0.38818148,0,0,0.570958,0.6430365,1.2048283,0,0.2131395,0,0,0.62033635,2.2399917,0,0,0.7670115,3.3671117,0,0
87,1.0866728,0,0,0,0,0.067372866,0,0,0.26956433,0,0,0,1.1844522,1.1905258,0.4960515,2.8971987,0,1.1552486,0,0.53380257,0,1.0509708,0,1.2601146,0,0.38776144,0.4548958,0,0,0,0.09688297,0,0.6586356
88,0,0,0,0,0.7058951,0,0,0,0,0.3365306,0,0,2.890088,0.7318971,0.1782605,1.6980238,0,0,1.0916847,0,0.75044924,0,0,0,0,0,0,0.14522989,0,0,0,3.8382454,0.09212141
89,0,0,0,0.8535559,0,0,0,0,0.13623346,0.62107843,0.531948,1.4484526,0,0.65918624,0.74124235,0,0,1.3289409,0,0.38958475,0,0,0,0,0.7873121,0.78896075,2.5706077,0.8000876,0,0,2.2847404,0,1.1040119
90,0,0,0,1.2610145,0.287426,0,0,0,0,0.7092346,0,0.123987295,0,0,0,0,0.47681972,0,0,0.7206448,0,1.3359069,0,0,0,0,0.77084684,0.40350643,0,0,0,0,1.2283311
91,0,0,0,0,0,0.7409042,0,0,0.1762855,0.61272,0,0,0,0,1.9561012,0,0,0.9318475,0,1.7974831,0.74350834,0,0,0.7351842,0,0.065763965,1.2246473,0,0.14409153,0.7958816,0,0,0
92,1.7930802,0,0,0,1.250786,0,0,0,0.62725526,0.14288819,0.3705998,1.7518619,0.19135305,0.30435243,0.4141546,2.2126515,0,0,1.2180197,0.24958666,0,0.7067987,0.021343378,0,0,0.3922379,0,0,0,0,0,0,0
93,0,0,0,0.5972478,0,0,0,0.6582326,0,1.1069657,0,0,0,0,0,0,0,0,0,0,0.060516447,0,1.173836,0,2.4930494,0,0,0.008087857,0.1139409,0,0,1.8792716,0
94,0,2.4816923,0.3808214,0,0.7699689,0,1.0336206,0.5533005,0,0.06390929,0,3.2234893,0.72183317,0,0,0,0.44634384,1.7710171,0,1.7344507,1.5631782,0,0,0,1.7403839,1.5139865,0,0.9599147,0,0,0.08113568,0,0
95,0,5.2494473,1.1547643,0,0,0,0.48640013,0.065512046,0,0.01453347,0.5032147,0,0,2.2150526,0.3776001,0,1.0325575,0,0.77532434,0,0,0,0.4664233,0,0,0,3.7514944,0,0,0.6409048,0,0,0
96,0.6980239,0,0,0,0,0.88083774,0,1.5613296,0,0,0,0,0.4472362,0,0.50570786,0,0.3923923,0,0,0.1574301,0,0,0.4078272,0.34602925,0.1396123,0,0,0,0,0,0.9358392,0,1.6217382
97,0,0.34494254,0.085762635,0,0,0,0,0,0,0.046006374,0,0,0,0,0,0.4003117,0,1.2293758,0,1.0925978,2.7477198,0,0.468457,2.7453988,1.2590101,0.03639336,0,0.6616104,1.5694603,0.115801364,0,0.6007405,0
98,0.07052427,0,0,1.6416452,1.8474668,0,0.41273966,0,0,0,0,0.5601655,0,0,0,1.4109333,0,1.5598181,1.7471464,0,0,0.8652154,0,0,0,0.354035,0,1.560629,0,0,0.65136546,0,0
