x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
582,8.012381,2.5663784,1.5355011,2.2169726,0,3.7962024,0,2.5983179,6.2610373,1.4593974,0,0,4.6845484,0.6034863,2.4727035,0,8.18059,0,1.387407,6.439283,2.879192,0,0,2.325913,0,0,0,0,0,0,0,0,0,0,1.2878636,2.4172688,1.5687535,0,3.8466387,0,0,1.661989,0,3.7876482,0,4.1955156,0,9.779661,0,0,0
583,0,0,2.2288806,3.1208866,0,0,0,1.821685,0.7299888,0.7658115,7.134996,0.6164202,4.9009266,0,4.413093,0,3.0687735,0,1.9861368,0,3.7618077,0,3.036606,0.39228305,1.2202156,3.5654936,0,0,0,0,0,1.8065237,0,0.5554076,0.48400128,1.5299994,1.9778754,0,0,0,0.6505581,0,0.9669987,0,0,7.13456,1.5336978,2.4564056,0,0,0
584,0,3.4119508,0,0,0,5.3945713,0,0.050518867,0.81560934,1.3856765,0,0,0.059645448,4.0480366,5.8559804,0,12.451859,0,5.3482027,0,0.8810155,0,5.404623,1.1866779,2.570339,0,0,8.208716,0.34939596,0.185464,0,2.5448222,0,0.98007816,3.7767985,1.0030265,1.982973,0,8.798316,0,0,0,0,0,0,0,1.422846,0,0.06164264,0.04567137,0
585,3.1742783,4.143211,2.4135365,4.724278,0,0,0.6791404,3.9688032,0,0,0,3.7607338,0.18829484,0,3.6861806,0,8.327266,0,2.3719342,0,0,0,0,0.6692499,3.4920576,0,0,0,0,1.4013894,0.38158745,0.18632257,0,0,1.7036202,5.1567826,0,0,0,0,0,0,0.78844917,1.2172239,0,3.4457624,0,0,0,0,0.21603446
586,0.16135706,0,0,0.1501521,0,0,0,4.0594554,0,0,0,4.293584,0.9808057,0,2.3203938,0,1.3360995,0,0,0.6987595,0,0,0.8346285,0,0.16625197,0,0,0,0,0,0.46016365,0,0,3.769063,3.2540598,0.9223079,1.3770915,0,0,0,4.693492,0,3.9799922,2.2359862,0,0,2.1183822,0,5.6104712,0,0
587,4.0461645,0.5713633,0.9254305,0,1.0463206,2.899988,0,3.6936078,0,1.3756495,7.2005286,0,0,0,5.2719274,0,3.4252777,0,3.8695018,0,0,0,0,2.1314275,0,0,0,0,0,2.0610814,2.6530998,5.375033,0,0,3.171003,4.0333476,0,0,0,0,0,0,0,0,0,0,1.2242078,0,2.479473,0,0
588,13.710228,0,0.5987193,0,0,9.761261,0,3.3760166,0,0,0,0,0,0,0,0,0,0,5.6720953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998584,4.8203454,16.040468,0,0,0,0,0,0,0.4806715,0,0,2.642776,0,2.7036376,0,0
589,0,0,0.17119487,3.4119341,5.556758,0,0,0,4.1561704,3.4388719,0,0,0,0,8.9300375,2.4040067,7.082386,0,0,0,0,8.109145,0,0,0,0,2.5660796,0,8.398872,0,0,0,8.278426,0,0,0,0,7.898784,5.556171,7.673763,0,6.035611,5.6108003,0,9.677022,0,0,0,0,0.07226241,0.9373771
590,0,0,0,0,0,6.9362745,0,0,0,0,0,2.8902073,0,0,0,1.0550369,0,5.4344716,0,6.949525,0,14.961925,0,0,0,0,2.234259,0,7.7227964,0,3.0843115,0,2.34372,0,0,0.06854234,0,0,0,2.3225768,0,0,5.5550694,1.4667367,0,1.8047497,5.654965,0,0,0.35332996,0
591,0.20267914,0.43323806,1.696963,0,2.1128418,0,5.0759287,0.079146564,0,0,0,0.442502,1.3406284,2.862482,0,14.448377,5.4643927,0,1.8412786,0,0,0,0,1.4532342,4.8397684,0,0,0,0,1.2996055,0,0,0,0,0.24632142,4.8921585,0,0,4.9431624,0,0,0,0,0,0,0.52460045,0,15.439881,0,0.031218018,0
