x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
103,0,0,0,1.0503666,0,0,0.20091005,0.5308657,0,3.8281507,0.78957766,0,0,0,0,0,0.3037401,0,0,0,0,0,0
104,0,0,0.08560139,0,0.07274878,0,0.7154175,0.38359404,0,0,0,0,0,0.49480274,0,0,0,0,0,0,0,0,1.0931475
105,1.2052296,0,0,0.4361519,0,0,0,0.22428992,0.7792073,1.08823,0.38413957,0,1.0406123,2.108231,4.472746,0,0.9771029,0,0,0,4.633081,0,0
106,0,1.0871855,1.9106534,0.13433526,0.28920427,1.3451252,0.9020866,0,0,0,1.4494414,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0.20196648,0,0,0,0,0.14310232,0,0,0,0,0,0,0,0,0.3500276,0,0,3.2261696,0,0,0.35601094,0.6279573
108,0,0,0,0.22808707,0,0,0,1.2184802,0.6301739,0,0,0.642844,0,0,0,0.082635745,0.36415213,0,0,1.9309181,0,0,3.4399776
109,0.46822867,0,0,0,0,1.3944391,0,0,2.2216575,0,0.84513927,0.42957926,0,2.0440185,0,0.48708293,0,0,0,0,0.4382036,0,1.9427173
110,0,0.045013916,0.062292002,0.009308456,0,0.4679878,0,0,0,0,0,1.6479301,0.6511486,0.27716377,0,0.47795528,0,0.49259406,0,0.8443575,0.046808247,0,2.234329
111,0.26353285,1.9842911,0,0.7409325,2.0560894,1.3984678,0,0,1.0217333,0,0,0,0,1.1399124,0,0.3376251,0,0,3.7065678,0,0,0.17738973,0
112,0,0,0,0.5233603,0.41374174,0,0,0,1.1893957,0,0.39256188,0,0,0.10624879,1.5007207,0,0,0.87691087,5.1156673,0,0,1.3021649,0
113,0,0,0,0,0,0,0,1.5149198,0,0,0,1.2566059,0,0,0,0.61351484,1.6313355,0,6.3005333,0,0,0.25410563,0
114,0,0,1.7273598,0.73595077,0,0,0.23529017,0.36921623,1.9860026,2.4611578,0.16594657,0,0,0,1.1173338,0,0,0,0,0,3.1138914,0.8666701,0
115,0,0.7702669,0,0.49157336,0,0.06479427,0.23630528,0,0,0,0.6841216,0,0,0,0,0,0,0.26397416,0,1.003043,0,1.743436,3.7695384
116,0,0,1.0051283,0.46750176,0,0,0,0.99792874,0,0,0,0,0,0,1.4034798,0,0,0.67160827,0,0,0,0,0.47005653
117,1.5691911,0,0,0,0,0,2.0715923,0,0,1.704018,2.5083559,2.3083801,0,0,0,0,0.5327995,0,2.2544014,0,0,0,0
118,0,0,0,2.397934,0,0,0,0,0,0.7673722,0,1.194186,0,0,0,0,0,0,2.6468713,0,0,0,2.527211
119,0.79292387,0,0,0.12537877,2.1442509,1.4400082,1.1785806,0,0,2.15571,0,2.272253,0,0,6.611288,0.3117668,0,1.8790601,0,0,3.1416054,0,0.79993623
120,0,0,0.66175944,0,0,0.8125552,0,0,0,0,0,0.7613532,0.00211231,0.054325227,0,0,0,1.1653504,0,0,0,0,0
121,1.5012114,0,0,0,0,0.5579189,0,3.0151274,0,0.80640525,0,0,1.0802773,0,0,0,0,0,2.907791,0,0,0.9754521,0
122,0,0.42108577,0,0,0,0,0,0,1.0073448,0.29494333,0,0.11111912,0.13119626,0.1126964,0,0,0.99395084,1.1351277,0,0,6.380958,0.073601045,0
123,0,0,0,0,0.42501873,1.1149224,0,0,0.1772068,0,0,0.19505051,0.55912334,1.519774,0.8491227,0,0,0,1.4879273,1.6122224,0,0,0
124,0.006821687,0.27926755,1.012313,0,0.9346291,0,0,0,0,0,0,0.71502787,0.6300093,0,3.0553367,0.5044701,1.2270744,0,0.2844231,0.10151876,0,0.11059483,0
125,0.36089733,0,0,1.306094,0,0,0,0,1.1067305,0,0,0,0.26177186,0.10511007,0,0,0.07789056,0,0,1.5200523,0,0,0
126,0,0,0,0,0.1879319,0,0,0,0,0,0.09056971,0,0,0,0.5224832,0,0,0,0,0.061285287,0,0,0
127,1.8024936,0.95443314,0,0,0,0,0,0,0,1.1733154,0,0.25751376,0.8673316,0,0,1.339408,0,0,0,0,0,0,0.36870185
128,0,0.6312271,0.050312445,0,0,0.77448267,0.29725486,0,1.7297347,0,0,0,0,0,0,0,0.061396517,0,0,1.7921063,0.65802664,0,0
129,0.1356309,0.9669331,0.69973224,0,0,0.2663219,0.23913582,0,0,0,0,0,2.032507,0,0.9831491,0.61493176,0,0,0,0,0,0,6.454369
130,0,1.386051,0,0.09351713,0,0.09575307,0,1.9244518,2.1757438,0,0,0,0,0,0.6756842,0,0,0,0,0,3.6492941,0,0
131,0,0,0,0,0.9699499,0,0,0,0,1.0635074,0,0.39493597,0,0,0,0,0,0,0,0,0,0.8048597,1.9689313
132,1.4111693,0,0.35499367,0,2.7745762,0.03856742,0,0.8329605,0.95680094,0,0,1.9368347,0.28932744,0,0.50429964,0.19361481,0.07772625,2.6263611,3.1969204,1.0913187,0,0.3609616,0
133,0.8017316,0,0.7204422,0,0,0.3861335,0.73664045,1.3962156,1.6765599,0,0,0,0,0.8011041,0,0.20413119,0,0,3.2204933,0,0,1.5802953,0
134,0,0,0,0,0,0,0.7570512,0,0,0,0,0.12444469,0,0.8382048,7.5086923,0.03830841,0,0.86151534,0,0.17412232,0,0.38937274,0
135,0,0,0,1.2535932,0,0,0.20320341,0,0,0,2.2403271,0,0.1810236,0.574051,0,0,0.6264464,0,0,0,0,0,2.2335196
136,2.6186094,0,0,0,0,0,0,0,0,0.4941222,0.38236284,0,0.20640714,0.655069,0,0.3368511,0,0,0,0,0.3634559,0.74314857,0
137,0,1.2240509,0,2.0065796,1.373281,0,0,0,0,0.29538947,1.8437688,0.41364416,0,0,0,0,0.60216504,0.9029873,7.043052,0,0.033868868,0,2.627132
138,0,0,0,0,0,0,0,1.7331861,1.2554363,0,1.2912639,0,0,0,0,0,0,0.5027564,0,0,0,0,3.7512224
139,1.1248693,0,0,0.50227326,0,1.0965631,0,1.356759,5.846372,0,0,0,1.0009348,0,0,0.894022,0,0,3.1177409,0,0,0,0
140,0,0,0.9872951,3.0059767,0.61113095,0,0,0,0,0,0.9575088,0,0.20630394,0,2.240417,0,0.5519277,0.28167266,0,0,0,0.24261057,5.9078736
141,0,0,0,0.16210887,0,0,1.4614085,1.004151,2.9995003,0.3402909,1.9079865,1.5074326,0,0,6.8739047,0,0,0,0.65589786,0,4.1531396,0,1.4004427
142,0.3280061,1.7199066,0.54072875,0.2182538,0,0.011694131,0,0,0,1.3272398,0,0.46945074,0,1.4815196,0,0.8533091,0,3.143449,2.7160726,0,0.46167168,0,0
143,0,0,0,1.1946468,0,0,0,0,0.6957479,1.3819532,0,0,0,0,0,0.6396528,0.53576666,0,0,0,0,0,1.8319551
144,0,0,0.46902782,0,0,0,0,0,0,0.4684803,0,0,0,0.09498126,0,0,0,0,10.404984,0.37677136,3.9408848,0,2.5985093
