x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
140,0,0,0.7903471,1.8621076,0,0,0,1.1883181,0,2.0475042,0,0,0.13753425,1.6306173,0,1.2126899,0,0.4104819,0,0,0,0.26873857,0
141,0,0.13409813,1.3302319,0,0.6941063,0.09774024,0,0,0,0,0,0,0.21436863,0.009180299,0,0,3.4735587,0.1546034,0,4.9427357,0,0.66592836,0
142,0,0,0,1.8394032,1.285483,0.6593797,0,1.2038993,1.1564744,0,0.42759764,0,0,1.6123221,0,0,0,2.6742537,0,0,1.1125643,0,5.775055
143,0,5.639097,2.7419446,2.0724907,0,0.8606222,0,0,0.7780607,0.3055988,0.6642759,0,0.17126694,2.4219992,0,1.3102757,0.85419583,0.26294222,0,0,0,0,0
144,3.1094487,4.509757,0,0,1.7480909,2.07706,3.8430674,0,0,0.8538369,1.5807354,0,0,0,1.101795,0,0,0,0.05983227,2.2813413,0,0,0
145,1.9985714,0,0,0,0,1.0940789,2.030877,1.1805958,0.705619,0.5729472,0,0,0,0,0,1.2322986,0,0,2.0195343,1.4064008,0,1.0329444,13.044132
146,0,0,0,0,0,0,0,0.4472285,0.4612677,0.7707721,8.263906,0.6149528,0,0,2.5926654,0,0,1.8455768,1.0779238,0,1.7726432,0,0
147,0,0,0,0,0,0,2.0635898,0,0,0,0,0,0,0,1.7520869,0,0,0,0,0,0,0,1.258686
148,0,0,2.793542,0.3920966,0.07840829,0,0,0,0,0,0,0,0,0,0.57834065,0.7849605,5.2196674,0,0,0,0.9132624,0,0
149,0,0,0.8063283,2.6445315,0.15532452,0,0,1.0689429,0,0,0,0.38305876,0,0.7437015,0,0.25220147,0,0,0,0,0,0,0
150,0,0,1.3303686,0,0,0,0,0,0.05683325,0,0,0,0,0.6419521,0,0,1.125453,3.1797516,0.47629145,0,0,2.0940897,0
151,0,0,1.8848349,0,0,0,0,0.8401047,0,0,2.598665,0,0,0,0,0,0,1.3411884,0,0,3.121105,0,12.915794
152,0,0,0,0.16975194,0.9269173,1.7314804,4.7835684,1.8029097,0,0.5414927,0.2603555,1.1566676,1.2127599,0,0,0,9.083619,0,1.067361,0,0.14856376,2.8000584,0
153,0,8.745983,0,0,2.1130161,3.3385665,0,0.52276456,0,0.7550117,0,1.1789415,0,0,0,0.38374588,0.6699221,0.6321146,0,2.078464,0,2.3904889,0
154,1.3230575,2.3012452,0,0,0,0,0,0.09786169,0,0.20523646,0,0,1.8106579,0,0,0.86778826,3.549794,2.7426002,0,5.3561225,0,2.8806767,0
155,0,0,0,3.4457471,0,0,6.7694497,0,0.044965867,0.3681401,0,1.4620571,1.4320711,0.86966133,0.378178,0,1.4465837,0.45178622,0,1.1973802,0,0,0.8204032
156,1.3327904,5.602295,0.76389396,0,0,2.186787,0,1.658253,0,2.2958817,3.8993785,3.268084,0,0,0.015443622,0,4.414877,0,0,0,0.17896968,0,4.5739098
157,1.7281132,10.365252,4.8075924,2.213287,0,0,0,0,0.21325675,0,0,0.07557804,0.23421891,0,0,1.3432558,0,0,0,0,0,0,0
158,0,0,0,0,0.2720158,0,0,0,1.0910281,0,0.3148759,0.24534707,0,1.7742251,0,0,0,0.004218503,2.473072,0,0,0.6985607,0
159,0.43373716,0,1.5548131,0,0,0,0,0,2.0824127,2.0112638,0,0,0.80667245,2.0823207,0,0.56138086,2.5032012,0,0.6029315,0,0.56612164,1.0994351,1.4460019
160,1.1398958,0,0,0,0.24150775,0,0,0.8513851,0,0,1.2576783,0,0.9080946,0,0,0,4.2383356,0.47694266,0,0,0,0,0
161,0,0,0,1.7982955,0.98853016,0,0,0,0.78758264,0.51509446,0,0,0.017604714,0,0,0,0,0,0,7.0475345,1.0848906,0,0
162,0.36915824,0,0,0.48082322,1.7477257,0,0,0.18616661,0.11066263,0,0.3546912,0,1.5808471,0,0,0,0,0,0.29225475,0,0,3.8356018,0
163,1.5265487,0,5.183699,0,0,0.42061067,2.4142199,0,0.6149063,0.5455532,1.0634942,1.5354831,1.2019888,0,0,0.023682235,0,0,0,0,1.2060726,0,0
164,0.19492917,0,3.4560935,3.4178214,0,0.33663586,2.9646192,0.938894,1.022022,1.0530672,0,0.009628765,0.96402174,0,1.2815738,0,4.8129554,0,0,3.1001177,0,0,0
