x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047
1004,0,0,8.019084,0,0.28043205,0.3224296,7.33001,0,0,0,0,0,0.82770777,0,0,0,0,2.5806427,0,0,0,0,0,3.4974785,0,0,0,0,0,0,0,0,11.061062,0,0,16.431307,0,0,0,1.5737174,0,0,0,0,14.00634,0,0,0
1005,0,0,0,0,0,0,4.561438,0,0,0,6.028948,0,0.6971231,0,0,4.9147215,0,0,5.3603,0.07396147,8.64481,16.128763,0,5.672338,1.3520463,0,0,0,0.578399,0,0,4.265112,0,4.097163,0.28045157,7.9232435,0.71033996,0,1.988109,0,0,0,0,0,0,0.93500817,0,0
1006,0,0,0,0,0,0,5.329179,0,2.4643364,0,0,1.4652629,0,0,6.86946,0,0,0,0,0,0.9377467,0,0,0,0,0.32042974,0.44500318,1.9790939,0,0,2.6609988,0,12.476206,0.020071635,0,0,1.588854,0,0,7.304206,0.5188961,0,0,0,3.02099,0,0,1.4104193
1007,3.1656048,1.0100048,0,0,0,0,0,0,0,0,0,5.4258804,0,0,0,0,0,0,0,0,0,0,0,0,4.6502275,0,0,0,1.7099046,2.8518412,0,0.06934913,0,0.87919706,0,0,0,0.9975842,0,2.835517,0,0,0,0,0.63756895,0,1.5366048,0
1008,3.3481207,0.8452652,0,0,0,0,0,0,0,0,11.318686,3.2837431,0,1.0865334,1.5649571,2.2480385,0.073056184,0,0,0,0,0,4.1434073,0,0,0.104735285,1.6956304,0,0,15.938698,11.160855,0,3.2926874,0,0,2.33842,6.102792,0,0,0,0,2.860369,3.4048357,0,5.043867,1.0638992,2.945395,0.22699365
1009,0.794484,0,0,0,0,1.4875472,0,14.917509,2.0742033,0.84175617,0,0,0,4.0504675,0,3.4844337,0,1.1805671,0,3.7696471,0,0,4.9164896,0,0,1.9431902,3.152265,3.6553853,0,0,0,0,0.9349506,0.3693732,3.5297682,0,2.3045878,0,0,0,0.892684,2.8468113,0,0.99945104,0,0.048380908,0,4.92302
1010,0,2.4506493,0,0.9323112,0.19660619,0.6792678,0,0,0.48347497,5.356847,0,2.8100915,0,0,3.713735,0,0,0,11.237272,11.689434,0,0,5.2834334,0,0,3.3014696,0.4607939,2.332719,0,0,0.86069155,1.5070592,0,1.2361451,0,3.153208,0,0,0,3.1274343,0,1.2433937,0,0.11701475,0,3.54754,13.5595455,1.4118085
1011,0,3.928794,0,2.4950469,3.1185734,0,0,0,0.73353577,0,0,16.282183,3.3318894,0,0,8.667882,1.6637013,9.201961,4.407992,0,3.3071818,0,0,0,0,0,0,0,0,4.9033465,1.9829124,0,0,0,3.7680132,0,0,4.5626264,5.3475785,0,0.88071436,0,0,0,0,0,0,0
1012,3.419851,0,0.4686027,0.4569855,0,0.17812228,6.5854235,0,0,0,0,0,0.17226568,0,0,0,0,0,0,0,0,0,0,0,0,0,2.393248,0.63926303,0,3.1595688,0.81438184,2.482632,0,0,0,2.8215177,0,0,0,0,0,0,0,15.093921,0,0,0,0
1013,0,0,0.20986952,0,3.7646582,0,1.0177124,0,5.327794,0,10.609657,1.4700385,0,9.708936,0,0,0,0,5.0618134,0,6.973347,0,0,0.6443735,2.7360117,0,0,0,1.507808,0,0.86241865,0.094620794,0,0,0,1.5957451,0.25173074,0,0,2.7174778,0,1.6022239,1.2924473,0,0,0,0,0
