x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037
78,0,0.8312435,1.2124867,13.86284,0,0,4.3269286,7.5179343,0,0,0.47742304,5.4709897,3.5039651,0,0.39412364,0,0,0,8.246529,2.4478757,1.5316344,0,0,0,0,0,0,3.1553473,0,8.394877,0,5.4319186,0,0,2.2370396,5.116674,1.262483,0
79,0,0,0,5.0788836,3.043295,2.2594962,5.744958,9.767673,2.3593714,0,0,0,0,0,0,0,0.5767633,0,0,0,1.5320468,0,0.8230579,6.447396,5.270287,0,10.58007,1.54347,0,2.5807023,0,0,1.4642228,1.8103998,0.46517897,3.2771301,1.0931414,3.6546133
80,0,0,29.784346,0,3.276849,3.1893642,0,8.079376,4.551015,0,2.0023086,0,0,2.030921,3.7003784,0,0,0,1.0981115,0,2.1239314,0,0.70183665,0,0,1.4423935,0,0,2.8997293,0,0,0,0,2.2799149,0,0,0,2.6380186
81,5.240755,0,2.1674693,8.895323,6.514532,2.563097,0,0.27819166,0,0,0.70007163,3.3654416,0,0,0,7.1823545,0,0,0,0,0,0,0.42594966,6.9494104,1.0347122,0,4.1502604,0,0,0,0,0,3.729923,0,0,0,0,0
82,0,0,10.434479,0,0,0,2.4539237,0,0,1.950853,0.2724852,2.8412497,2.4760203,0,0.1040861,0,0,0.30428934,0,2.3964086,0,2.9219463,0,0,1.9663162,0,0,1.1022993,1.106767,2.89961,2.1515565,0,0,0.25129586,1.3301272,1.044018,0,0
83,0,3.2636044,2.456688,10.012874,4.343777,0,4.755873,3.710892,1.7419494,0,2.752048,0.34523,2.3693728,0,0,1.1154084,0.47150242,0,0,3.1801653,0,2.5671456,0,0.697708,8.746637,0,0,0,0,0,0,0,0,0,0.53285664,4.6147027,21.850353,1.2802565
84,0,2.546241,5.1519475,1.8842096,0,0,0.6438182,0,0,0,0,0.5200508,0,0,0.47517574,0,0,0,0,0,0,1.8341557,1.1919724,7.188783,7.297926,0,0,0,0,0.8727673,2.9210937,2.776764,1.3462064,5.498497,1.5269126,1.5631493,0,4.6041393
85,2.6898692,0,0,0,0,0,0,0,0,0,1.5426726,0,3.7962992,0,0,1.2757859,1.0944637,0,8.547061,0,0,0,0,2.6311665,0,2.9816387,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,9.724023,0,0.5788607,0,0,0,0,0,0,0.65868413,0,0.4763023,0,0,0,0,5.193846,0,0,0,0,0,0,6.4167066,0,0,3.0897415,0.2745198,0,0,0,0,0,0,2.4638636,0.41842118
87,0,15.826292,5.0050755,0,0,0,0,0,0,5.494542,0,2.6734703,0,5.2671084,0,0,0,0,0,2.674141,0,0,0,0,0,0,0,0,0,0,0,0.4524647,0,0,0.3831074,1.8077769,0,0
