x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033
63,0,0,0,1.2788798,0.9854486,0,0.1178945,0,8.9921255,0.5424467,0,0,9.993706,0,3.9851985,0,1.4997723,8.007982,1.7005678,24.543507,0,0,0,0,0,0,0,0.16654424,0,0,1.087226,0,0,1.0232075
64,2.114772,0,0,3.9676242,5.78326,0,1.5759256,0,0,1.3150431,0.07393758,0,0,0,0,1.5479978,6.9381056,2.9993582,0,0,9.178644,0,3.023235,0,3.960353,0,0,0,0,2.371922,0,0,0,4.688154
65,6.87101,0.48543826,3.4836283,0,0,0,2.089786,2.5597317,0,0,0,0,0,0.8043726,0,0.93165135,0,0.59757245,6.5159016,0,10.023298,0,3.8060095,0.94252485,4.592298,0.05799552,2.0205727,0.7963802,1.0906969,0,1.2913756,0,0,0
66,0,0,0.9330178,1.206568,0,0,0,0,0,0,0,0,0,0,0,0,1.7270386,3.779824,0,5.6795936,0,14.177369,2.0044577,1.8174862,5.7853975,0.6666889,0,3.2164516,0,2.1765513,0,0.22635461,6.890562,2.540025
67,0,0,0,2.3465757,0,2.2180192,0,0,0,3.5040636,1.2471356,2.3598812,0,0,0,0,2.3684115,0,2.929196,0,0,2.0328956,2.0462244,1.8099854,0,0,0,0,0,0,0,0,0,0
68,0,0,3.7332616,0.08253834,0,0,0,0,0,0,0.8173353,0.90829366,0,0,0,0,2.0132184,22.031303,2.6802454,0,14.152346,0.25640342,0.54089004,1.0320177,0,0,1.222436,2.1278768,0,0,0,0,2.1278205,0
69,0.027476082,1.1088828,3.8029377,1.4369924,0,0,0.283059,4.7361665,0,0,0,0,21.259378,0,0,0.5534189,0,0,0,0,21.516783,0,0,0,4.149539,0,0,2.750495,1.3271776,4.8989806,0,0,6.717486,0
70,0,0,0,0,0,0,1.9507746,5.418263,0,0,2.495641,0.42215756,0,0.0567534,0,0,5.7650294,0,0,7.6071396,4.128914,0,0,0,2.5784104,0,0,0,0.7830572,0,0,2.3080432,0,0
71,1.9355901,5.533029,0,2.784716,0,0,0,6.040461,0,0,0,2.0027416,2.6568034,1.7507285,0,1.0734409,0.3685449,0,0,2.0241024,4.0852566,8.127692,4.743111,2.237697,0.2300637,0,0,2.054575,0,0.65598327,0.24473669,8.929482,1.9772131,3.929436
72,0,0,0,0.117092885,0,0,0.38912743,5.1766953,0,1.8496686,1.498829,0,7.6528974,1.4008124,0,0,2.776507,0,0.9468795,0.30611935,0,0,2.048912,1.5406438,14.821546,1.1828575,0.5989805,2.4427152,7.0613265,0,0,0,0,0
