x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
405,4.383682,0,0,0,0,0,0,0,5.683613,0,0,0,0.04093577,0,0.14791548,0,0,0.16012578,1.8736495,0.61089474,0,7.9576144,0,0,1.8188708,2.49302,2.043643,0,0.52185017,0,0,0
406,5.4258294,0,0,2.1802368,0,0,0,0,2.280865,0,0,0,2.1471722,0,0,0,0,6.6562924,2.062774,0.53704774,0,2.198835,0,0,0,0,0,0,1.3852829,0,0,1.0627759
407,0,0,1.1501378,0,0,0,0,0,0,0.05142856,0,3.0104165,0,0.772434,0,0,0,0,4.7181087,5.2096243,13.497619,0,0.45297873,0,0.20318246,0.68177354,3.147954,0,1.1491032,0,0,0
408,1.7571641,0,1.5813214,2.3051856,0,0,2.3556554,2.476078,0.08378367,0.45408916,1.1536791,0,6.2105412,0,0,0.80999756,2.6599433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,7.8969064,0,0,8.9938345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0.085974425,7.0714965,0,7.94578,4.7739143,0,0,0,2.9770267,0,0,1.9699478,1.0219954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,2.4232614,2.9870524,0,0,7.63936,0,4.4340777,0,0,0,0,0.25367844,0,0,0.1544135,0,0,0.29470846,0,0,0,0.22544822,0,0,2.5947845,5.480283,0.59174937,0,0,0,0
412,3.3694224,4.729304,0,0,0,0,0,0.8514452,0.61455333,0,7.06167,2.4698584,0,1.7662308,0,2.8348608,3.065386,0,0,0,0,0,0,3.6155555,1.6126255,1.5966985,0,0,0,2.937114,0,0
413,0,0,0,0,0,1.6726439,0,7.955988,1.0388696,0,0,0,0,0,0,5.7610636,0.002687486,6.7320223,0,0,4.746218,0,0,1.1836274,0,0,1.1066769,3.984449,0,0,3.0310714,4.9803233
414,0,3.9617963,4.8734913,8.432254,0,0,4.5869017,0,0,1.1660546,0,10.740065,0.55586094,0.82832074,0,0,0,17.652563,0,0,3.0657125,11.097396,2.467923,0,0,2.7528582,0.43811297,0,5.805684,0,3.8310945,3.049812
415,0.92142606,8.6639595,0,0,2.3067226,4.9635305,0,29.829844,0,0.8949443,0.8576062,14.560239,0,0,0,0,0.14815082,0,0,1.8336585,3.4991047,9.573305,0,0,1.6040747,1.2981535,0.068262376,0,0,1.561768,0,3.4939313
