x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052
1026,0.40544975,0,2.2791026,0,25.110758,0,5.635508,0,0,0,4.361873,0,6.2389793,0,2.67581,4.041463,1.466869,8.979367,0.42888495,0,0,0,1.1806945,0,0,0,2.9938102,0,4.7801046,4.270724,0,0.36519182,0,0,9.669182,1.5726992,1.74755,5.16255,0.6029906,0,0,0,0,0,0,0,13.548122,1.4376947,1.7195058,11.316192,0,4.190485,0
1027,0,0,0.29817995,4.4841847,0,0,0,0,8.696645,0,15.507366,0,1.9088697,2.6058815,12.787654,6.4349546,0,0,0,0.8728873,0,0,0,0,0.05445458,1.1817532,0,0,0,0.35753292,6.839532,2.5602455,0,0,8.831281,1.2822804,0,3.9244223,0,8.731888,0,0.061556086,0,0,0,1.3470358,4.434727,0,4.6230392,0.5085904,0,0.5687153,4.1076965
1028,0.27883896,0.5268058,0.7409916,2.269421,0,1.8466353,0,2.7639854,0,0,0,0,8.041205,0,1.5050256,0,2.1201882,2.4217865,0,0.13397355,5.4592285,0,6.1984572,1.2902969,0,0,12.442297,0,0,2.9546852,4.1000237,1.9867085,0,0,0,1.6443552,4.7289195,10.217095,0.56640273,0,2.0501902,1.179419,5.00509,0,0,0,0,0,4.400868,3.0849872,0,1.5988275,5.041646
1029,0,0,0,0,0,0,0.07349488,0,7.323253,0.505815,8.988404,0.7949838,0,0,0,2.7183456,8.608819,4.3131127,4.634361,2.7850983,0,5.942646,0.4443504,0,0.8449314,0,0,0,0.000418814,0.48053977,10.203609,0,1.6520056,0,0.84455323,2.0692317,4.4493794,2.835528,0,3.0057323,0.97168595,0.6812223,0,0,0.68186194,0,6.3037567,4.016634,0.33887982,7.978439,1.6254456,2.3165092,0
1030,0,0.33765644,0,2.45388,0,1.2669762,0,1.9505326,2.1609344,0.6112092,2.5595744,1.931033,0.19171064,0,1.7513745,4.5017915,4.767326,0,7.0177097,0,1.2067626,4.174163,11.793792,0,0.8914131,0,5.396686,0,0,0,0.7282664,0,0,0.029023103,4.82343,0,0,0.33894074,0.079050414,3.7148924,0.77774477,0.065631606,0,0,0.68751097,0,0.63732207,0,4.0876007,4.6946683,0,0.5587246,2.455547
1031,0,0,2.2840276,0,0,0,0,0,1.4066799,0,0,10.8307295,2.169715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.678493,0,0,0,0,0,0,0,2.0484908,0,0,0.88165,0,0,1.1475201,0,8.163482,0.96561664,0.8665939,0,0,0,0,0,2.4510107,0
1032,0,0.042873133,0,0,0,0,0,0,2.7974682,0,8.570133,0,0,2.8934488,0,0,0,1.3607515,0,0,1.5811677,8.987213,1.390817,0,2.2953885,11.597278,4.4718623,0,0,0,3.4480562,0.5257975,2.6609054,0.30898008,3.1729217,0.56829387,4.146031,0,0,0,0.21720044,0.04678269,1.6978819,0,0.3490931,0.51422364,0,1.7497069,0.9610111,1.4123,2.0324707,0,10.574709
1033,0,0,0,0,0,0,0,0,0.9248641,0,0,0.58466583,0,0,0,1.6537751,0,6.639466,0.45062858,0,0.87981737,0,0.35201705,0,0,0.064564206,8.880225,4.1177545,7.028762,0,2.6372697,1.4995384,0.8046101,0,0,1.7657646,0,7.4925866,0.14350691,0,4.5661745,2.3520033,0,0,0,0,0,0,0,3.6933973,2.567652,1.0389876,0
1034,3.55027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6055183,0,0,4.420194,0,6.6244717,0,2.6147933,0,2.7857237,0,0.97180295,0,0,0,0,0,0.5484188,2.9489267,0,1.3386472,0.45787978,0,0.7568112,1.9711032,0,0,2.923453,4.462145,0.6657678,0.37518486,1.005492,1.9522054,0,11.226108
1035,1.3625461,0.15526101,0,7.80925,0,1.8266516,2.2225974,0.27737242,8.096198,0,0,3.1664739,0.046220273,0,3.476254,0,0.5381234,0,1.8683022,0,0,0,0,0.85094094,2.0740683,0.10838761,0,1.5250946,0,0,0,0,0,0,0,1.611482,1.1263967,4.1108685,0,3.4234586,0,0.81847906,0,0,0.836801,0,1.2296754,0,0,0,0,0.62100685,1.5872797
