x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055
1063,0,0,1.4852625,0,0.22855188,0,5.7546377,0,0,0,0.33745345,0,0,0,1.6265063,0,0,0,1.3498315,2.0928576,8.627346,0,0,0,0,3.648108,0,3.1248004,0,1.7727767,2.8029468,0,0,0,11.636155,0,7.5834937,0,11.458224,0,21.647175,0.25324905,2.996059,0,4.877353,2.0784295,10.529308,0,0,0,1.7831132,0,0,2.0675864,0,0
1064,0.16331407,0,0,4.2143846,1.898221,0,0,0,0,3.1524684,1.21181,0,0,0,1.5918516,0,3.232919,2.241798,0,3.5343993,3.639047,0,7.232462,9.903991,4.6979747,5.798189,0,0,1.774569,0,2.0537891,0,0,0,0,1.1734982,2.5937333,0,0,1.7752495,0,0,0.1345985,0.16792847,0,5.108457,0,1.4315051,1.1455327,2.1428628,2.4934478,0,0,0,0,0
1065,0,0,0,0,0.32495034,0,0,0,0.8884657,0,0,0,1.6311927,1.9273942,0,5.7914047,0.5402964,0,2.7065547,16.572254,0,3.7147741,2.893929,0,1.4311013,0,0,2.390351,0,0,0,0,7.8021197,0,0,0,0,0.8503612,0,0,0,0,0.86326724,1.6098089,0,0,0,0,0,0.34804925,0,0,0,0,0,0
1066,2.7205815,0,0,1.6453558,0,0,0,0,1.2178731,0,1.1454904,0,0,0,0,0,0,0.19645345,0,0,0,3.3831148,6.59919,0,0.3059322,0,0,0.9731009,0,1.0267005,0,2.7561839,1.2303255,0,0,0,0,0,0,0,0.7246981,0,1.5518142,2.0234733,2.7837024,3.089779,1.0414897,0,0,0,3.5494592,4.10569,0,1.0973624,0,0
1067,0,0,0,0,0,0.10064524,0,0,0,0,0,0,4.1504536,0,0,0,0.43669242,0,0,0,3.1166382,0,0,0,0.20163612,1.1675278,0,0,4.4187965,0,1.4589547,0,3.0068796,0,3.5203655,0,0,0,0,0,1.4150354,0,0,0,0,9.733788,0,0,4.0565205,1.1350939,1.030017,0,3.2573195,0,0,0
1068,0,0.30914918,0,1.526863,0.39984635,2.3658218,0,1.5057315,4.1277294,1.1582669,1.3952172,0,0,0,1.3739996,0,0,0,0,0,2.410798,0,3.6991713,5.3930616,0,1.5487325,0,0,0,0,0,0,10.321103,4.1481576,0.081042655,0.060170274,13.103514,0,0,0,1.1465344,0.6912575,2.889368,1.0783452,1.930376,0,0,1.9009949,0,0.3537564,0,5.1891975,0,5.2163363,0,0
1069,0,0,0,0,0,0,0,0,0,0.3876668,1.3513741,4.7082906,0,0,0,0,0,0,0.027513998,0,0,0,0,1.286152,0,0,5.2634773,1.0113047,0,0,1.2153964,0,2.8515205,0.1920807,0,0,5.0928245,1.4007604,0.8139567,4.036071,0,0.42750412,0,0,0,0,0,0,0,0,3.0683799,0.18517734,0,0,0,0
1070,0,3.518791,1.4925832,0.83516985,0,0.5114809,0,4.880976,0,0,0,0,1.2961336,0,0,0,0.57709694,0,0,9.048595,5.3387337,0,4.8686337,0,1.1458514,0,1.3213797,0,5.013799,2.921039,0,3.1890283,0,0,0,2.8467603,0,0,18.989372,0,0,1.0423244,0,2.831962,2.3277955,0,0.12926146,6.4011927,7.5208673,0,3.7037868,0,3.6137412,0,0,0
1071,0,1.7393888,0,0,0,2.3407,0.3358856,0,0,0.8119845,0.24967447,0,0,0,0,0,0,0,0.76997316,15.258184,0,0.06716994,0,0,0.4851675,0,0,0.7916317,0,0,0,0,0,0,0,0,0,2.07719,0,0,1.9647399,0,0.6242999,0,0,12.112971,3.2681682,0,0,0.7966466,0,0,0,0,0.043262336,0
1072,2.1563523,0,0,1.5586559,0,0,4.790132,0,0.08173438,0,0,1.9947803,6.543964,7.2261095,0,2.3666584,0,0,0.9164248,8.266832,4.1271405,0,12.701493,0,0,0.4119068,0,2.46925,4.4406085,0,0,0,12.92537,0,0,1.7184232,0,0,0,0,0,4.40396,0,0.5181955,2.0520651,0,0.20103239,0,0,0,0.38763037,0.9208642,0,0,2.9895992,2.0273633
