x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057
375,5.763627,0,0,0,7.452957,3.4098346,2.1302676,0,0,2.415071,0,0.83983034,0,4.459299,0,0,1.5728756,2.7402632,0.5140207,0,4.109874,0,0.6755554,0,0,0,10.137162,0,0,0,0,0.78429914,5.56335,0,9.59236,0.04399036,0,0,0,0,0.8057098,0,5.772348,1.8191457,9.46284,1.3605449,0,0,4.2974634,1.2563145,3.0932364,0,2.4654884,0,0.51554114,0.8472453,0,0.5854132
376,0,0,0,0,5.760422,0,0,0.508824,0,0,1.5579224,0.6081878,0,2.4597006,0,2.4703166,0,1.2015363,1.3953844,0,0.13749424,0,0,5.142063,0,1.9850539,14.477773,0,0,0,0.6948611,2.798002,1.4518169,0,27.519236,0.5959819,0,1.4327565,0,0.9087243,1.1534883,0,0,0.8522093,0,4.94719,1.0299333,0,2.0194318,0,16.052605,0,2.5674245,1.2773343,0.4128575,0.6479608,4.5385876,0.3376134
377,0,0,0.24154091,0,0,0,1.415162,0.19432954,1.469199,0,3.1811926,4.041724,0.6763542,6.0422726,0,0,1.5149333,8.152918,0,1.320231,3.4095433,1.0142869,0,0,0,1.9470899,0,0,0,0,0.6437733,0.07922361,0,1.8791513,16.494871,2.8922532,0,0,0,0,0,0,16.345879,0,11.047176,5.9627695,0,0,1.0534601,10.207545,0,0,0.39970836,0,0,0,1.0535449,1.3523906
378,0,13.561179,0,0,0,0,0,0.22546883,0,3.358136,0,0,2.4918616,0,0,1.0721935,3.071839,0.21293402,0,0.793361,3.7032018,0,0,0,0,3.5129137,0,0.98082256,1.3983047,0,0.40017855,0,0,1.3615419,7.171609,0,0.1493083,0,0.9552218,2.0688767,0.05672905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5867688,0,0,0
379,3.2436922,0,0,0,5.655669,0,0,0,0.9207473,0,0.05646195,0,1.6082492,0,6.462812,0,0,3.5734847,0,0,6.4471326,0,5.6409993,1.1940975,1.0614159,0,0,0,0.41321474,2.7580733,1.3449286,0,0,5.1446285,4.0769577,0,0.37236518,0,0,1.1229324,2.917062,0,0,0.24673761,0,0,0.38452098,3.314951,0,2.6741273,0,0,0.49601147,0,0.5553807,0,0,0
380,0.77711457,0,0,9.69433,0,3.1659324,0,0,0,0,0.335324,0,2.5552552,1.6754019,0,0,0,0,0,2.961438,0,0.39956403,0,4.977143,0.5419999,1.968047,0,0,0,0,0.79183424,0.07222177,2.4594002,0,0,4.008789,0,0,0,0,0,1.5798075,0.21194604,0,5.638092,1.9886905,3.7547638,2.2537732,0,0,3.2144685,0,0,2.7745566,0.5150981,0,0.6615685,1.121947
381,0,1.7836932,0.09373086,0,12.301409,1.2811995,3.0898871,0,0,2.9357023,0,0,0.36378983,0,11.93746,2.2555883,0,4.574668,2.4214344,0.934247,0,0,0,1.9207957,3.3529525,0,0,0,0,0,1.2402762,0.8176569,0,9.973435,6.697848,0,0,0,0,1.0644224,0.15738824,0.86757106,3.2517204,0.4899057,0,0.9194476,0,0.14093056,0,0,3.7402532,0,0,0,0,0,0,0
382,0,0,0,0,0,10.259055,0.55906326,0.33421698,0,2.587766,0,0,0.7328847,0,0,0,0,0,0,0,0,0,0,0,0,0.50686324,0,0,0.007730309,0,0,0,0,4.2243757,0,0,0.9494188,0,1.6397047,1.9292508,0,1.8355314,0,0.31250185,0,0,0,1.8858317,0,2.4289758,0,0,0,1.7753925,2.9263349,0,0,0.5425316
383,0,0,3.4490101,10.918094,0,0.02270346,0,0,1.2663795,11.481548,0,0,0,0,12.0131445,0,0,0,0,7.6685452,0,0,0,5.7740893,0,0,0,3.0291278,4.836804,4.0864906,0,0,0,4.836661,8.463317,0,1.1683317,0,1.5554966,0,0,0.22112869,0,0,0,0,0,0,1.1431713,0.20604327,0.26190716,0.64368314,0.82960343,0,0,0.79444724,2.1871684,2.357143
384,0,0.7558667,10.065478,3.1833534,0,0,0,0,0,11.625532,0,0,0,0,0,0,0,0,0.95535433,2.3893046,0,0,0,5.1698165,0,0,0,6.745406,3.5934312,5.54659,0,0,0,0,21.079647,0,4.117386,2.2056952,0.83425033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12528747,2.1307518,0,1.744341,0,0.9529021
