x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
495,0,0,0,1.5499643,0,1.545345,0,0,0,0,0.34225386,2.1308966,0,1.5145689,0,0,0.781677,0.7536573,3.184018,0,1.7961404,0,0,0,0,0,0,0,0.2426488
496,0.37735373,0,0.65088147,0,0,2.1849487,0,0,0,0.8791955,0,0,0,0.2748952,3.038318,0,0,0,0.12187548,0.49851477,1.1292144,1.2411509,1.301298,0.47068256,0.6566147,0,0,2.6362326,0
497,0.18278778,1.5410062,0,0,0.24085607,0,0,0,0,0,0,0,0,0.7317302,2.281543,0,0,0,3.269261,0,1.5308028,0,0,0,0,0,0,0.35982776,0
498,0.27220976,0,0,0,0,0.1485587,0,0.4754453,0,0,0,0,0.34589565,0,0,0,0,0,0,0,0,0.39097306,0,3.4398038,2.2086031,0,0,0,0.68895286
499,0,0,0,0.9850796,1.8392278,0,1.3129108,2.2191718,0,0,1.6056654,0,0,0,0,0,0,0.13416079,2.650023,0,0.8287534,0,0,0,0,5.0394335,0,0.79775035,0
500,0.008272763,1.1707596,0,0,0,0.39904368,8.129443,1.1688055,0,0.005623187,0,2.0441642,1.5817317,0.86036545,0,0,0.118689686,0.09325,0,0.8013427,0,0,0.32996187,0,0.06925871,0,0,0.20899972,0
501,0,0.44464877,0,0,0.4276393,0,2.060861,2.8778682,0.24109665,0.80181587,0,0,0,0.70383596,1.5795065,0,0.67840093,0,0,0.042623214,0,0,0.58324784,0,1.3591363,0,0,0,0
502,0,0,0.053866476,0.38743716,0,0,0,0.29862726,0,0.24988814,0.094189644,0,0.5645101,1.106225,0,0.49016747,0,0,7.1443205,0,5.9419003,0.9680302,0.8123198,0,0.88577807,0,0.9288627,0,0
503,1.8995447,0,0.79663527,0,0.049261294,0,0.2918334,0,0,0,1.8602635,1.1407833,2.1755643,0,2.4666576,0.3423381,0,0,0,0.6095627,0,0,0,0,0,0,0,0.037430342,0.022504756
504,1.0167165,0,0,0,0,0,0,1.4896824,0,0.4598702,0,0,0.44024524,0,2.2080476,0,0,0.3643464,0.33253944,0,0,0,0.10997545,0.63383055,0,1.8561823,2.1502383,1.7903954,1.1072142
505,0,0,0.73079765,0,0,0,4.6415677,4.471833,0.3882725,0,2.745677,0,0,0,1.2197403,0,1.2131059,1.1907765,0.44912264,1.0659652,1.8433801,0.14612126,0,0,0.5073222,0.32788366,0,0.59372497,0
506,0,0.22390936,0,0,2.783903,0,3.538351,0,0,0,0,0,0,0,0,0.3312497,0.5255346,0,0,0,0,0,0,0,1.9204533,0,1.5513369,0,0
507,1.5724542,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7353535,0.5596486,0,0.6998287,0,0,0,0.3974138,0,0,0,0,0.32865226,0,0
508,0,0,0.3601017,1.4401344,0.26723322,0,0,2.4415514,0,0,0,0,0,0,0.30659372,0,0,0,0,0,0,0.50134146,0,0,0,0,0,0,1.5505074
509,0,0,0.30701816,0.2581504,0,0,0,0,0.62436754,0.5938216,0,0,0,1.632339,0,0.001664035,0,0,0,2.2990928,0,1.4846114,0.14179528,0,0,1.4546783,0,0.7126767,0.24164382
510,0,1.5214312,0,0,1.0593683,0,0,0,0,0,0,0,0,0,2.409762,1.3557124,1.7118481,0.15834385,4.1188,0,1.7320435,1.288114,0.57868296,0,0,0,0,1.6395053,0.12321729
511,0,1.710822,0,0.91350675,0,0,0,1.1756158,0.8399954,0.29073533,0.7455908,0,0,0,1.4738648,4.942219,0,0,0,0,0,0.14390391,0,3.7053235,0,2.4134402,0,0,0
512,0,0,0,0,0,1.4212818,0,0,0.3363998,0,0,0,0,1.0778699,1.5829359,0,0,0,7.6003566,0,0,1.9666317,1.4466549,0,0,0,0,0,0
