x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061,y0062,y0063,y0064,y0065,y0066,y0067,y0068,y0069
712,0,0,2.298106,0,0,0,5.095299,0,0,7.13097,8.632356,17.186846,7.84908,2.2002354,0.19766451,2.0261643,7.1601324,0,0.42117226,0,5.0998964,2.3008437,19.204548,0,6.2050004,6.9150047,6.783349,0,0,5.7382812,0,3.548213,10.082126,3.5133598,0,0.57567865,0.64107716,11.042994,10.524066,5.1670704,1.0225421,6.2645054,0,0,3.1705942,2.3753211,7.985129,17.891647,3.9197528,0,9.761298,2.172013,0,0,9.552241,0,0,0,17.924349,0,3.363177,0,1.8162879,5.655204,1.3145207,0.69357425,0,3.468536,0.7697194,18.34248
713,0,0,0,0.57692677,2.8410482,2.9219875,5.2587214,0,0,1.782852,6.9571123,5.211453,2.2061095,0,0.08739248,1.8560226,1.3306627,0,3.7777221,5.6916413,4.8357544,3.803877,5.9616356,0,0,0.1799957,4.1770263,5.5864615,0,5.446605,2.217712,0,7.5541253,0.34865853,0,0,0.5417819,5.110669,1.7174219,8.363286,19.252468,6.6734858,0,0,2.4059603,0,0,19.904549,0,0,2.9355445,6.686604,2.3602207,0,0,0,0,1.8421818,2.2156746,0,10.244893,0,0.17526108,17.313602,2.9403815,0,0,2.4009163,0,12.29902
714,1.3139881,0,0,2.750995,2.745243,4.8923016,0.78945535,0,0,2.0460863,0,24.303288,1.9022582,0,0,0.002547559,0,0,5.283606,2.6773744,0,0.06374347,3.630104,0,3.2536926,0,2.2994492,0,0,0,0,10.169488,10.72069,0,0,0,4.18614,10.768205,7.840306,6.0146613,0,3.1348417,0.8983924,0,1.7693201,10.414659,1.0673177,15.111125,3.4889078,0,0,0,0,2.820695,0,0,0,1.1870593,0.5552746,1.6621767,0,0,0,8.7967615,0,0,3.15371,0.8708616,2.663565,2.1241302
715,0.3726766,0,0,1.949594,2.632155,2.3718996,0.25085756,0,0,0,4.5819964,5.6133204,10.142934,0,0,5.5389695,1.5287782,0.9694566,2.3786573,0,0,10.294127,10.577902,0,0,6.918491,0,0,0,0.59197813,0,2.4045413,3.5167027,0,0,0,0,1.0311384,7.2359324,3.412786,0,1.4088128,0.281031,0,5.724207,0.28869256,0,20.598885,3.35032,0,1.9907024,0.63643503,0,0,4.103193,0,2.5894287,3.8919456,3.313332,8.565054,0,1.234978,0.7377185,16.174824,1.0349041,1.622129,5.343347,0,0,13.646354
716,2.4409356,0,0,0,0,0,0,0,0.34561184,3.6064668,2.8190224,21.43001,4.734017,0,0,2.297578,0,1.9647835,7.112693,0,0,0.38128927,3.2676196,0,0,2.4909987,0,0,0,0,0,7.6700087,17.585249,0,0,0.2766864,3.3696024,7.1003904,3.0295327,5.456264,0,6.263205,0,0,5.7213387,7.6778965,4.5926023,4.4928846,1.8764678,0,4.7466307,10.763979,4.4980593,0,0,0,0,0.085747,9.635608,6.311247,0.48311803,7.1781964,0,0,0,0,0.6894311,0,0,0
717,0.72531927,0,0,0.7397186,0,0,0.7395316,0,0,3.7356596,6.6856875,0,0,17.106771,0,1.4176536,6.583786,0,0.22961052,0,6.131195,7.0491652,13.801991,0,8.873224,0,0,3.8940153,0,7.8023953,0,9.075864,8.096592,0,0,1.5392116,0.3258604,0,14.19893,9.392093,0,6.5572925,0,0.16300495,1.6882066,11.252125,4.307032,6.193791,7.103197,0,3.0341852,0,3.1307888,0,4.709385,0,0,1.3399637,17.2269,0,0,4.248677,0,25.216532,0,0,0,4.6999288,0,17.060577
718,0,0,0,2.8937325,0,0,1.2283288,0,0,1.4655013,1.8938912,13.225764,1.511682,0,3.0773244,4.167788,0,0,0,0.24301021,0,10.46551,0,0,1.2217658,1.8452554,2.4062479,7.0932384,0,0,0,6.460007,13.461499,0,0,1.5876311,0.85605246,0,1.4597766,2.6164057,15.196307,0,0,0,1.544262,5.266366,0.17483024,16.461605,5.170826,0,1.5631728,0,0,0,15.311763,0.6608742,0,2.4881742,9.225345,0,1.0252705,2.7058103,0,15.884382,0.40794003,7.22449,0,2.0559645,0.039467562,5.770092
719,0,2.8801324,0,0,3.6084366,7.6185346,0,0,0.46283218,0.31642506,0,0,3.5745668,8.959564,0,0,0,0,0,1.8769816,3.237082,3.4353328,3.3779037,0,0.19841519,9.250799,2.6747484,0.6570978,0.23781055,5.2923884,4.914734,0,3.3313155,3.734228,2.9886494,0,1.004237,0,0,3.7853873,5.8666773,0,0,0,0,2.4488885,1.4902121,2.176734,7.075934,0,0,12.463606,1.1494925,1.6102179,0,7.2190666,3.5749276,0,4.2172575,0,12.751926,0,2.9026194,0,0.4434148,2.7977803,10.337613,2.1101775,1.8456614,0
720,0,5.8553405,0,0,5.5942183,0,0,0.29244545,0,1.0309154,0,2.668131,0,11.045962,0,1.4671799,0,0,6.3375587,5.292397,0,0,3.5934167,0,0,8.05355,0.990741,11.3864,7.266617,3.2491407,0,3.7288976,2.6892014,0,5.6595225,0.2588483,0.6790861,0.41997138,4.060439,0.2898972,11.729734,0,0.70497686,0,4.0789003,3.8025346,0.06489497,10.942514,0,0,3.6369734,7.24134,2.208718,1.9472159,0,0,0,0,8.510177,0.644871,0,8.006283,0,6.5024934,14.947394,1.3976308,4.6196194,0,0,0
721,0,4.0335608,0,2.4703577,0,5.1673756,0.099197984,4.138211,0.77283496,0.7709811,8.113511,3.5795867,0.94628924,0,0,0,2.5149114,0,9.925982,0,0.8672876,0,4.9489446,0.6285543,0.06651267,0,0,7.7395916,3.7115822,0.46948037,0,2.784659,13.528205,2.0949395,7.70969,3.46835,0.58366203,1.4307383,2.7634246,7.043213,0,3.8568287,0.22447377,0.07981777,1.6406976,6.079153,2.4987752,0,0,6.1025004,5.5869884,6.2037387,3.194497,0,0,0,0.61774296,1.6536745,0,0,0,4.601411,0,9.485875,1.3508439,0,0,1.2300701,0.037180874,2.2991204
