x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
123,0,0,0.9788069,0,0,0,0.254057,0,0.15483846,0,0,0.09310236,0.10409673,0.47012925,0,0,0.43676805,4.604981,0,0.2866863,0.4611814,0,0.058368307,0,0
124,0,0.102796376,0,0,0.3803782,1.722973,0,0,0.6580211,0,3.8571901,0.36443993,0.8387094,0,0,0,0.8773354,0,1.996654,0,0.49011967,0,0.25613812,0,0.9244432
125,0,1.2305807,0,0,0,0,0.5377688,0,0.7460521,0.378483,0,0,0,0.8777606,0,0,0,0,0,0,0,0.2748942,1.0678288,0,0
126,0,0,1.1319417,0.35424277,0,1.5833566,3.2141254,0,0,0.54085773,0.010490422,0,0.64856976,0,0.3965306,3.0344539,1.1720793,0,0,0,0,0,0,0.73475134,0
127,0.6790896,0,0,0,0,0.41432315,0,1.8836643,0.31942913,1.4112725,0,0,0,0.97040206,0,0,0,0,0,0,0.35090554,0.55224586,1.2842561,1.3345652,0.23417214
128,0.3713026,0,0,0,0.48329782,0.10876622,1.7279872,0,0,0,0,0,0,0,0.3864874,0,0,2.0484068,0,0,0,0,0,0,0.5463962
129,0,0,0,1.8881279,0,0,0.2822448,0,0,0,0,0,0.019795224,0.28675967,0,0,1.5536697,0,0,0.11518414,0,0,0,0,0
130,0,0,0,0.74362373,0.4646407,0,0.51893896,0,0,0.38360327,0,1.2167032,1.3129472,0,0,0,0,0,0,0.3854944,0.7963036,0.09827243,0,0,0.24793977
131,0.36973274,0,0,0,1.1091744,0,0,0.095425226,1.4737703,0,1.5325892,0.54906887,0,0,0.3269217,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0.07926784,0,0,0,0.2302445,0,0.26298487,0,0,0,0,0,0,0,0,0,0,0.024786225,0,0,0
133,1.2247789,0,0,1.8918861,0.6286162,0,1.691164,2.6474793,0,0,3.0951898,0.5371776,0,0,0,0,0,1.1398425,0.54450774,0,0,0,0.4302482,0,0
134,0,0,0,0.5618953,0,0,0.37676883,0,0,0,0,0,0,0,0,0.2667487,0,0,0.37437707,0,0,0,0.71470594,0.95272225,0.156535
135,0.22868562,0,0.25181836,0.9045337,0,0,2.7100673,0,0.085143045,0.091748185,0,0,0,0,0,0,0.8964776,0.30949157,1.2583975,1.5921822,0.5178846,0,1.0045943,0.4917641,0
136,0,0,0,0,0,3.056368,0,0,0.28471598,1.0401291,1.0986493,0,0,0,1.562624,1.4585319,0,0,0,0,0,0,0,0,0.24195436
137,0,1.206871,0,1.5445036,0,0.4245605,0.9770386,0,0,0,0.12292713,0,0,0.95334893,0.23640577,1.2809958,0.001396617,0.45718673,1.1839827,0,0,0.43382183,0,0.49301952,0
138,1.0038362,0,0,0.3657439,0,0,2.4152322,0,0,0.1004528,3.3891385,1.2208239,0.55091774,0,0.028187564,0.32471368,0.77110726,0,0.12514402,0.22689846,0,0.96153665,0.4601678,0,0
139,0,2.2825918,0,0,0.39970714,0,0,0.09891445,0,0,0,0,0.2423274,0,0.6426023,0.23600931,0,4.634149,0.5452243,0.68734986,0,0,0,0.4905518,0
140,0,0,0.80482846,0.21112956,0.22766817,0,1.3401678,0,0.266672,0.20770773,0,0,0,0,0.43407753,0,0,0,0.68485296,0,0,0,0,0.772035,0.07741463
141,0.065340914,0.13538076,0.674701,0.43090028,0.7215564,0.40797493,0.2860255,0,0.27989137,1.2172291,0,0.62776405,0,0,0,0,0,0,0,0.652199,0.056238845,0,0,0,0
142,0.82505065,0.8871199,0,0.4529848,0,1.6400416,0,0,0,0,3.0483928,0.5163611,0,0.37889892,0,0,1.7767975,0,0,0,0,0,0,0,1.1744667
143,1.6078347,0.05095965,0,0,0.11396301,0.9853591,0.4400914,0,0,0,0,1.1893225,0.10212256,0,0,4.721846,0.05404736,0,0,0,0.262911,0.5972373,0,0.81737405,0
144,0,0,0,0,0,1.9810634,0,1.0617337,0.61907214,0,0,0,0,1.0514133,0,0,0,3.6894953,1.2814943,1.2375605,0,0,0,0,0
145,0,0,1.0617495,0,0.03152834,0,0,2.293464,0.5100879,0,0,0.6548513,0.43129444,0.774487,0,0,1.3368412,0,0,0,0,1.3419708,0,0.6315077,0
146,0,0.16800065,0,0.47750565,0,0,0,0,0.3501424,0,2.071554,0,0,0.0861018,0,0,0,1.6280258,0.90224963,0,0,0.3677715,0,0.15946704,0
147,0,0.34342515,0,0.107100606,0,0,0,1.274274,0,0,0,0.52410805,0,0,0,0,0,0,0,0.5798847,0,0.78731966,0,0,0
148,0,0,0,0,0,0,0,0.26348194,0,0,5.8404922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0.08107555,0,0,0,0,1.1514663,0,0,0,0,0,0,0,0,0,0,0.11626606,0,0,0,1.0213526
150,0,0,0,0,0.65808433,0,0,1.763124,0,3.0375156,0,0,0,0,0,0,0,0,0,0,0,0,0.41694248,1.356257,0
