x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0025,y0027,y0028,y0029,y0030,y0031,y0032,y0034,y0040,y0042,y0043,y0044,y0046,y0047,y0049,y0050
79,0,0,3.9442585,1.2093709,0,2.4451714,0,3.2834954,1.7290373,0,0.89193684,0.6253336,0,0,0,0,0,2.454753,0,0.47352985,0,0,0,1.3098236,0,8.834162,0,0,4.17078,0,0,0,0.6402102,0,0,4.545633,2.0086048,0,0,1.0668632
80,5.3914165,3.2694728,0,2.539293,0.86985034,7.442512,0,0.25632653,0,1.1003063,0.8861971,4.2538233,3.7907174,2.1273146,0,1.7682401,0,0,0.683335,0,0,2.3896315,0,1.7474993,2.4157627,0,0,0,0.3493134,0,2.6416597,0.40388834,0,1.0186108,0.6148636,0,0,0,3.0494282,0
81,0,0.75444365,0,0,0,0,0,3.8760881,0,0,3.5027819,0,0,0,0,2.5636232,0,1.0089667,0,0,0.6461001,0,6.037791,0,1.5922521,0,0,0.25782406,0,0,0,0,0,0,0,0,0,0,0,0
82,0,1.304719,0,0,1.5996993,0,0,0,0,0,1.3849072,0,0,2.5329728,0,4.0215263,3.829987,0,0,3.3673038,0.51382774,1.0711008,0.31714246,0,2.1053092,6.5646563,0,2.949685,0,3.7508252,0.8569394,0.11351674,0,2.5900187,0.3906274,0,1.9793736,7.980669,0,1.8236883
83,0,0,0,0,0,5.317414,0,0,0.25403363,1.997059,1.5312561,1.4844155,5.3226027,0,0,0.39026237,0,0,0,0.15910794,0,0,0,0,2.0011175,0,3.1581414,0,1.5918933,1.4305122,0,0,0,0,4.707112,0,0,0,0,0.41202343
84,0,0.45625615,0,0,0,1.6645563,0,0,0.81780016,0,0,3.6145015,0,0,0,3.1875713,0,2.6985955,0,0,0.32711267,2.5004683,1.2816846,0,1.1977901,1.6208178,1.3489076,0,2.2250466,8.232216,0,0,1.3151588,0.11040922,0,0,4.0133824,0,0,0.83422035
85,0.018779485,1.5064526,0.7938841,0,0,0,0,0,0,0,0,0.623081,0,0,1.9581978,2.1859918,0,0,1.6559272,0,2.0627005,0,0,0,1.4233956,0,0,0.24981825,0,0,1.0006849,0,9.205788,0,0,0,0,0,0,0.3189121
86,2.7236364,0,0.63536805,0,0,6.721703,0,1.610719,0,0,1.8056397,3.4104145,0,0,0,0,0,0,0,0.16703443,0.15323934,0.110751085,6.9472384,2.3929875,0.40396643,0.2595095,0.32983208,0,0.83451986,1.5567338,0,0.19950947,0,1.6929448,0,0,0,0,2.8544538,0
87,1.8892477,0,2.7493021,0,2.1542113,0,0,0,1.2151207,0,4.1214423,0,4.476407,1.4521408,0,2.117552,0,0.8434996,0,0,0,1.1557341,4.952324,0,3.1839597,5.9176855,1.6502216,0.88141346,0,0,5.8751264,0,1.5977616,1.4267088,0,0,1.7148184,3.3717484,0,3.0927587
88,0,0,0,2.0090933,0,0,2.0873241,0,0,0.650589,0,0,4.591887,0,0,3.9991684,1.6890452,0.83600765,0,0.37957495,3.3383484,0,0.13864432,1.4591411,2.0691009,2.3349652,0,0,1.3924077,0,0,0.4619794,0,0,0,0,4.7957344,0,1.7945361,1.1150329
89,0,0,0,2.3189073,0,2.5230863,0,0,0.75438166,0,1.9401035,0,0,0,0,0,0,1.4042894,0,0.39229235,1.3491441,0,4.110173,0.68293417,0,5.898905,0,0.478396,0,0.029451296,0.18178394,0,0,0,0.19000511,2.048417,1.4431998,0,0,0
90,0.8443193,1.1565884,0,2.7844784,1.2683581,0,1.3145062,0,1.6529282,0,1.4530274,0,0,0,1.4829742,0,0,0,0.04212871,3.8536127,0,0,0,0,0,0,1.8234502,0,0.051539566,0,0,2.0106914,0,2.1393602,0.09736439,2.165832,0,0,0,0
91,0,0,0,0,0,0,0,0,0,3.5354059,1.9028774,1.4178036,0,3.375539,0,0,0,0.5968028,0.07567366,0,3.2047796,0,5.236918,0,0.22360983,0,0,0,0,2.2626305,0,0,0,0,0,1.3445233,0,0,0,0
92,0,0,0,0.11318537,2.5394366,0,2.6992748,0,0,1.8516254,0,0,0.6224804,1.4621007,1.850497,0,1.6769353,0.9533127,1.1861429,0,0,0,0,0,0.13582107,0,0.92649376,0,0,0,0,3.7979252,0,0.3751718,0,6.9204016,0,7.387601,5.1175756,0
93,0,0,0,0,0,0,1.9211087,0,0.39095002,0.87186867,0,3.4787736,0,0,0,2.7973292,0.6337628,0,0.1657577,2.4087577,0,0,0,0,0,8.321329,0,0.07086913,0,0,0,0,0.33139092,0,0.93061996,0,0,0,0,0
