x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054
426,0,0,1.72991,0,0,0.8886352,2.7962599,0,0,0,0,0,0,0,1.1081958,0,0.4842964,16.676691,0,0,1.3220866,0,0,1.6984795,0.49095985,0,0,0.25624567,2.2905297,0,1.0928985,0.8050307,0,0,0,0,0,0,0,0,0,0,0,0,3.1771765,0,12.574011,7.497036,0.08416455,3.0152895,0,2.7803032,0.18110238,0.4263513,0
427,0,0,0,0,0,1.8248756,0,0,0,0,0,0.12005611,0,0,0,0,0,0,2.1948519,3.6865976,0,0,0,0,0,0.40445444,10.568627,1.3757919,0.44441432,0,8.384897,0,0,0,16.765394,0,0,0,0,0,0,0,3.2715833,0,8.327548,0,0,0,0,0,0,0,0,0.6808023,0
428,0,0,4.2134805,0,0,0,0,0,0,2.109933,0,0,0,15.629773,0,0.042139057,0,0,1.8023983,0,0,0,0,0,3.1882792,0,2.5977206,0,0,0,4.94117,0,1.3648949,0,0,0.4137798,0,0,0.06532101,2.374208,0,1.421476,0,0.0840907,4.306763,1.4514115,0,7.7335773,0,0.6229126,1.2374983,0,3.8422978,0.82355917,3.1336887
429,0,0,1.1443931,0,2.578473,0,0,1.0548593,0,0.5673573,0,1.5782855,4.148068,0,0,4.0142508,0,5.146228,0,8.786757,7.425688,0.6439965,0,0,0,0,9.605282,0,0.5805636,0.10907915,6.86565,0.72466177,1.4176534,0.15517695,8.255878,0.26390266,0.82539517,0.64760685,3.8203182,0,0.8322707,0,0.65163153,1.1613448,2.5311782,1.5786115,0,1.1747926,0,0,0,6.4380927,0,0,2.6585321
430,0,0,0.5517323,0,0,0,2.0786288,0.65496796,2.84022,0,3.6786127,0,0,11.92901,0,0,0.76910484,0,5.144923,0,0.84375095,3.1340833,2.8747787,0,0,0,10.123816,0,0,0,0,0.35831112,0,0,0,0,0,0,0,0,0,0,1.870312,0,0,1.7967478,0,0,1.8430487,0,0,7.3554263,0,0,1.1103021
431,0,0,0,0,3.9853458,1.3086175,0,3.3959801,0,0,1.185931,0,2.0368211,0,2.3239667,0,0,0,4.7332845,0,0,2.0458,0,0,0,0,0,0,0,0.5974314,0,0.6151275,1.2737476,0,0,0.1255288,0,0.25678697,0.8200076,1.0477568,0,0,3.685334,6.0104494,0,0,0,0,0,0,0,0,0.68217456,0.3155705,0
432,0.78121704,4.9109354,4.756226,1.4556793,4.30883,5.3646455,0,0,2.6140265,2.1326919,0,0,0,0,0,2.9478548,0,0,0,0,1.7798078,1.3611028,0,5.821212,1.4404155,1.0483454,0,0,0,0,0,1.8984379,2.41506,1.82607,0.35777134,3.6123261,0,0,1.2788906,0,0,0,0.15772556,2.1940978,0,4.3363123,0,0,0.18167305,1.9186548,1.9708816,3.879207,4.666015,0,1.947729
433,2.12695,0,0.88417226,0,0,0,0,1.4650824,0,0,2.8198602,0,0,6.160558,0.035598833,9.879557,1.470948,2.6236827,1.066674,0,0.6968255,0,0,3.6788409,1.7199196,0.1266111,0,3.2185545,0,0,7.544309,0,3.7665727,0,0,0,0,1.7842343,0,1.5578644,1.0476222,0,1.1126508,1.2681782,0.7017462,0,1.1978273,0,0,0,0,0,0,0.48231363,0
434,0,0,3.26221,0,1.7287923,2.8298082,0,0,0,0,1.2876557,0,0,0,2.1807575,1.1305763,3.568114,0.006838592,0,0.6754461,0,0,0,7.89516,0,0,0,1.5930384,0,2.209435,0,0,0,0,12.910795,0,2.099834,0,0,0,1.3273066,0,0,0.12911128,0,0,0,0,1.4489067,1.2485683,0,0,0,0,0
435,2.274696,4.1087747,0,0,0,0,3.0085785,0,0,7.8517165,0,0.8917422,5.9552417,0,0,0,0,0,2.3053617,0,0,4.0711503,1.0457522,8.164171,0,0,4.4102516,1.1638904,3.7164426,0,7.637344,4.734963,0,2.3727958,0,3.6979384,1.892263,0.4995218,0.22977039,0,0,0,0,4.3386965,4.617527,0,0.20407826,6.933166,0,0,0.91004646,8.290862,0,0,0.27521208
