x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
149,2.053552,0,0,0.37978163,0,0.33099857,0,0.4247046,0.9619722,0.38188693,0.51573443,0.75662524,0,0.38577154,0.080201484,0,0.6667066,0.17920624,0,0,0.6319279,0.18942514
150,0,2.761429,0.23074967,0.774114,0,0,0,0.067115724,0,0,0,0,0,0,0.81314856,1.1173749,0.8555389,1.0604832,0,0,0.4850907,0.34813756
151,1.4239459,0,0.5472023,0.04240523,0,0.117088296,0,0,0,0,0,0.4936269,0.29780036,0.67269665,0.413413,3.4330788,0,0,0.49498415,1.8686905,0.0612182,0.85261744
152,0,0,0.7118543,0,0,0,0.50348264,0,0.9316576,0,0,0,0.909327,0.046041127,0.2984836,1.1773332,0,0,0,0,0.7248208,0
153,0,0,1.2729852,0.24545082,1.6979089,0.025229666,0,0.47784603,0,0,0,0,0.624145,0,0.41767514,0,1.6651855,0,0.35710257,0,0.34756577,0
154,0,0,0,0.4185746,0.27265358,0,0,0,1.2058057,0,0.059977803,0.10032733,0.16145802,0,0.47484335,3.3015537,1.3081044,0.23081517,0,0,0,1.3879125
155,2.7596672,6.3416524,0,0,0,0,0,0.41131496,0,0,0,0.036310337,0,0,0,0,0,0.4639571,0,1.0405058,0,0
156,0,0,0,0,0.7827421,1.5347298,0,0,0,0,0.063425146,0.09982612,0,0,0,1.1543326,0,0,0.12957384,0.6399478,0,0
157,0,0,0,0,1.2533869,0,0.37626776,0.5819819,1.1180797,0.5753651,0,0,0.005797473,0,0.5813624,0.45305923,0,0,0.7529133,0.4372358,0.15149857,0.011239377
158,0,0,0,0.67528874,0,0.80800515,0.17469677,0,0,0.27359253,0.2194248,0,0,0,0.7985225,0,0.8378893,0,1.5541224,0,0,0
159,0,0.8787453,0,0.8129441,0.000342125,0.049401194,0.38326877,0.12306551,0,0.32399115,0.3624747,0,1.4553066,0.012935936,0,0.66809267,0.70406926,0.20018844,0.33827174,0.6264565,1.1384422,0.25725102
160,0,0,0,0.6404853,0.7795836,0.48652595,0,0,1.0396925,0,0.39981297,0,0.07973193,0,0.89285344,0.89215165,0,1.1403695,0,0,0,0
161,0,2.6915941,0,0.38278508,0,0,1.2219645,0,0,0,0,0.2560079,0,0,0,1.7816185,0,0,0,0.035149485,0,0
162,8.989851,0,0,0,0,0,1.2070594,0,0,0,0,0.32317057,0,0,0,0,0,0,0,0.092991956,0,0
163,3.0188286,0,0,0,0,0,0,0.5499328,0.09561658,0,0.1423575,0,0,0,0,2.648348,0,0,0,0,0,0.42340297
164,0,0,1.212897,0,0,0,0,0,1.001113,0,0,0,0,0.24096581,0,3.1069486,0,1.328194,0,0,1.1620624,0
165,0,0.5023139,0.49475393,0.44297406,0,0,0,0,0,0,0,0.060589194,0.028923357,0.79005295,0,1.1366693,0,0.11024134,0.5288645,1.2012355,0.14850353,0.47036532
166,0,0,1.0031973,0,0,0,0.5783822,0,0,0,0.031952687,0,0,0.6408156,0.42578948,0,0,0.72741896,0,0,0,0
167,0,0.24344578,0,0.71305054,0,0,1.941241,0,0.7190221,0,0,0,0,0,0,1.3831863,1.5979934,0,0,0,0.86748517,0
168,0,0,0.77019924,0,0.020283656,0.040143274,0,0,1.4443614,0.405316,0,0,0,0,0.30365145,1.7122352,0.9448866,0,0.57668966,0.14941394,0.81875354,1.6675596
169,1.213812,0,0.35423556,1.5453194,1.8382297,0,0,0,0,0,0,0.72975886,0.18400666,0,1.5342332,0,0,0,0,0,0.28186572,0
170,2.7716105,0,0,0,1.3938917,0.6774449,1.3005947,0.5706972,0,0.85107994,0,0,0.38594204,0,0,0,0,0.85268086,0,0,0.3503544,0.57417744
171,0,0,0.7650761,0,0,0,0,0,0.6633699,0,0,0,0,0,0,0.53418845,0,0,0.3187644,0,1.6409419,1.1499962
172,0,4.8677044,0.027321853,0,0,0.34616488,0,0,0.79996485,0,0,1.1635787,0,0.4118014,0,0,0.42104244,0.40873814,0.49126777,0.5149036,0,0
173,0,0,0.22852404,0.09997098,0,0,0,0,0.55467504,0,0.02947143,0,0.625438,1.0877476,0.14948685,5.164248,0,0.2714071,0,0,0.4269323,0
