x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034
652,2.8494592,3.2504578,0,0,0,0,0,1.4194183,0,0,0,0,0,0,0.35194933,0,0.40046638,0,0,0,0,2.8277228,8.880049,0,0,4.6587596,0,0,0,0.24746184,0,0,1.3661952,0,0.1280971
653,0.57167155,1.4056776,0,3.75576,0,0,0.81223446,5.0099816,16.144138,0,0,0,0.10596192,1.3243026,0.10033173,0,0.4324235,0,0,0,0,5.277293,0,0,0,22.557003,0,0,0,0,0,0,0,0,7.8778543
654,7.2474265,1.3272847,0,8.749889,1.4421782,0.13495775,3.4030707,4.0518165,15.120417,8.705878,0,0,0,0,5.9612494,0,1.6069014,0,0,0,1.6061302,0,7.991571,0,0,2.2405467,0.102031685,2.5249352,1.7277051,0.5447343,4.79119,0,0.69085824,0,0
655,1.7030563,6.763845,0,0,0,0,6.5699706,16.848204,14.762767,1.2749242,0,3.7438314,0,2.237569,0,0,0,0,3.2598698,0,0,0,5.2538195,3.8084865,0,0,0,0,1.9077162,1.0119455,0,0,0,0,0
656,0,1.2250609,0,2.8489919,1.8944168,0,0,19.494066,6.4782333,2.1730685,2.0911832,0,1.1134558,0,0,4.8172565,0.7605874,0,0,0,0,0,13.608639,0,0,4.004465,2.2028403,0,1.2029777,0,0,0,0.012580774,0.2822788,0
657,0.70286447,0.35198393,0,0,1.4105916,0,0,5.9434886,6.5714517,7.0048285,0,0,0,0,5.64658,0,0.9663709,0.531802,0,0,0,0,0,0,0,10.327656,0.9695612,1.7018416,0,1.7511231,6.1467295,2.0464957,0,0,6.724489
658,8.652692,6.7382903,1.1385015,0,0,0,0,0,2.299401,0,0,0,0,0,5.517975,2.1979327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02578812,0,0,0,0,0
659,0,0,0.7995646,0,1.7604197,0,8.5578375,1.9842715,2.293599,0,12.640543,3.4427142,0,0,0,0,0,0,3.6160557,2.2478597,0,0,0,0,6.030132,0,0,0,0,1.5936757,0,4.6057134,0,8.272089,0
660,0,0,5.162597,0,4.151245,0.23692167,0,0,0,16.538765,0,2.5956917,1.4384325,2.487393,4.498178,2.2901278,0.047474053,2.441588,6.6739736,0,1.2442446,0,0,7.013049,1.4020154,0,0,0.3286976,0,1.172143,0,0,0,2.9252715,0
661,0,0,0,0,0.016302578,3.4680057,0,0,0,0,0,0,3.5053015,2.808821,0,0,0,2.4841766,2.1600132,2.9003806,0.7779329,0,0,7.1716275,18.150911,0,0,0,0,0,2.0098302,0,0,0,5.234001
662,0,0,0,0,1.2208546,0,0,0,0,0,0,7.1673985,0,0,5.0472217,1.962281,2.770781,0,0,0,1.5165595,0,0,0,2.4097514,5.3649726,0,0,0.33205888,1.0757416,1.004967,0,3.3821905,0,1.1624961
663,8.47384,0,0,7.414031,0,0.31608453,0,3.9010568,17.544153,8.508415,0,9.272677,0,0,4.686185,2.9702017,0,0,0,1.308133,0,2.530881,0,5.3586564,6.7518177,0,1.609365,3.7468307,3.0044568,0,5.170909,1.5417407,0.47973078,0,7.700437
664,2.4588747,0,0,11.653961,0,0.45233554,4.918507,4.654035,3.324888,0,17.507706,0,0,0,0,0.20672119,1.8858517,0,0,1.3637267,0,0,2.5006716,0,0,9.619274,0,0,0,0,0,0,0,0,0
665,0.9317981,0,0,15.571316,6.2383833,0,0,4.5572863,0,7.0854793,0,2.0850086,0.6029089,0,7.4636474,0,0,0,0,0,0,4.816735,0,0,0,4.752745,1.5731246,3.8725505,0.95402944,0,0,0,0,0,0
666,2.4064343,0,0,11.72776,0,0,4.5040474,0,0,0,1.6310557,1.4861037,0.18201512,3.887107,0,0.039524775,0,0,0,0,0,0,4.158509,0,0,0,0.41862878,0.21446684,0,0,0,2.1633558,0.82460946,0,0
667,0,6.8358126,0.06021696,0,1.8390515,1.4733195,2.4478884,0,0,0,0,0,0,0,0,0.63813287,0.20053056,0,0,4.376458,0.2535063,0,0,0,0,0,0.6531192,3.1787305,0,3.0109184,0,0,0,0,0
668,5.446537,0,3.431076,2.6955385,0.39155957,0,2.7506208,16.08346,2.080232,0,0,11.173574,0.48866856,0,1.2365417,0,0,0.27472642,0,0,0,0,0.80537546,0,0,14.355277,0.3470037,0,0,1.8315389,0,0,0,0,0
669,0,0,0,8.246094,0,0.15749742,0,9.110142,10.424467,10.153726,21.113144,0,0,0,0,0,1.4457756,1.5101448,0,0,0,0,10.989751,2.3906665,0,0,0.008530747,0.89463663,3.3738756,0,0,0,0,0,0
670,1.5446371,0,0,0,0.63454574,0,0,6.341709,5.672276,0,1.0345231,0,0,0,1.951272,2.4481766,0.77816314,0,0,8.679832,1.5092707,8.253124,0,3.9333813,0,0,0,0.6936638,0.39089593,0,5.6924458,0.29641697,1.3387275,2.5752077,0
671,0.7180444,5.4569273,0,0,0,0,2.89078,12.882758,6.000839,3.0588844,9.38218,0,0,0,6.8698206,0,0,3.0543768,0,2.53844,0.026031198,0,11.531763,0,0,0,3.5721695,0,1.7607493,0,0,0,0.58094555,0,0
