x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
85,0,3.5171335,0,0,0,0,0,0.54369456,0,0.7895809,0,0,0.4873245,0.825629,0.6003968,3.1742065,0,1.3725796,0,0,0,0,0,0,0,0,0,0,0
86,1.4571902,4.536806,0.07331975,0,0.8461903,0,0,0,0,0,0.3784016,0.49837258,1.3368105,1.9214342,0,0,0,0.27723277,0,0.19909428,0,1.0880717,0,0.33651012,0,0,1.0149021,0,0
87,0,1.3018392,0,0,1.2177784,1.5196332,0,0,0.07184457,0,0.7519152,0,0.06850814,0.72148824,0,0.25057268,0.34160697,0,0,0.09230788,1.5849065,1.6520176,0,0,0,0.8572953,1.4425803,0,0
88,0.1363744,3.5713575,0,0.68909955,0.8123427,0.84703887,2.049465,1.3415982,1.0009578,2.982003,0.14476597,0.05809621,0.60058403,0.41357362,0,0.12771076,0.27159905,0,0.3342947,0,0,0.1423241,0,0,0,0,0,0.4039921,2.3937073
89,2.4486701,4.434458,0.5246596,0.50728613,0,0.44875214,0,0,0.03687052,0.4297841,0,0,0.83143395,1.2928514,0,0,0,1.0638607,0,0,0,0,0,0,0.06076395,0,0,0,0
90,0,5.668836,0,0,0,0.45010242,4.4689684,0,0,0,0.17825127,1.1907922,0,0,0.0220008,0,1.5602709,0.4866404,0,0,0,0,0,0,0,0,3.5352433,0,1.1794112
91,0,1.5908641,0,0,0.14630747,0,0,1.2494464,0,0,0,0.26277652,1.0933652,1.0189891,0,0,0,2.5485516,0,0.47125772,1.3912333,0,0.8157965,0,1.354684,0,0.16899377,1.5166168,0
92,0,4.230739,0.14490351,2.452434,1.1672882,0.8658405,0,0,0.760654,0,0,0,0,0.10177222,0.17675108,0,0,1.9828168,0.17539047,0.12356299,0.25753614,0,0.027312642,1.5093167,0,0,0,1.681135,0.8123991
93,1.0107661,6.2470365,0,0,0,0.31735572,1.031332,0,0,0,0.13187401,0,0,0,0.30362204,1.8711894,0,4.7058873,1.9370258,1.4539189,0,0.029206341,1.0901902,0,0.576771,0,1.6608005,0,3.056149
94,0,0,0.21607423,0.41176042,0.29086554,1.9515762,0,0,0,0,0.8426108,0,0.39977607,1.471768,0.39740184,0.8389068,0,2.485052,0,0,0.08956767,0,0,0.4311012,0,0,0,1.3487704,0
95,0,7.749376,0,0.4525815,0,0,0.6825043,0,0,0.9671737,0,0.19841546,1.085142,0,0.25026897,1.4559828,0,1.3107674,0.60154736,2.8371677,0,1.8289785,0.31544846,3.4449596,0,0.5385765,1.2296458,0,0.53407353
96,0,0,0,0,0,2.1458282,0,0,0,0.3042355,1.6781477,1.5105139,0.33336416,1.5925518,0.4574999,0,0.57842433,6.526473,0,0,0.25159377,0,1.1768711,0,2.2969415,1.1761746,0,0,0
97,0,0,0,0,1.3744028,0.2955861,0,0,0.20251234,0,0,0.37176302,0,0,0,1.1478515,0.50259614,7.8128066,0,0,0.22946027,0,0,1.5835457,0,0,0,0.72098213,0
98,0.46325094,4.8871107,0.080085345,0.09131306,0.63555735,0.38325372,0,0,0.8966105,0.5030294,0,0.23907024,0.24395308,1.2546482,0,0,0.19142155,4.5851927,0,0,0,0.12689498,0.42221412,1.7165258,0,2.8065517,0,0,0
99,0,6.0430593,0.21889749,0,0,1.4170082,0.111848325,0,0.4009757,0.019359287,0,0.54136354,0,1.1602546,0,4.790524,1.0820384,3.8285406,1.291441,0,0,0.92476714,0.090185106,0,0.8207172,0,0,0,1.0845381
100,0,0,0.28712988,0.76701283,0,1.1308764,1.2375137,0,0,0.3676812,0,0.10849337,0,0,0,0,0,1.9018639,0,0.18725526,2.4426212,2.5912068,0.23135956,0.70459867,0,0.71313846,0,0,0
101,0,0.09119274,0,0.54379517,0,0.3139611,1.2878847,0.8936569,0,0,0,0,0.010380913,0,0.427955,0,0.26730916,5.403752,0,0,1.4587435,0.931221,0,0,0,1.2252935,2.451831,1.0051184,0.16136532
102,0,5.58346,0.89495534,0.06353035,0.4373288,0,0,0,0.7447556,0,0,0,0,1.4127176,0,0,0,6.6944804,0,0,0,0,0,0,0,0,0,0,0.67917955
103,0.26670074,0.64911425,0.7607203,0.47566745,0.15776893,1.1778722,0,0.18344024,0.09183382,0,0.71612215,0,0.6240158,0,0.44772407,0,0,5.8028464,0,0,1.2847391,0,0,2.3388636,0,0.42363843,0.87940586,0,0
104,0,0,0,0,0.37442154,0,0,0,0,0,0,0.54302704,0.33659688,0,0,0,0,4.6021786,0,0.05269253,0,0.5125839,0,0,0,2.6895573,0,0,0
105,0,1.5256994,0,0,2.144482,0,0.65713763,0.08784269,0.80927867,2.1435068,0,0,0,1.1038016,0,0,0.5896996,5.670852,0.52992874,0,0,0,0.27840525,0,0,1.5016586,1.7871561,0,0.7935356
