x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
663,1.1373665,0,0,0.23856898,0,2.6427102,1.8783615,0,0,0.64922947,2.255868,0,0,0.76749456,0,0,0.9113472,0,0,5.208455,9.323519,0,0.10879781,6.7194486,1.4789752,3.5511959,0,0,0.65957975,0,0,0,0,0.82486564,0,1.5004036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064075135
664,0,0,0,1.0640184,0.09141725,0,0,0.59631,0.24507274,0,0.9458192,0,0.6731999,1.4992687,0,11.235796,0.5261211,0,0,0,0,0.19156866,5.040303,6.473454,0,0,0,0,0,0,2.105547,0.40754122,1.5135802,0.97754616,0,0,0,0,0,0,0.86058676,0,0,0,0.36024228,0,0,0.44527683,1.3368796,0,0
665,0,0.4609865,0,0,0.7205207,1.1045226,0,0,0,0,0,1.3323014,0.30323794,1.1154417,0,3.60936,0,0,0,0,0,0,0,1.6084468,1.5175437,0,0,0,0,0,0,1.2917807,0.3556039,0,0,0,0,0,0,0.78089356,0.30955738,0.61454034,0,0,0,5.048619,0,0,3.7521384,0,0
666,0,2.6760967,1.0166728,0.74482256,0.40130252,1.2311877,0,0,0,0,0,0,0.71235394,0,0.64136815,0,0,1.5636821,0.50232047,0,0,0,0,0.330851,0.8725666,0,7.72723,0,0,2.6347234,0.91726965,0,0,0,0,0,0,0.0613759,0.060135514,0,0.19583005,0,0.6164111,0,0,2.1907964,7.984112,0.027506024,4.322475,0.59299356,0
667,0,1.4209262,0,0.8740123,0,1.108486,0,0,0,0,0,0,0.6234127,0.9535857,1.6095576,0,0,2.7619348,3.5146663,0,0,3.276771,3.0143635,0,1.6070458,8.25407,7.6157813,0,0,1.6307473,0.4156537,0.7077549,3.4140127,0,0,0,0,0,0,1.5116493,0,0,0,0.61567974,1.4090606,0,0,3.3957326,0,6.122812,1.8181521
668,0,0,0.10011988,0,0,0,0,0,1.3720742,0.66103023,2.3473885,3.1925118,0,2.8552203,0,0,0.85877806,0,0,5.414569,3.7664182,0,0,0,0,0,0,2.7742972,3.790686,0,0.43184426,0,0,0.64415514,0,0,0,3.963794,1.668624,0,0.048001125,0,0,0.2553141,0,3.6882393,0,0.31418848,0,0,0
669,0,0,0,0,0,0,0.2148116,1.3828162,0,0,1.8826497,1.8624593,0,0,0,0,0.19481267,1.1232947,0.036826737,3.9149144,2.107203,0,0,11.958324,0,6.7487154,0,0,1.0581417,0,0,0,0,0.37950012,1.4511647,0,0.23544702,0,1.6820343,0.25063458,0,1.1295924,0.2613509,0.3050346,0.8497391,3.3042152,1.6613638,0.061843943,0,0,0
670,0,2.2212758,2.2100518,0.8722181,0,0,0.76480407,0,0,0,0,0,0,0.8095444,2.4979568,6.8676815,0,0.5798948,0,3.563106,0,0,0,0.12520887,0,7.638274,0,3.6541946,0,0,0,1.7818174,0,0,0,0.92273605,0,0,0,0,0,1.9188017,0,1.4673822,0,2.3290274,0,0,6.155476,0,0
671,2.5029285,2.2684278,3.9395268,0.20734447,0,0,0.06537006,0,0,0,0,0,3.1591623,1.7534506,0,0,1.0398537,0,0.89385486,0,6.1015463,0,0.8460151,2.322477,1.3943423,0,0.6145589,5.1355853,0,2.4002666,0,0,0.34212187,0.067168005,0,2.2563555,1.1578737,0,0,0,0,0,1.6268692,0,0.18355075,0,2.388242,0,0,6.1603894,0
672,1.9603313,0,0,0,0,0,1.6349483,2.7857096,0,0,0.13385218,0,0.36710545,1.1069776,0.60342354,0,0,0,0,6.7852273,0,0,0,3.1497383,1.5555303,3.9111016,0,0,1.0470898,0,2.180524,0,0,0,0,0,0,0,0.0429878,0.6533272,0.23435177,1.3403844,0.6503366,0,1.0803777,1.120939,0,0.532672,4.562579,8.120301,0
