x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053
383,1.1582017,0,0,0,0,3.4801867,0,0,0,0.2943032,0,14.361232,2.8964279,0.8640644,30.124628,0,1.6171833,1.8774197,1.0537287,0,5.372966,0.22665879,5.8478,1.4554391,2.6506925,5.549204,0.93280095,0,1.8526093,19.381084,0,7.2309875,0,27.660347,0,3.5731921,2.3038669,4.3855014,0,14.584478,0.29652217,5.392472,0,1.4452784,0,0,2.1288748,12.160353,4.1726193,0,0,0,0,0
384,0,2.4987109,0,0.40304312,0,0,0,0,0,0.87253964,0,0,0,2.0090384,16.60947,1.0482769,0,0.29714203,0,0,2.6487162,6.4849086,0,0,0,0,0,0,0,0.14219415,3.7297199,0.7604702,0,3.8291128,0,0,8.961849,0,0,2.8502815,0,0.14641847,0,0,0.5997231,0,0,0,0.84475243,0.6310693,0,0,0,0
385,0,0,0,6.5605226,0.78333986,0,0,0,3.2949667,0,0,24.983826,2.1638217,0.6699143,26.672918,6.9398775,0,0,0,0,5.6156983,0,6.152399,0,0,0,0.45376596,4.872879,0,0,0,10.715901,0,0,0,2.8353446,37.782944,0,19.18727,0,0,0.62253755,7.2306027,2.6921718,2.3424704,7.800101,0,0,0.90808725,5.1636133,0,2.266033,0,0
386,0,0.90893507,0,0,5.3700285,0,1.0006107,0,0,1.8014829,0,2.601095,4.1189046,0,8.926514,0.6182384,0.4114518,0.84828824,0.59267336,0,4.6781807,0,0,0,0,0,0.44733602,0.48280415,0,20.419647,2.0276341,1.388177,0,23.368935,3.4866612,0,1.3948365,2.7568169,0,11.747637,0,0,0,0,0,0,0,0,1.3406377,0.09922935,2.8961732,3.046194,0,3.6439724
387,0,2.5428195,4.3402624,0,0,0.5953604,3.0389824,0,0,0,0,0,3.4487178,2.6296864,0,0,0.5879493,0,0,3.77305,4.810192,3.8001425,0,1.0655581,0,2.6999938,0.2503288,0,2.5469553,1.5580759,2.3803663,1.1155033,0,26.050034,12.138615,2.1572928,6.2795773,2.429836,0,3.7717004,3.959783,4.2104564,2.9163544,0,1.100569,0,2.4015532,0,0,1.4866021,0.9473431,0,3.574073,0
388,2.3017104,0.96904284,0,0,0,0,0,0,0,0,0,4.7707114,1.053167,2.3347197,0,0,3.654392,0.19949771,0,2.2996695,0,6.9973674,5.4484353,3.014514,0.16367812,0,2.7855325,0,0,7.8214917,1.6326555,6.892298,0,23.483107,20.775137,0.26229456,9.8683195,0.5021523,0,13.049682,2.6821582,2.5107083,0,2.9551272,1.0621582,0,2.736789,0,0,1.6276401,0,0,0.760932,0.19279028
389,0,0,2.3510633,0,0,0.37441894,1.4253291,0,1.1308913,0,0.37838313,3.0923593,4.2787566,1.6196723,28.930418,0,2.4287784,4.088855,5.8129067,0.88218886,8.377123,0,0,0.9581907,1.5560126,5.1293287,0,0,0,0,0,0,0,0,9.133347,1.8887385,0,0,0,0,1.4365468,3.9726858,2.059855,1.9766554,0,0,1.087085,6.5720544,0,3.0785353,0,1.4476341,0,0.92469996
390,0,2.7083507,0,0.25201476,0,0,0,5.3993716,4.351827,0,0,1.9868529,2.2682023,2.6420043,9.018759,4.8086114,0,0,0,0,0,0,0,0,0.9173243,5.0825524,0,0,0,0,0,0,0,0,0,0,18.619602,1.7193196,0,16.451206,0,0.9343035,0,0,0.8097672,0.48328903,0.20049097,0,2.060262,2.0946414,0,0,0,0
391,0,0,0,6.538002,0,0,0.25149736,0,0,0,0,3.3768625,1.476153,0,0,0.6762318,1.3912088,3.4911194,1.5085106,0,0,0,0,1.5026301,0,0.8750652,9.709559,0,0,0,0,0.013683818,0,13.233785,7.948841,9.760616,23.965387,5.0889215,20.401447,0,0,2.3620062,0.19516142,3.0026197,5.819765,15.751242,0,0,15.331492,4.371717,0,4.909891,1.2499043,7.4719033
392,0.61576635,1.5861956,0,1.4474345,5.804944,0,1.4151708,0,0,0,0,0,0,1.7937646,13.28372,5.4102945,0,0,0,0,0,0,3.122489,0,0,0,0,13.342043,5.3698983,0,0,0,0,14.190776,12.142878,1.524276,19.688887,1.8390399,4.533996,0,0,0,6.061043,4.344185,3.8507328,0,0,7.1819916,0,3.5255022,4.45737,0,0,1.2680206
393,0,0,0,5.396525,5.64661,0,3.0678556,2.724796,0.45112884,0,4.6161394,7.3869476,4.9187846,0,7.326001,6.0978475,0,1.2571036,0,0,0,0,0,0.7806569,0,0,0,6.642744,0,0,0,10.33971,0,0,17.820667,7.6062117,25.663012,3.6210124,2.6621852,0,0,0,0.28063753,0,1.4082757,7.2234926,0.42729038,0,2.6386755,4.7529917,0,8.385744,0,0.67219394
394,0,0,0,1.1443017,2.87292,0,1.6282785,0,0,0,0.048461813,0.66147953,0,0,0,3.818509,0,0,0,0,0,0,1.1548014,0,0,0,0,0,1.9263247,0,0,11.554523,0,32.31678,0,0,18.158892,1.9014366,12.614378,0,0,0.070908844,2.4700427,1.4635637,1.8642479,8.868142,0,0,12.601817,7.432685,0,4.733627,0,2.7780118
