x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029
260,0,1.3747334,0.9161116,1.3640023,0.3164098,0.9134447,0,2.5225036,0.18887404,0,0,0.8259007,0,0,0,0,0,0,0.6430308,2.116047,0.19471271,0,0.9492573,1.4676014,0,0,0,0,0,1.3245883
261,0,0,0,0,0,0,0,0,0,0,0,0,0.78665906,1.2534268,0,0,0,2.5582237,0,0,0.84051615,0,0.36721474,0,0,0,0,0.31177616,0,0
262,0,0,0.10577914,0,0,0,1.0815914,0,0,0,0,0.39351338,1.7555281,0,0,0.66925496,0,0,0.21611631,1.235517,0.32321095,0.3632032,0.6140611,0,1.1325613,0,1.1939136,0,0,0
263,1.1386638,1.832594,0,0,0,0,0,0.34246692,0,1.3326955,0,1.7396157,0.47252274,0,0,0,0.78081673,0.6241239,0,0,0.006419924,0,0,0,0.50635266,0,0,1.2336792,0.51244706,0.3628066
264,0,0.060575433,1.268897,0,0,0.4998394,0,0,0.61346674,0,0,1.6419508,0,0,0,1.5857764,0,0.7655895,0.9092724,0,0.39863715,0,0,0.4825834,0,0.45634633,0.16201586,0,0.4850053,0.45302755
265,0,0,0,0,0,0,0,0.35021058,0.11637142,0,0.96045065,0.18159135,0.17927141,1.6956826,0,0,3.2591467,0,0,0.7140302,0,1.0567269,0,0,0.5906883,0,0,0,0,0.83841944
266,0.5379486,0.20737371,0,1.9688584,0.44136566,0,0,0,0,0,0.04646869,0,0,0,2.7807238,1.8002734,0,0.2748224,0,1.642966,0,0,0,0,0,0,0.5031602,0,0.10179692,0
267,0,0,0,3.0260603,0,0,0,0.54161435,0,0,0.9364569,2.3462062,0,0,0,0,0.057076436,0,0,0,0,0,0,0.6496116,2.1074677,0,0,0.92871714,0,0
268,0.876713,0.51199555,0.58627695,2.0067732,0.31322992,0,0.4862192,3.7970948,0,0,0,0.5878801,0,0,1.4463128,0,0,0,0,0,0,0.1178984,0.03127711,0,1.9509522,0,0,0.27150014,0,0
269,0.12695171,0,0.43875787,1.3633803,0,0,0,0,0,5.3286867,0,0,0,0,0,0,0,0,0,0,0.074384615,0.11049945,0,0,0,0,0,0,0,0.30761534
270,0,0,0,0.19024627,0,2.1926417,0,0,0,0,0.27947122,0,0,0,0,0,0,0.09030142,0,0,0,0,0,1.3761569,0,0.8019561,0,0.30261356,1.1302992,0.055616118
271,0.32764181,0,1.3334605,0,0.50514853,0,0.8086977,0,0,0,0,0,0,0.2492282,0,1.0940537,0.34304464,0,0,0,0,0,0.79702,2.273759,0.1389801,2.1254919,0,0.27016872,0.538988,0
272,0.12828958,0.5869478,1.365727,0,0,0,0,0.9415987,0,0,0,0,0,0,0,0.5993414,0,2.552597,0,0,0,0.04697213,0,0,0,0.4855084,0.1707439,0,0,0.571945
273,0.15572053,0,0,0,0,0,0,1.1462777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39131904,0,0,0,0,0,0,0,0
274,0,0.3788594,3.933214,0,0,0,0.014353302,1.7123685,1.0554957,0,0,0,0.0792763,0,0,0.4354568,0.33966744,0,0,0.6911594,0.90915227,0.96633685,0.6158998,0,0.100453,0,0,0,0,0.97140783
275,0,0,2.5619602,0,0.6100004,0,0.8017909,0,0.20498616,0.1409192,0.5858108,1.6651505,0.3748418,1.4889197,0.05854365,0,0,0.19967434,0.99536467,0.90036374,0,0,0,1.0840623,0,0,0.7971549,0,0,0
276,0.34966663,0,6.401013,0,0,0,0.32509068,0.23821332,0,0,0.3713895,0,0,0,0,0,0,0,0,0.5301488,0.59567845,0,0,0,1.5083408,0,0.3647315,0,0,0
277,0,0,0.24759562,2.027771,0.77347183,0,0.062295713,0.21118388,0,0,0,0.097667955,0.62523574,0.53161514,0,0,0,0.49884674,0.6922447,0,0,1.0021564,0,0,0,0,0,0,0.3359745,1.350649
