x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061
31,0,1.1815913,4.836273,0,0,0,2.0977273,0,2.8385785,2.0351152,0,0.9731838,1.0464501,0,4.234076,0.067708,0,1.9564447,0.32027277,0,3.427615,0,3.0049155,0,0,0,0,0,0.2966118,2.4171944,0.30120462,0,0,0,0,0,0,1.8431656,0,0,0,0,2.3868558,0,0,0,0.23676716,0,2.6915843,0,2.0139375,0,0,1.1554719,6.741204,0.28891975,0,0,0.17544764,1.3245507,0,0
32,2.3283896,1.5219302,0,0,0,0,3.5323427,0,1.2407222,0.2569772,2.1439028,0.030799564,0.12358044,0,0,0.8170344,0,0,0,5.0311685,3.4809546,0.28782898,0,0,0,0,0,0,1.2489082,0,0.8961164,1.3603377,0,0,0.17381378,0,3.3407223,0,0,0,3.237523,0,8.537404,6.5506907,0,0,0,0,0.75862914,0,7.228463,0,0,0.09697501,0,0,0,0,0.9506097,0,0,1.4312243
33,1.1234998,0,1.5133337,3.2952688,0,10.110228,0,1.1598569,0,1.9919719,0,1.2806156,0,0,0,0,0,0.35451463,0.21386297,0.9038038,6.5455604,0,3.0451965,0,0,0,1.2477485,0,0,1.4730345,0.120956644,0,0,0,0,0,0,0,0,0,0,0,0,4.1154428,0,0,3.7638726,0,0,0,5.394988,2.169067,0.100889295,0,0.12949637,0,0,8.465566,0.08885173,1.3942342,0,0
34,0,0,0.0489015,0,0,5.602188,0,0,0,0,0,0.3961593,0,0,0,0.6238721,0.05071761,0,0,7.9970236,0,0.24761693,0,0,1.875398,1.0026928,3.7135675,0,0,2.2602572,0.88851297,1.4657542,0,0,0,0.22613205,1.6341285,0,0,0.119787544,0,0.9492204,0,0,0,0,0,0,2.4343724,0,0,0,0,0,0,0,0,0,0,0,2.68388,0.28195485
35,0,0,0,0,0,1.447186,4.416493,0,2.029625,0,0,0,3.3046103,0,0,0,0,0,0,0,0,1.1133126,0,0,0.13260084,0,5.972306,1.3834211,0,0,0.007567003,0,0,0,0,0,1.8354888,0,2.1741083,0.31035984,0,0,3.9026012,0,0.27274543,0.3954933,0.34877223,0,0,0,2.3520153,1.1687392,0,0,15.3277855,0,0,0,0.10592122,3.753668,0,0
36,0,0,0.25969934,8.962813,1.4494783,0,0,0,0,0,0,0.5899264,0.36717445,0,0,0.48614925,1.3743112,3.5752041,0,0,0,0,0,0,0,0,2.709099,0,0,0,0.051297825,0,0,0,0,0,0.9886783,0,0.51138246,0,0,0,0,2.6165245,0,0,1.2529386,0,0,0,0,0.41086438,0,0,0,2.1500988,0.47788948,1.6651068,0.17794317,0,3.1069689,0
37,0,0,0,0,0,2.2908516,0,0,0,0,0,1.1025625,0,0,0,0,0,1.6690222,0.18900152,1.8830053,2.8005886,0,0.63733804,1.525765,0,0,0,0,0,0,0.22717987,0,0.93689454,0,0.35926053,0,0,0.54750854,0,1.1758546,0,1.489508,0,1.0663122,0,0.38553387,0,0,0,0,0,0,1.155222,0,0,0,8.437018,0,0.88617426,1.5205047,0.63021404,0
38,0,6.134584,1.0851356,0,0.791785,0,0,2.643433,0,1.1373105,0,0.08443628,0,0,0,0,1.4662119,1.4748552,0.71758777,0,2.7279232,0.77919394,2.949054,0,0.10355545,2.6632473,2.6653256,0,0,3.3700438,0,0,0.62751025,4.2822084,2.4455478,3.0752203,0,0,1.6977625,1.3246812,0,0,0,0,2.719381,7.344262,0,0.08823935,0.464012,0,0,0,0,1.3003153,0,0,0,0,0,0.253169,0,0
39,0,3.8538902,1.4946485,0,0.7267842,8.729399,0,0,0,0,0,0,0.07032578,0,7.0712433,0.9706925,0,4.015689,0,0,0.9366516,0,1.7601404,0,0,0,0,0.4286899,0.6190916,0,0,0,0,0,0,0,0,0,0,0.30579895,0,0,0,0,0,2.0595376,0,6.49402,0,5.1094203,0,0,0.054111302,1.1606827,0,0.09889918,4.753073,0,0,0,2.8956487,0.2744642
40,0.30885646,0,3.7521126,0,1.1420166,0,0,1.2580223,0,0,0,0,0,0,0,0.03349589,0,0,0.20829375,0,0,2.371323,0.34597886,0,0,0,0,0,3.2361386,0,0,0,0.44270137,0,0,0,2.4102333,0,0,0,0,0,0,0,1.2732122,4.7886467,0,5.947186,0,5.919651,0,0,0.5466331,0.88944757,0,0,0,0,0,0.24870196,0,1.0740373
41,0,4.4691772,0,0,0.34232637,0.61453885,0,0.87867785,0,0,0,0,0,0,0,1.185118,1.1121075,0,0,0,0,0,0.31422624,2.6958897,1.9144658,0,2.5785823,1.9932152,0,2.6688895,0,1.8793491,0.43356013,4.5597,1.2146102,0,0.14352371,0,0.8941526,0.7773491,3.232646,0,4.9044657,0,1.8053106,0.135164,0,6.0717306,0,0,0,0,0,0,0,0,3.2948444,0,0.37548503,0,0,0.9397308
42,0,8.498383,0,3.6286426,0,0,0.8226115,0,0,0.43030757,0,0.05883055,0,0.097668074,0,0,0,3.2260115,0,0,0,2.6702578,0,3.9457254,0,0.061622065,4.33866,0,0,0.041832227,1.9980955,0,0,0.5201177,0,0.3642059,0,0.5204465,1.9320476,0,0.011900083,0.075728774,0,0.18208241,0,1.0519317,0,1.7748754,0,1.4096706,0.36563125,0,0.17363651,0.45454094,1.323823,0.6394858,0,0,0.4045841,0,2.0525527,0
43,1.2134231,0,0,0,0,4.972447,0.14461277,0,0,0,0,2.651959,0,0.19691384,0,0.058551785,1.7842501,0.90893865,0,0,0,0,0,0,0,0,6.058109,0.124820784,0,2.9547791,0,5.42866,0,0,0,0,0.4181687,0,0,0,0.57348466,0.11828698,0,0,0,0,0,0,0,2.1630569,0,0,1.1413254,0,0,0,2.122721,7.3670945,0,1.9324082,0,0
44,0,0,0.5570542,0,2.026094,0,0,0,2.5016103,1.2550466,0,1.6890078,0.47491056,0.94473,0,0,4.11204,1.6565366,1.3089867,0.18159346,0,0,2.7566,7.1742125,0,0,0,0,0,5.443283,0,2.2143283,2.3709269,1.5373216,0,0,0,0,0.3154921,0,1.300437,1.9464638,1.7110647,2.6361406,0,0,1.6908619,0,4.5290613,0,0,0,0,0,0,1.0719424,0,0,0,0.040171675,0,0
45,0,0,0.36786866,0,1.614778,0,4.6262016,0,0,0,2.4004533,0,0.17735256,2.5611885,0,0,0,0,0,0,0,0,0,1.6802593,15.444798,0,0,4.608372,0,4.9481077,0.90445495,0,4.0817204,1.713227,1.8004966,1.0887156,0,0,0,0.27724293,0,0,0,0,2.2366557,3.141538,0,8.137693,1.183187,0,0,0.41842028,0.36972496,0,0,2.2081437,0,0.77622074,0,0,0,1.7670854
46,0,0,0,0,0,0,0,0,0.24982238,0,0.38170722,0,0.5642567,0,0.27496928,0,0,0,0,1.9211167,0,3.6571476,1.1160238,0,0,1.0478916,2.1315732,0.70961696,0,0,0,0.88802266,0,0.1213009,0,0.3480323,0.85015476,0.32066092,0,1.7726687,0.41054437,1.5348997,1.3863574,0,0,1.4471818,0,0,1.5330882,5.132048,1.0903093,0,0.36489367,1.371174,0,0,0,0,0.02192681,0,0,0
47,0,0,1.2636122,1.1265049,0,1.6674999,0,0,0,1.2853565,0,0,0,0,0,0,0,0.5381979,1.6145028,0,0,1.096206,3.6351178,1.2606735,0,0,2.6785169,0,1.3211559,0,0,0.28580752,0,0,0,0,0,0,0,0,0,1.1426268,0,3.6796088,0,0,2.6814733,3.4929545,0,0,0,0.056369904,1.1427176,0,11.767126,0,0.9410078,0,0,0,0,3.1722143
48,1.2682527,1.8103924,2.3438547,0.060013354,0.92850333,0,0,4.6367874,5.972821,0,0.015539316,0.53639764,0,0,0,0,0,0.8812558,0.08561238,1.1088037,1.676993,0,0.17390274,0,0,0,0,0,0.8655873,0,0,0,0,0,0,0.42244878,0,0,1.8410527,0,0.8506575,0.4452775,1.4945669,3.16746,0,0,0.9755866,0,0,0,0,0.07645833,0,0,0,0,7.0873275,0.27347708,0,0,0,0
49,0.38485742,0.6418705,0.27561048,0,0,2.739086,0,0,0.6295394,0,0,0.7793011,0,0,1.8089799,0,0.70641905,2.9655323,0,0,15.112905,2.717603,0,0.3541145,0,0.46711117,0,0,1.4809669,0,0,0,0,0,0,0,0,0,4.0883656,0,0.35422847,0,4.8902917,9.886905,0,0,0,0,1.1231633,0,2.8121707,0.23229645,0,0.7816795,0,0,4.389686,0,0,0,0,0
50,2.181203,1.6241462,0,0,0,0,0,0,0,0.8854551,0.79393065,0.3932378,0,0,2.1082375,0,0,4.6852965,0,2.9381936,9.806882,0,0,0,0,0,0,0,1.4677421,0,0,1.359502,3.6443522,0,0,0,0.32760298,0,0,0.85187495,0,0,0,0,0.25849307,0,0,0,0,6.563506,0,0,0,0.18135084,0,1.6685269,0,0,0,0,4.077715,0
51,0,0,3.9620247,6.0213833,0,0,8.290298,0,0,0,0,0,0,0.39246923,0,0,4.3441005,4.1233635,0,0,0,0.8235218,0,2.4043229,0,1.8593076,3.7262468,0.13721687,0.95828223,6.409367,1.063665,0.23045088,1.6152081,0,0,0,1.68715,2.6948423,0.8101438,0.35152984,0,0,7.492094,0,0.37190083,0.9657952,0,0,0,0,0.75567853,0,0.53805906,0,1.1013966,0,0,1.2658056,0.50852084,0,0,0
52,0,12.851654,2.6053913,0,0,4.765823,0,0,0,0.17093697,0,1.080458,0,0,1.7440127,2.263693,2.0370193,0,0.815073,2.4117494,0,0.57248074,4.352703,0,0,1.2503551,0,0,0.004802309,0,0.07424403,3.202353,0.24679074,0,0,0,0,0,0,0,0,0,0,0,1.7925196,0,2.1565642,0,4.1179633,0,5.646646,1.3036196,0.1875244,0,0,0.9789306,0,0,0.8052098,0,0,2.5214655
53,0,0,0,3.2199006,0.2466486,0,1.4488748,0,0,0,0.617904,0,0,1.2104814,1.1649019,2.5103714,0,0,0,0,0,0.8304749,0,0.36862215,0,0,1.3593678,0,0.4238967,0,0,0,0,0,0,0,1.1404674,1.8984653,0,0,1.0929878,0,0,4.5405545,0,0,1.5020151,0,2.901971,0,0,0,0,0,5.407717,0,0,0,0.06879457,4.3994546,0.7447644,0
54,1.2596121,1.7944609,0,0,0,4.2655673,0.48982397,0,3.498603,2.2732866,0.4497407,1.160973,0,0,1.829095,0,0,0,0.48479164,3.8443587,1.7036891,0,1.5142331,0,0.12883575,0.4053628,0,0,0.099150375,1.7602352,0.3270794,0,0,0,2.3850148,0.12610836,0,0,0,0,0,1.298649,0.20227018,0,0.7378428,0,0,9.107692,3.3660827,0,0,0.4882601,0,1.3257431,5.146796,0.67392325,7.1226234,6.474819,0,0.12210655,1.9461886,2.2672343
55,0.7150648,0,0,2.9726021,0,0,0,1.7441303,0,0,0,0,0,0,0.74691576,0,0,0,0,0,0,1.096223,5.72123,0,0,0,0,0,0,0,0.20318685,0,0,0,0.14790745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3398378,0,0,0,0,0,0,1.7797116,0,0,1.6365504,0,1.0764873
56,0,0,0,8.845583,0,1.3033141,2.4083767,4.019288,0,0,0.22128545,0,4.835899,3.07301,0,0,0,4.497906,0,1.4353036,2.9804432,3.419945,0,8.760935,13.621713,0,0,1.8794671,0,4.8035755,0,0,1.5552242,0,1.3393034,6.053248,0,0,0,4.0515404,0,0,0,0,3.8279657,6.5706,0,4.759591,0,0,0,0,0,1.0404062,0,0.072274484,0,1.5871453,0,0,1.1364676,0
57,0,0.35927436,0,0,0,0,0,0,0,0.003376731,0.86624306,0,0,0,0,0,1.3306985,0,0.4726742,0,0,2.8629277,0,0,0,2.9550302,0,1.0255978,0,0,0.5818191,0,0,1.092632,0,0,0,0,0,0,0,0,0,0,1.1125733,0,0,3.4562826,0,2.4321308,2.823007,0,0.34794688,0,0,0,0,2.0786915,0,0.6962115,0,0
58,1.0279853,0,0,0,0,0,0,0,1.1577463,0,1.8243836,0,0,0,0,0,0,2.484452,0,0,3.5156682,0,0,0,0,0.56339794,3.6204011,0.06094268,2.0910099,0,0,0,0,0.49253845,0,0,0.16580983,0,0,0,2.603114,0,1.4774667,1.8193982,0,0,0.33417043,0,0,0,0.939777,2.0088286,0,0,2.5889525,0,2.9459827,0,1.7284153,0.97981006,0,0
59,0,0,0,0.058542866,0,4.908268,1.7984799,0,0.40790218,0,0,0.87960273,0.41611597,0,3.7623763,0,0,0,1.3316487,0,0,0,0,0,0,0,0,0,0.93363124,0,0,0,0,0,0,0,1.0320671,0,0,0,0,0,3.1859665,0,0,0,0,0,0,0,0,0,0,0,0,1.018682,0.83037823,0,0,2.433172,0,0
