x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0029,y0030,y0032,y0035,y0036,y0039
72,1.2324257,9.600993,0.23032655,1.2565489,0,0.4404951,0,0,7.0688896,3.4218433,1.1537943,7.69207,0,2.0040195,2.3344276,0.16459373,2.183599,8.699336,15.329015,4.7660503,1.5772561,5.5551825,6.8516293,6.304276,3.7846427,4.7241354,2.7662895,9.424328,1.4043921,3.8323178,3.5135057,0.5465179,2.4307175
73,1.3700557,3.0475717,2.8785331,16.037775,1.5980002,0.9358835,0,0,0,0,1.5120819,2.4031367,0,4.663533,1.102659,1.2119277,4.6767883,5.3957243,6.1558223,0.3985609,0,1.3589233,2.3355346,0.35842115,2.4362643,5.669525,7.830283,2.1482432,0,7.420671,0,0,0
74,0,0,0.40441704,0,0,0.0734346,0.38089135,0,0.11527444,0,0.58390975,0,0.44324014,2.353508,2.5275252,0,4.2217517,3.1735644,0,4.191579,0,0.6409038,0,0,1.7246997,0,0.8754173,1.3597456,3.3364463,0,0,0,0
75,0,0,0,0,0,0,0.07877827,0,0,0,1.6447269,2.1669588,0,2.7517602,0,1.2500134,0,4.237074,4.1647406,1.9111687,0,3.8659806,0,0,0,1.9751953,0.61886024,2.2251332,0,0,0,1.1288573,0
76,0,0,0.14747961,0,4.581139,0,0,0,0,0,0,4.326942,0,0,0,0,0,0,0,0,1.8232691,0,0,0,0,2.1517658,2.8420115,0,0,0,0,0,0
77,1.3912498,0,0,0,0,0,0,0,0,0,0,0,1.9185498,0,0,0,0,0,0,0,0,0,0,0,0,0.84933674,0,0,0,0,0,0,0
78,0,0,0,0,0,0.078782916,0,0,0,0,0,0,0,0,3.7784534,0,0,0,0,2.717808,1.0188726,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65546876,0.2551633,0,0,1.3181938,0.9689504,0,0,0,0,0,0,0,1.5505053,0.6925525,0,0,0.070943594
80,0,0,0.32756433,0,0,0,0,0,0,0,0,0,0,0,0,0.7778296,0,0,1.2813436,0,0.44086227,0,0,1.9586889,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0.54346156,0,0,0.1938985,0,0,0,0,0,0,0,0,0,0,4.8733215,0.38480747,0,0,0,0,0,0,0,0,0,0,0,0.52296823
82,0,4.009414,0,0,0,0,0,0,0,0.075703815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,1.3782235,0,0,0.5710854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7726191,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0.044369183,0,0,0,0,0,0,0.7553291,0,0,8.686323,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,1.4042264,0,0,0,0,2.7879124,0,0,0,0,0,0.82485193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0.118470564,0,0,1.852018,0,0,0,0,0,0,0,0,0,0,1.4960144,0,0,0,0,0,0,0,0,0.4132303,0,0,0
87,0,0,0,0.2273205,0,0,5.639519,0,0.4407638,0,0,0,0.18068531,0,0,0.8433724,0,0,0,0,0,0,0.5076269,0,0,0,0,0,0,0,0,0,0
88,1.1027224,0,0.5193955,0,0,0.08748716,0,0,0,0,0,0,0,0.24060278,0,0,0,0,0,0.5369606,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1.285565,0,0,0,0,0,0,0.32056686,0,0,0,0.9806199,1.3889158,0,2.0222888,0,0,0.13279021,0,0,0,0,0,0,0,0,0,0,0,0,0.33874914,0.5522457,0
90,0,0,0,0,0,1.012984,0,0,4.473565,0.24210925,0,1.5726542,2.899301,0.21820454,0,0.5989045,0.5035174,0.3569823,0,1.4398516,0.57174003,0,0,4.388464,0,0.005607821,0,0,0,0,0,0.01330515,0.6639747
91,0,0,0,1.9304769,0,0,2.299353,0,0,0,0,0.50255674,0,0,0.47171336,0,0,0,0,0,0,0,0.30557477,0,0.23869696,0,0,0,0.38657272,0.6561888,0.009497833,0.19752169,0
92,1.3981766,0,0,0,0.96485925,0,0,0,0.17601383,0,1.4745461,3.1217377,0,0,0,0,0,2.3171716,4.867563,0,2.3219187,1.5055678,0,0,0,0.4020882,0,0,0,0.30176935,0,0,0
93,0,0,0.18753216,0.22763343,0.8950117,0,0.8627768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19984722,0,0,0,1.0474577,0,0,0,0,0,0,0
94,0,0.67636776,0,2.982424,2.3357265,0,0.18342566,0.80945957,0,0,0,0,0,0.028344074,0,1.7989128,0,0,0,1.8745444,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0.7601808,0,0.31076318,0,1.2045474,0,0.92331374,0.34412155,3.357306,0.1803265,0,0,0.2355991,0,0,0,0,1.4420733,0,0.8622246,0,0,0,0,0,0,0.59752846,0,0.53303534,0,0,0
96,0,4.7800655,0.22311753,0,0.4458065,1.3165295,0,0,0,0,1.9938023,0,0,0,0,0,0,0,0,0,0,0,0.19650546,1.4258752,0,0,0,1.7170562,0,0,0,0,0.6799419
97,0,0,0,0,1.2153132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1430855,0,0,0,0,0,0,0,0.07094165,0,0.75571615,0,0.5103547,0
98,0,0,0,0,0,0,3.5436869,0,0,0,1.173618,0,0,0,0.034841307,0,0.2037733,0,0,0.56700224,2.7300632,0,0.3258247,0,0,1.2249969,0,0,1.8407135,0,0,0,1.4021839
99,0,0,0.5896434,1.023029,0,0,0.4094744,0,0.9614855,0,0,0,3.223374,0,0.5601117,0.23430736,0,0,6.5359607,0,0,0,0.4813684,0,0,0,0,0,0,0,0.8903403,0,0.104229264
100,0,2.9771168,0,0,0,0,2.4633777,0.7840378,0,0,0,2.4397812,0.3021168,0,0,0.87765366,0,0,0,0,0,0.080888525,0.30843595,0,2.259468,0,1.1960739,0,0,0,0,0,0.79832315
101,0,0,0,0,0,0.6509675,0,0,0,2.8458643,0,0,0,1.1936173,0,0,0,3.567373,0,4.632308,0,0,0,0,0.21900563,0,0,0,0,0,0,1.8413951,0.76474607
102,0,1.3354127,0,0,0,0.43449584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5330907,0,0.66502196,0,0,0.86428493,2.610291,0.08218642,0.3374188,0
103,0,0,0,0,0.3930772,0,0,0,0,0,0,0.975871,1.3484253,2.3891444,0.31402647,1.7851261,0,0.8228914,0,0,0.58979803,0.1957539,0.7635684,0.24498548,0,0,1.9769136,1.8397537,0.23008549,0,0,0,1.5577255
104,1.1605146,0,0,0,0,0,1.4213328,0,0,0,0,0.35016286,0,0,0,0.4047047,0,2.1661105,0,0.27410024,0,0,0,0,0,0.84179157,0,0,0,0,0,0.020744883,0
105,0,0,0,9.165356,0.43298575,0,0,0,3.3091867,1.3169739,0,0,0,0,0,0,1.1188562,0,3.0180316,0,1.1101965,0,0,1.7429212,0,0,0,0,0,0,0,0,0
106,0,0,0.60150915,0,0,0.58151627,0.30690792,0,0.4645588,0.110774994,2.2127655,1.6558203,0.01553702,0,0,2.171489,2.0383878,0,0,0.48130015,0,1.8367442,0,0,0,0,0,0,0.18961616,0.748731,0,0,0
107,0,0,0,2.7043254,0,0,0,0,0,0,0,0,0,0.8354365,1.2882164,0,0,0,0,5.43172,0,0,0,1.5406922,0,0.35659444,0,0,0,3.064414,0,0,0.15128185
108,2.414924,0,1.5186012,0,0,0.20304276,0,2.2631657,0,0,0.14844958,0,5.8918386,0.54721254,0,2.1138892,0,0,2.6382432,0,0,0,3.5711029,0,0,0,0.77184427,0,0.5245168,2.1238937,0,0,0
109,0.73410994,0,0,3.425877,0,0,1.5385163,0,0,0,0,0,0,0.090582296,3.632631,0,0,0.032771558,0,0,0,0,0,0,0.9201172,0,0.8635214,0,1.973476,0,1.5052685,0.21804693,0
110,1.5196702,0,1.1629037,0,3.3230052,0,0,1.0237129,2.4001436,0,0,0,0,1.6577221,0,0.7034717,0,0,3.9891593,0,0,0,0,0,0,0,0.228598,0,0,0,0,1.1981157,0
111,0.8892751,2.643928,0,0,0,2.3976736,0,0.4065285,0,1.3699204,0.16830395,0,0,0,0,0,0,0,1.4065639,0,1.7038034,0.56293935,0.9788567,0,0.53940135,0,0.6650141,0,0.28149182,0,2.0585432,0,0
