x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0023,y0024,y0025,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0038,y0040,y0042,y0043,y0045,y0046,y0047,y0048,y0050
324,0,0,0,0,0,1.6342689,0.76648045,0.8131691,0,0,0,0,0.24054268,0.3218392,0,1.1604073,6.027723,4.6189857,0,0,0,0,0,0.050517697,0,0.000760317,0,0,0.02032643,0,0,0,0,0.74536407,0,1.5785189,7.9356713,0.37458277,3.226345,0,1.9757404,3.961073
325,0.7230405,0,0,0.51112723,0,0.37554437,0,0,0,3.81069,0,0.071468234,11.43741,3.7131162,0.061645743,0,0.10735154,0,0,0,0,0,0,0,0,1.6590958,0,0,0,0,1.9759579,0,6.6750507,0,0,0.29175612,8.070552,0,4.192821,0,2.4859533,0
326,3.2471633,8.920819,0,2.3564463,0,0,0.45327732,0,0.1624088,0.76070213,0.19906221,0,0,0,0,1.9103512,4.186756,0.20836176,2.6007607,0,0,0,0,0.67726606,0,3.6646094,4.335415,0,0,0,0.5137738,0,0,0,0,1.0813875,11.237965,2.7497509,0,0,0,0
327,0,0,0,0,0.92797524,0,0,2.4128094,0,0,0,0.8303052,0,2.9772742,1.4212422,0,0,0,2.1795895,2.1383603,0,0,0,0,0,1.0298244,3.208923,0,2.9540215,0,1.5933849,8.437243,0,0.69224346,2.1616101,2.7302432,0,0,0,1.0523196,0,0
328,0,6.3377285,0,0.49661303,2.1548572,0,0,0,0,1.3225607,0.5496922,0,10.1856785,0,0,0,0,0,0,0.59306335,2.810157,0,0,0,0,0,0,3.5668626,0,1.9267858,0,0,2.707198,0,0,0,0,0,3.9359524,0.029228756,2.8107193,1.4792744
329,0,0,0,0,0,0,0.5084394,0,0,3.1293616,0.12996677,0,0,0,3.2278056,0,0,0,0,0,0,3.5731304,0,5.5469036,4.0715866,0,4.886235,0,0,0,0.28105167,0,0,0,0.33010104,2.898658,0,0,0,0.7590404,0,0
330,0,4.424037,2.6122494,1.9243954,0,0,0.3519574,2.3667805,0,3.56724,0,0,0,1.1625206,0,0,0,0,0,0,0.34247068,0,0,1.2879621,0,3.5979185,9.234312,0,3.2414727,0,3.0898366,0,6.659148,0,0,0.83666307,1.0996145,0,1.293584,0,0,0
331,0,7.089834,9.77423,0,0,3.3009095,0.5238927,0,0.11484043,3.4245756,1.1048775,0.8971456,0.339362,0,4.7073836,0.1040697,0,0,0,0,7.6242533,0,0.48620808,0,3.4967904,2.0042996,0,2.9941509,0,0.7726459,1.9199952,0,8.310197,1.0717896,0,0,0,0,3.6417513,0,0,0
332,0,1.6547204,0,0,0,0,1.3683621,0,1.8971997,3.6839993,0,0.18598518,0,0,0,0,4.1150165,2.0787034,0,0,0,0.12756096,0.38650355,0,0.2967571,1.3624434,0.46325427,0.3341494,0,0,0,23.145754,0.15367465,0,2.2788672,0,0,4.3989873,0,2.009306,0.54128414,0
333,2.9947398,2.3680933,14.859121,4.2963786,0,0,0,0,0,0.7788122,1.318379,0,1.6458077,0,0,1.643668,7.4338274,0,1.2304109,0,0,1.5538903,2.8198671,0,0,0,2.5378833,0,0,0,0,18.395641,6.9233956,0,0,1.2170323,2.136555,1.1271329,0,1.9948033,0,0
334,0,0,0,0,0.18726356,3.8420048,0,3.5517125,0.820021,0,0.23975492,0,17.914133,0,0,2.5365546,8.889538,0,0,3.8375266,0,0,0,0,0,0,0.8821589,0,0.29765457,2.470283,0,0,0,0.9144183,0,0,1.5108689,0,0,0,0,2.0356483
335,1.1762507,0,0,0.73122245,0,0,0,0,3.710282,0,0,0,0,0,0,0,0,0,6.5236096,0,0,0,1.1361635,0,0,0,0,0,0,0,0,15.14811,0,0.8136097,0,0,0,8.314381,0,0,0,0
336,3.6033278,6.084824,0,6.4849195,0,0,0,0,1.508755,0,0,2.708295,8.438368,0,0,0,6.4345636,0,2.0611086,0.6909639,0,0,0,0,0,0,0,0,0,0,0,4.3099256,0,1.7217641,0,0,0,0,0,2.9265656,0,3.688826
337,0,0,2.2818587,0,0,0,0,0.17920259,0,0,0,0,0,0,0,1.4202851,0,0,0,0,0,3.1954257,0,0,0,0,0,2.326325,2.0072103,2.8472457,0,0,0,0,0.74446845,0,1.8271457,5.802507,0.2579686,0,0,0
338,0,7.5710325,0,0,5.2491717,9.84231,0,4.165356,0,0,3.4562173,0.5164335,0.468975,0.11256661,0,0,0,2.7254093,3.0291343,0.36201036,4.3863573,0,0,3.7721238,0,0,0,0,1.7362063,0,0,0,0,0,1.8490633,0,0,0,0,0,2.008149,0
339,1.4695826,0,0,0,1.2271943,0,0,0,0.29993665,0,1.1768829,0,0,2.3253138,4.932114,0,9.05895,1.767248,0,0,14.61016,0,1.966172,0,0,0,0,0.14763221,0,0.82816195,0,3.6567724,1.6866168,0,0,2.207676,0,0,0,0,0,0
340,6.4300566,0,0,0,5.8159194,2.913752,0,0.07717918,0.804836,3.0315402,0,0.681612,0,0,0,0,0,0,0,0,0,2.5923498,0,5.914759,0,3.232047,0,3.19576,0,0.8722769,0.6898687,0,0,2.3540487,0,0.46311617,0,2.0288115,2.946587,1.8230962,0,0.8985954
341,0,0,0,0,0,0,0,0,0,0,0.8996959,2.3053813,0,0,0.9675578,0,0,0,0,0,19.037346,0,1.3819201,6.83648,4.3205757,2.3081915,0.5483122,0,0,0,0,0,5.194572,0,0,2.6663423,0,0,0,0,0,0
342,1.007707,0,0,0,0,0,0,1.2863334,0.21071771,0,0,2.209345,0,1.0944941,0.43953943,0,0.34085917,5.009759,0,0.78766686,2.5226252,0,5.438621,0,4.1433363,1.4392924,0,0.6182529,0,1.4913087,0.03415235,0,0,0.06670367,0,0.2667317,1.7655517,0,1.4446405,0,2.9475749,0
343,0.48496452,3.5537589,0,0,0,0,0.43177658,0,0,0,1.8504552,0,0,0,0,0,8.839281,0,1.9623827,0,0.87682253,0,0,0,0,1.4816812,4.0175195,2.0376003,2.2030332,0,0.14289305,0,0,0,0,0,0,0,0,0,0,0
344,0,0,16.644712,0,2.5754004,0,0,0,0,0,0,0,3.6364365,0,0,0,0,0,0,0,0,1.6424488,0,0,0,0,0,0.5542135,0,0,0,0,0,1.7717426,3.0422833,0,0,2.6737077,2.0395374,2.6181283,0.9503767,2.317711
345,0.42030373,0,0,0,0,2.4776764,0,1.5726795,0,0,0.030612305,0,12.908959,0.69180244,0,0,2.600918,5.898165,1.4029627,0,5.835035,0,0,0.9771814,4.0485053,0,6.6280823,1.037096,0,4.2115088,0,0,1.8717659,1.8400241,2.863498,0,0,2.4809012,0,0,0,4.153405
