x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0008,y0009,y0010,y0011,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0023,y0025,y0026,y0027,y0032,y0034,y0035,y0036,y0037
98,0,1.0770764,3.560939,0,0.34522533,0,0,8.66124,1.720096,0,1.2601258,0,0,3.0353465,0,8.117746,4.154122,2.0685842,2.354908,0,2.0501392,0,0,4.5980377,0,0.87202364,0,0,2.8700602
99,0,3.8411925,2.7367263,4.6563888,0,4.627547,0,1.3017819,0.87808293,2.778444,9.79022,0,0,1.0442975,0,0,0,7.674889,0.66936755,0.28274605,1.0821577,0,5.5499315,0,2.9245205,0.045327853,7.257396,0,0
100,3.3476584,0,0.9940497,0.80586076,4.4997773,0,0,3.5513573,1.3152978,0,0,14.704449,0,0,6.9101634,2.311935,0,1.6888546,0.49641892,3.3794198,0.8643496,0,2.2956057,4.091856,0,0,0,0,0.66927046
101,0,0,2.4484265,7.914641,0,1.124897,0,0,4.6218886,0,4.571554,0,4.229493,2.8265936,10.484199,0,1.8349389,5.8520565,0,0,0,2.1781595,0,0,0,2.6876426,1.6439122,6.621457,0
102,1.8101045,0,1.7350293,0,0,0,7.4672356,0,1.3383553,1.4248084,0,0.69421893,0,3.6923506,1.411852,3.2264397,0.45781472,0.64301676,0,0,0,0,2.5443122,0,0,0,0,0,4.449452
103,3.570462,1.2583168,0.8957691,0.58698785,0,2.362825,2.1712885,0,0.9177752,0.5062549,0,0,0,0,0.6381156,0,0,5.9295506,0,0,1.9497019,3.8051617,1.0105618,0,0,0,0,0,0
104,1.8622364,0,0.32372117,0,0,5.2636333,5.7902355,0,1.4844545,0,0,4.3105755,0,0,17.395048,0,3.0193183,0,0.6336401,4.6667104,0,4.1784644,0,0,10.669413,0.24976788,1.0379933,2.6594067,0
105,0,0,3.7979274,5.313001,0,0,0,0,1.0431252,3.530537,6.771831,0,0,0,0,8.157133,0,0,0,0,0,0,0,0.042634454,7.0883293,0,0,0.7919119,0
106,0,0,0,3.777084,0,2.879721,0.17414655,0,6.4432135,0,0,0,2.7292917,5.6448593,0.8667281,0,0,0,2.3545482,0,0,0,0,0,8.04382,0.29676908,6.2998457,10.787365,0
107,0,7.9570065,0,0,0,0,0,0,0,3.2243397,0,5.9929104,0.3507227,0.1253023,2.1907556,0,1.819991,0,0.015466799,0.69658816,0,1.3798976,0,0,0.07777634,0,0,0,0
108,2.5651815,0,0,0,8.72574,4.6263237,0,0,0,0,0,2.687038,8.925961,0,0,0,0.036772475,0,0,0.47288406,1.1354135,0,0,1.0424738,0,4.4341817,0.070003934,0,7.6883445
109,0,0,0.98088855,0,1.6940621,0,0,0,0,4.4303484,5.7642274,0,0,3.2634177,0,4.005608,0,2.0935507,0,0,0,0,0,3.5905464,0,0,0,0,0
110,0,0,6.3759127,0,0,0,0,0,0.55618215,0,0,0,0,0,0.024286492,3.4343953,3.2451732,0,0,0,0.73279625,0,0,0,2.9695575,0,6.606965,0,4.450723
111,0,0,0,3.303495,0,0,2.036441,3.351797,0,0,0,3.1278102,0,0,5.598998,1.502703,0,7.173141,0,1.6244892,0,0,0,4.2168145,0,0,3.5704763,6.401172,0
112,0,4.0716357,0,4.8191977,0,0,3.1233597,0,0,0,0.32993105,0,0,0.9666015,0,0,0,7.9407854,0.6386949,0,0,0.22027549,0.2918912,0,0,0.7708591,0.69575787,0,0
113,0,0,0,0,13.354062,2.256892,0,9.822533,0,3.5658283,2.343765,10.302116,1.4834498,0.6672029,0,0,0,0,0.8465862,2.0233972,1.0081341,0,0.5934677,0,0,3.1343172,9.505762,0,17.588455
114,1.4176143,0,1.7699127,2.494047,0,0,7.122062,0,0,0,9.354122,0,9.637466,1.4535322,0,0,0.749155,0,0,0.50872386,2.61693,0,0,0,0,0,0,0,0
115,0,2.972947,0.003553176,0,0,0,0,8.273985,0,0,0,0.43582794,0,0,5.8893304,4.772138,1.5243642,0,0.8596149,0.40868577,0,3.1004508,0,0,4.8587666,0,4.4573665,0,0
116,5.0381627,0,0.83816326,0,0,3.0336497,0,2.3870893,3.1820593,0,0,1.4192768,1.4836252,0,3.3699973,0,0,6.9443974,1.2411697,5.586359,0,0,0,1.7682854,0,0.13544148,0.45465025,0,0
117,2.9447217,0,0,2.6961298,1.9452246,0,0,15.005257,0,2.8484025,0,2.193649,0,1.1864038,0,0,0.3995462,0,0.79997283,0.2809952,0,3.9114282,0,0,0,0,0,8.650411,0
118,0,0,0.820105,3.941783,0.45880523,0,0,0,8.784764,3.512434,1.9595721,0,0,0,0,0,3.8179023,0,0,0,0,0,0.30950865,0,1.9434762,0,0,0,2.1981015
119,1.0911529,0,2.0235124,4.3616014,0,0,0,0,2.4445188,0,7.3822064,9.985851,1.826363,0,0,0,0,2.0354464,0.73990464,0.6534823,0,0,0,0,0,0.61655337,0,0,0
120,0,4.3909225,0.22399071,0,0,0,2.2465396,3.0928974,1.749126,2.6587687,4.8966265,3.95261,4.798012,0,3.8207107,10.223032,3.1146975,0,6.654561,0,0.94002104,0,0,0,0,0,0.28975344,0,0
121,0.025993342,0,2.6120152,3.9213412,0.6121119,0,0,0,0,0,3.0396125,5.142144,0,0,0,0,0.33963186,0,0,1.3121645,0,5.6222825,0,0,0,0,2.1277971,2.6146805,0
122,5.064365,0,0,0,0,0,0,15.720443,0.17655009,0,0.4492597,0,0,0,20.531887,0,0.1901635,2.6283724,0,0,1.0107906,0,0,1.0300213,0,0,0,0,0
